DATAFLOW,LAST UPDATE,freq,unit,indx,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-01,101.52,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-02,99.75,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-03,101.88,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-04,100.32,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-05,103.19,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-06,101.99,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-07,100.79,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-08,101.92,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-09,102.71,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-10,100.09,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-11,103.29,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2017-12,103.59,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-01,102.59,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-02,101.75,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-03,103.31,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-04,101.51,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-05,104.42,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-06,104.27,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-07,102.79,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-08,104.22,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-09,102.10,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-10,104.79,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-11,104.12,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2018-12,104.41,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2019-01,106.86,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2019-02,104.95,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2019-03,106.14,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2019-04,103.51,
ESTAT:PRC_FSC_IDX(1.0),29/05/24 11:00:00,M,I15,HICP,CP01121,AT,2019-05,105.75,
