TIME_PERIOD,Austria_commodity,Austria_consumer,Austria_import,Austria_prod,Belgium_commodity,Belgium_consumer,Belgium_import,Belgium_prod,Bulgaria_commodity,Bulgaria_consumer,Bulgaria_import,Bulgaria_prod,Croatia_commodity,Croatia_consumer,Croatia_import,Croatia_prod,Cyprus_commodity,Cyprus_consumer,Cyprus_import,Cyprus_prod,Czechia_commodity,Czechia_consumer,Czechia_import,Czechia_prod,Denmark_commodity,Denmark_consumer,Denmark_import,Denmark_prod,Finland_commodity,Finland_consumer,Finland_import,Finland_prod,France_commodity,France_consumer,France_import,France_prod,Germany_commodity,Germany_consumer,Germany_import,Germany_prod,Greece_commodity,Greece_consumer,Greece_import,Greece_prod,Hungary_commodity,Hungary_consumer,Hungary_import,Hungary_prod,Ireland_commodity,Ireland_consumer,Ireland_import,Ireland_prod,Italy_commodity,Italy_consumer,Italy_import,Italy_prod,Latvia_commodity,Latvia_consumer,Latvia_import,Latvia_prod,Lithuania_commodity,Lithuania_consumer,Lithuania_import,Lithuania_prod,Luxembourg_commodity,Luxembourg_consumer,Luxembourg_import,Luxembourg_prod,Malta_commodity,Malta_consumer,Malta_import,Malta_prod,Netherlands_commodity,Netherlands_consumer,Netherlands_import,Netherlands_prod,Poland_commodity,Poland_consumer,Poland_import,Poland_prod,Portugal_commodity,Portugal_consumer,Portugal_import,Portugal_prod,Romania_commodity,Romania_consumer,Romania_import,Romania_prod,Slovakia_commodity,Slovakia_consumer,Slovakia_import,Slovakia_prod,Slovenia_commodity,Slovenia_consumer,Slovenia_import,Slovenia_prod,Spain_commodity,Spain_consumer,Spain_import,Spain_prod,Sweden_commodity,Sweden_consumer,Sweden_import,Sweden_prod
2017-01,101.6,101.52,99.7,18.25,93.6,100.4,97.9,23.27,84.2,98.01,98.2,0.53,99.6,100.25,101.1,3.13,97.9,100.16,99.1,0.41,98.6,103.6,97.1,5.72,92.8,100.4,95.2,10.0,99.4,98.58,90.2,7.28,96.2,101.51,95.0,120.8,98.1,101.9,99.2,90.0,99.3,100.86,106.6,3.3,90.6,102.64,100.0,2.17,90.5,103.5,117.9,49.95,98.1,101.2,100.9,62.61,104.4,103.73,97.3,1.22,104.6,103.45,109.3,3.12,101.7,106.31,99.6,0.81,95.0,103.46,103.1,0.1,98.4,99.88,102.5,36.08,105.6,102.3,111.8,41.24,99.5,101.59,102.9,7.13,96.7,98.33,103.3,3.92,106.2,94.37,93.4,0.62,99.2,95.62,106.2,2.69,105.3,100.65,107.7,50.71,113.6,103.73,96.8,10.34
2017-02,101.7,99.75,99.3,17.23,93.8,101.14,96.3,21.21,85.3,98.19,96.3,0.64,100.3,100.5,101.9,3.02,103.4,100.55,108.7,0.33,98.9,103.3,98.5,5.31,93.5,101.2,94.0,9.0,100.3,98.7,95.5,6.5,97.4,101.47,95.5,108.34,98.5,101.5,94.4,89.0,98.8,101.03,107.4,3.31,86.1,102.66,106.7,2.1,92.6,94.3,102.9,49.3,98.3,101.4,100.4,56.72,108.4,104.52,94.7,1.11,108.7,103.67,109.2,2.96,99.7,107.64,99.1,0.73,95.8,103.63,92.6,0.1,98.3,100.31,99.5,35.83,106.3,102.1,106.6,39.85,100.1,99.59,102.0,5.92,97.8,98.34,103.8,4.23,106.3,94.93,94.5,0.55,99.7,95.53,95.7,2.69,105.4,100.44,106.3,48.3,114.5,103.69,95.8,10.01
2017-03,101.2,101.88,100.0,20.07,93.8,100.58,99.0,25.41,86.8,98.08,99.7,0.6,101.3,100.12,101.5,3.36,106.0,100.63,100.4,0.37,99.5,105.4,95.3,6.08,93.9,101.0,98.0,11.0,101.1,98.46,95.4,7.44,98.5,101.6,97.8,128.57,98.3,101.1,97.7,105.0,99.2,101.42,106.5,3.25,88.3,103.02,105.7,2.14,95.2,100.4,105.0,51.15,98.5,101.4,100.7,64.09,109.8,104.5,96.0,1.39,111.0,103.64,119.3,3.9,100.3,108.06,98.6,0.87,95.8,103.63,96.6,0.1,97.9,100.36,101.6,44.06,106.5,102.8,99.1,49.52,100.5,100.72,100.7,6.84,99.3,98.4,110.4,4.76,106.1,94.51,96.3,0.62,100.0,92.22,107.7,3.17,105.3,100.96,110.7,54.16,114.5,105.22,94.3,11.6
2017-04,100.2,100.32,94.2,17.4,93.8,101.22,97.2,21.79,88.7,97.81,108.3,0.47,102.7,100.14,98.2,3.19,105.9,100.41,112.9,0.35,100.2,106.2,97.9,5.27,94.1,101.6,99.0,9.0,101.7,98.93,96.5,6.18,99.4,101.75,98.2,112.46,97.4,100.2,96.4,82.0,100.4,101.3,105.8,3.48,97.8,102.83,111.5,2.32,98.4,97.2,107.4,43.18,98.9,101.4,102.7,56.07,108.4,104.63,92.9,1.28,111.4,104.82,108.4,3.22,103.6,108.2,103.8,0.69,94.8,103.79,92.8,0.09,97.4,99.72,101.2,35.0,106.2,103.4,107.0,41.79,100.8,100.13,104.1,6.42,101.2,98.88,110.8,3.9,105.8,94.96,95.5,0.67,100.2,95.11,105.4,2.87,105.1,100.5,111.7,46.55,113.7,106.41,97.4,9.32
2017-05,100.0,103.19,99.9,19.02,93.9,101.14,95.4,25.07,88.8,98.89,96.7,0.61,102.3,100.72,97.5,3.6,104.9,100.38,108.8,0.41,100.9,106.9,91.9,5.92,94.9,101.1,105.3,11.0,102.2,99.07,97.5,6.85,99.8,101.71,103.4,127.12,97.3,100.5,98.5,93.0,101.1,99.0,104.6,5.4,103.7,103.5,112.0,2.33,99.7,101.3,110.1,51.09,99.3,101.6,103.2,61.71,107.7,105.05,97.5,1.47,111.9,103.94,119.6,3.64,104.4,108.8,101.6,0.82,95.1,103.13,104.3,0.12,96.4,101.86,105.8,39.13,105.7,103.2,100.4,47.04,100.8,102.03,105.2,8.72,102.2,99.71,106.9,5.17,105.9,95.42,96.4,0.69,100.2,95.31,106.3,2.93,105.1,100.61,112.1,59.12,112.8,106.26,101.4,11.32
2017-06,100.7,101.99,99.4,17.29,94.1,101.21,90.9,23.84,87.1,98.77,107.0,0.55,99.9,101.7,95.0,3.6,102.8,102.06,113.1,0.39,101.5,107.5,95.2,5.33,96.4,102.4,104.0,11.0,102.7,99.98,100.7,6.65,99.7,102.12,102.7,119.83,98.0,101.3,101.4,87.0,101.5,98.58,104.0,3.66,105.4,104.0,108.1,2.15,99.1,98.0,114.1,52.0,99.7,101.5,100.7,63.37,107.6,105.16,100.5,1.3,112.3,104.8,119.1,3.23,102.7,107.75,99.1,0.77,96.6,103.69,111.4,0.08,95.1,102.83,108.4,33.79,104.9,103.4,107.0,48.38,100.7,102.18,105.2,8.18,102.3,99.92,111.0,4.86,106.4,95.94,92.9,0.61,100.0,93.32,101.2,2.58,105.1,100.48,115.7,57.6,111.8,106.4,103.9,10.34
2017-07,102.1,100.79,105.7,16.42,94.4,100.89,100.7,20.59,83.7,98.99,108.6,0.47,95.7,101.78,96.7,3.88,99.4,102.09,104.6,0.27,102.0,107.2,94.5,4.91,98.8,102.9,106.2,8.0,103.1,99.66,100.4,6.14,99.0,102.2,103.5,107.9,99.5,101.4,95.7,81.0,101.3,98.35,102.4,3.79,102.6,104.32,107.9,1.98,96.7,96.2,96.6,48.2,100.0,101.6,103.0,66.39,108.2,105.32,98.6,1.28,112.9,104.97,108.9,3.45,98.6,109.0,100.8,0.66,99.4,103.89,101.2,0.08,93.3,104.33,103.9,31.79,103.9,103.3,115.9,49.54,100.3,101.36,104.8,8.69,101.4,100.39,115.7,4.78,107.3,95.88,95.1,0.64,99.6,95.1,103.8,2.36,105.4,100.59,114.4,54.68,110.6,104.16,105.1,9.46
2017-08,103.5,101.92,105.0,17.92,95.1,101.15,98.1,23.0,83.5,98.11,112.5,0.48,93.9,102.06,96.6,3.82,95.8,101.49,104.7,1.14,102.3,107.4,94.9,5.6,100.3,103.9,100.6,11.0,103.5,99.69,103.6,7.72,98.8,102.74,104.9,124.03,101.1,101.6,98.8,90.0,101.2,98.95,101.0,3.71,101.1,105.1,107.1,2.18,94.9,96.2,97.5,55.2,100.4,101.6,104.8,65.07,108.4,105.32,102.8,1.48,112.7,104.94,118.5,3.51,97.1,106.94,100.1,0.8,100.0,103.97,112.8,0.09,93.7,103.79,104.5,33.25,104.1,103.6,112.9,49.27,100.1,101.82,107.4,8.94,101.1,100.49,114.4,5.35,108.2,96.2,94.3,0.68,99.8,95.11,105.8,2.52,105.6,100.19,116.2,56.05,110.1,108.21,107.2,12.5
2017-09,104.6,102.71,99.8,18.76,96.2,101.23,100.1,23.77,86.5,101.53,107.5,0.54,94.2,101.48,94.7,3.9,91.6,101.37,113.3,1.06,102.6,107.7,93.2,5.39,101.1,103.0,100.7,11.0,104.0,100.14,96.0,7.52,98.8,102.15,103.8,120.81,102.7,102.5,97.1,96.0,101.2,99.38,105.5,3.66,100.8,105.37,107.1,2.37,93.4,101.1,103.4,54.5,100.8,101.9,104.6,64.64,108.4,105.5,107.9,1.61,112.0,106.22,111.2,3.6,98.2,109.65,100.8,0.81,98.3,104.31,87.7,0.08,96.3,104.16,105.0,34.71,105.6,103.5,115.3,49.4,100.0,102.05,107.8,7.4,101.2,100.83,116.7,5.31,108.9,96.48,96.2,0.72,100.6,95.34,109.6,3.04,105.9,100.68,116.8,53.6,110.3,107.27,99.5,12.03
2017-10,105.6,100.09,96.8,21.18,97.8,99.52,101.7,24.59,93.1,100.78,111.6,0.95,96.7,101.67,99.3,3.7,86.0,101.57,109.7,1.23,102.7,107.7,100.2,6.14,101.1,102.2,102.4,12.0,104.5,100.78,100.2,8.22,99.2,102.06,100.3,127.32,104.4,102.4,96.8,101.0,101.3,100.2,109.4,3.5,101.8,105.34,108.6,2.29,92.3,99.0,103.5,55.6,101.2,102.4,102.5,65.59,108.1,105.62,104.9,1.78,110.5,105.4,105.2,4.34,101.8,110.1,100.7,0.88,94.4,104.62,88.8,0.09,101.5,103.86,103.4,36.57,108.4,103.6,111.4,50.31,100.1,103.73,104.1,8.1,101.9,101.22,119.4,5.6,109.6,96.78,99.0,0.73,102.1,98.05,114.5,3.53,106.1,101.23,113.6,55.29,111.2,103.84,105.3,12.39
2017-11,106.4,103.29,101.1,22.14,98.9,101.66,97.8,24.47,94.7,101.01,105.8,0.9,98.6,101.57,101.3,3.7,85.0,101.53,100.0,1.22,102.6,107.2,102.2,6.19,101.4,102.2,106.7,12.0,105.1,100.23,101.7,8.24,99.3,102.54,103.8,127.37,105.4,103.0,98.4,118.0,101.2,100.1,110.4,3.32,102.5,105.78,110.4,2.67,92.2,98.3,108.0,59.94,101.7,102.5,104.1,62.63,109.3,105.62,99.7,1.65,111.6,106.4,110.3,3.43,104.0,110.46,101.2,0.88,93.1,105.12,105.9,0.1,105.0,104.92,103.0,42.05,110.1,104.7,107.9,48.77,100.7,102.68,105.0,7.61,103.3,101.74,120.7,6.21,109.0,97.17,101.1,0.67,103.1,98.32,103.3,4.05,106.7,101.24,115.2,54.22,110.0,100.74,106.8,12.73
2017-12,106.9,103.59,107.7,20.43,99.6,100.05,102.4,24.53,91.2,101.84,106.6,0.69,100.0,100.43,103.2,3.3,88.5,101.64,103.9,1.13,102.5,106.0,102.2,5.85,102.1,102.5,109.1,9.0,105.7,100.45,99.2,6.67,99.1,102.71,105.0,117.62,105.8,102.9,101.4,92.0,100.9,99.9,112.9,3.74,103.1,105.67,115.4,2.52,92.9,94.3,84.0,46.93,102.2,102.6,104.2,67.53,112.1,104.26,111.0,1.19,115.1,106.16,92.1,2.49,104.7,110.4,108.5,0.84,94.4,105.14,101.6,0.08,106.8,104.23,103.3,36.62,110.7,105.5,107.6,43.46,101.7,100.88,105.0,7.17,105.6,102.59,122.6,5.05,107.1,97.79,104.1,0.6,103.7,102.33,103.4,3.37,107.6,101.8,111.1,53.58,106.7,107.68,106.4,10.03
2018-01,107.1,102.59,105.6,20.99,99.7,100.09,103.2,23.91,83.0,99.69,117.7,0.75,100.8,100.94,104.7,3.4,97.6,101.68,113.3,0.54,102.2,107.8,99.9,6.17,103.1,101.1,103.3,11.1,106.4,101.28,98.0,7.59,98.6,103.18,102.2,126.38,105.6,103.5,99.0,99.0,100.3,101.2,112.2,3.19,103.5,106.23,113.2,2.76,94.5,97.0,126.0,52.89,102.7,103.2,103.7,66.65,116.6,102.3,106.5,1.34,121.4,105.45,109.7,3.29,103.9,110.34,100.0,0.84,98.4,105.17,95.6,0.11,106.9,104.75,101.0,36.51,110.1,106.1,115.5,45.06,103.1,99.0,106.1,7.67,108.8,103.25,124.6,3.63,103.8,98.02,100.1,0.78,103.8,105.11,108.4,2.82,108.8,102.05,109.1,53.12,101.5,107.97,104.5,11.72
2018-02,106.7,101.75,101.4,17.45,99.6,100.73,102.4,21.42,80.5,100.58,115.9,0.56,101.5,100.72,107.3,2.91,103.4,101.72,106.5,0.41,102.2,106.1,104.8,5.32,103.6,101.0,100.7,9.2,106.9,102.0,96.9,6.56,98.4,103.14,101.2,111.53,105.2,103.8,95.6,82.0,100.2,100.92,112.3,3.2,103.5,105.92,115.4,2.25,96.3,95.0,127.3,49.01,102.9,103.0,103.2,60.92,120.2,106.2,106.3,1.11,125.5,104.65,100.5,2.92,103.9,110.13,100.8,0.78,101.0,105.42,107.5,0.08,105.9,104.54,98.7,32.0,110.2,106.2,118.4,43.97,104.0,99.04,106.3,6.45,111.8,104.02,132.0,3.33,101.9,98.7,96.6,0.63,103.8,105.89,108.1,2.44,108.8,101.99,113.3,48.63,98.7,108.85,106.2,10.48
2018-03,105.7,103.31,96.5,20.77,99.3,100.43,103.8,24.15,83.0,100.95,112.0,0.64,102.2,100.95,111.5,3.81,106.6,101.97,113.4,0.41,102.4,106.3,102.3,5.92,103.4,101.4,102.4,10.2,107.4,102.54,101.0,7.01,98.3,102.98,104.7,128.06,104.5,103.8,98.2,102.0,100.4,101.21,112.0,3.17,103.0,106.14,117.1,2.09,98.3,92.9,136.5,48.71,102.8,103.0,103.0,68.64,122.8,108.33,110.9,1.32,127.1,104.83,106.1,3.65,104.8,111.07,98.5,0.88,102.0,105.44,107.9,0.07,103.8,102.65,103.4,42.82,111.0,105.9,126.6,51.49,104.4,99.28,109.2,7.23,114.8,104.62,127.0,3.88,101.1,98.11,99.9,0.69,103.8,105.75,116.6,3.22,107.7,102.61,113.0,51.26,98.3,108.8,108.1,11.24
