DATAFLOW,LAST UPDATE,freq,meat,meatitem,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-01,19.56,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-02,17.28,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-03,18.73,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-04,19.19,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-05,17.91,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-06,15.51,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-07,19.26,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-08,18.28,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-09,19.07,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-10,22.38,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-11,20.31,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2013-12,19.74,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-01,19.92,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-02,17.08,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-03,18.45,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-04,17.33,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-05,16.61,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-06,16.13,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-07,18.14,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-08,16.83,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-09,19.84,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-10,21.81,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-11,18.87,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2014-12,20.61,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2015-01,18.93,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2015-02,17.14,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2015-03,20.49,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2015-04,18.66,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2015-05,17.26,
ESTAT:APRO_MT_PHEADM(1.0),22/05/24 11:00:00,M,B1000,SL,THS_T,AT,2015-06,17.97,
