geo,TIME_PERIOD,OBS_VALUE
AL,2015,8.7
AL,2016,11.37
AL,2017,10.29
AL,2018,7.34
AL,2019,5.61
AL,2020,4.88
AL,2021,6.02
AL,2022,7.58
AL,2023,5.83
AT,2012,221.12
AT,2013,227.2
AT,2014,221.64
AT,2015,228.75
AT,2016,227.44
AT,2017,226.09
AT,2018,233.46
AT,2019,229.61
AT,2020,218.36
AT,2021,213.74
AT,2022,210.12
AT,2023,204.58
BA,2015,22.85
BA,2016,15.96
BA,2017,15.53
BA,2018,11.55
BA,2019,11.94
BA,2020,14.47
BA,2022,10.62
BA,2023,10.02
BE,2012,262.28
BE,2013,249.91
BE,2014,257.67
BE,2015,267.88
BE,2016,278.36
BE,2017,281.54
BE,2018,277.31
BE,2019,263.75
BE,2020,254.51
BE,2021,247.12
BE,2022,238.14
BE,2023,240.18
BG,2012,5.32
BG,2013,5.68
BG,2014,4.8
BG,2015,5.29
BG,2016,6.66
BG,2017,7.44
BG,2018,7.22
BG,2019,5.48
BG,2020,6.24
BG,2021,7.12
BG,2022,7.02
BG,2023,6.98
CH,2015,141.76
CH,2016,145.15
CH,2017,139.63
CH,2018,146.51
CH,2019,145.57
CH,2020,144.28
CH,2022,142.31
CH,2023,143.81
CY,2012,5.31
CY,2013,4.57
CY,2014,4.6
CY,2015,5.74
CY,2016,4.95
CY,2017,5.15
CY,2018,5.27
CY,2019,5.61
CY,2020,4.64
CY,2021,5.9
CY,2022,5.49
CY,2023,5.06
CZ,2012,65.71
CZ,2013,64.83
CZ,2014,65.53
CZ,2015,68.29
CZ,2016,71.93
CZ,2017,67.72
CZ,2018,71.58
CZ,2019,72.89
CZ,2020,72.52
CZ,2021,72.55
CZ,2022,68.58
CZ,2023,70.23
DE,2012,1140.0
DE,2013,1106.0
DE,2014,1128.0
DE,2015,1124.0
DE,2016,1148.0
DE,2017,1124.0
DE,2018,1102.0
DE,2019,1106.0
DE,2020,1090.0
DE,2021,1072.02
DE,2022,987.47
DE,2023,992.93
DK,2012,125.4
DK,2013,125.2
DK,2014,125.6
DK,2015,120.6
DK,2016,129.4
DK,2017,124.0
DK,2018,129.2
DK,2019,124.6
DK,2020,121.2
DK,2021,122.2
DK,2022,119.0
DK,2023,117.73
EE,2012,7.96
EE,2013,7.88
EE,2014,
EE,2015,9.62
EE,2016,9.43
EE,2017,9.0
EE,2018,8.56
EE,2019,8.57
EE,2020,8.89
EE,2021,8.7
EE,2022,8.37
EE,2023,7.65
EL,2012,56.16
EL,2013,50.12
EL,2014,46.04
EL,2015,41.92
EL,2016,40.17
EL,2017,44.11
EL,2018,39.63
EL,2019,33.46
EL,2020,34.73
EL,2021,33.04
EL,2022,35.53
EL,2023,35.68
ES,2012,591.38
ES,2013,580.84
ES,2014,578.6
ES,2015,626.1
ES,2016,637.01
ES,2017,643.86
ES,2018,669.01
ES,2019,695.17
ES,2020,677.74
ES,2021,717.88
ES,2022,731.53
ES,2023,694.87
EU27_2020,2012,6696.96
EU27_2020,2013,6420.31
EU27_2020,2014,
EU27_2020,2015,6701.96
EU27_2020,2016,6886.28
EU27_2020,2017,6894.94
EU27_2020,2018,7008.99
EU27_2020,2019,6907.98
EU27_2020,2020,6822.29
EU27_2020,2021,6801.91
EU27_2020,2022,6640.26
EU27_2020,2023,6375.6
FI,2012,80.37
FI,2013,80.42
FI,2014,82.32
FI,2015,85.76
FI,2016,86.37
FI,2017,85.39
FI,2018,86.48
FI,2019,87.18
FI,2020,86.53
FI,2021,85.67
FI,2022,84.0
FI,2023,85.39
FR,2012,1477.69
FR,2013,1404.49
FR,2014,1419.16
FR,2015,1452.77
FR,2016,1464.15
FR,2017,1442.18
FR,2018,1460.0
FR,2019,1428.46
FR,2020,1434.59
FR,2021,1424.32
FR,2022,1361.31
FR,2023,1301.42
HR,2012,46.78
HR,2013,47.27
HR,2014,44.42
HR,2015,42.26
HR,2016,44.43
HR,2017,42.2
HR,2018,43.78
HR,2019,45.43
HR,2020,43.37
HR,2021,43.18
HR,2022,41.23
HR,2023,41.18
HU,2012,24.71
HU,2013,22.64
HU,2014,23.11
HU,2015,26.39
HU,2016,28.07
HU,2017,27.21
HU,2018,29.15
HU,2019,29.73
HU,2020,28.07
HU,2021,28.93
HU,2022,25.68
HU,2023,23.18
IE,2012,495.4
IE,2013,517.57
IE,2014,581.81
IE,2015,564.14
IE,2016,588.36
IE,2017,617.02
IE,2018,622.54
IE,2019,619.8
IE,2020,633.38
IE,2021,594.51
IE,2022,621.42
IE,2023,599.81
IS,2012,3.9
IS,2013,3.8
IS,2014,3.7
IS,2015,3.5
IS,2016,6.95
IS,2017,4.61
IS,2018,4.77
IS,2019,4.81
IS,2020,4.64
IS,2021,4.96
IS,2022,4.99
IS,2023,4.9
IT,2012,981.12
IT,2013,855.32
IT,2014,709.43
IT,2015,788.28
IT,2016,809.66
IT,2017,756.42
IT,2018,809.22
IT,2019,779.82
IT,2020,732.28
IT,2021,747.89
IT,2022,747.21
IT,2023,619.85
LT,2012,39.95
LT,2013,36.77
LT,2014,39.26
LT,2015,44.13
LT,2016,42.29
LT,2017,40.88
LT,2018,40.28
LT,2019,42.46
LT,2020,41.73
LT,2021,43.7
LT,2022,42.3
LT,2023,43.12
LU,2012,8.47
LU,2013,7.95
LU,2014,8.48
LU,2015,9.08
LU,2016,9.42
LU,2017,9.54
LU,2018,9.87
LU,2019,10.17
LU,2020,10.25
LU,2021,10.5
LU,2022,9.73
LU,2023,9.52
LV,2012,16.37
LV,2013,15.67
LV,2014,17.0
LV,2015,17.36
LV,2016,17.7
LV,2017,16.75
LV,2018,15.87
LV,2019,14.78
LV,2020,14.52
LV,2021,15.54
LV,2022,14.53
LV,2023,16.44
ME,2014,3.87
ME,2015,4.12
ME,2016,3.84
ME,2017,4.89
ME,2018,5.12
ME,2019,5.44
ME,2020,6.01
ME,2022,6.97
ME,2023,7.15
MK,2014,0.8
MK,2015,1.58
MK,2017,1.21
MK,2018,0.64
MK,2019,0.6
MK,2020,0.54
MK,2021,0.55
MK,2022,0.35
MK,2023,0.35
MT,2012,1.11
MT,2013,1.13
MT,2014,1.13
MT,2015,1.03
MT,2016,1.15
MT,2017,1.12
MT,2018,1.07
MT,2019,1.03
MT,2020,1.14
MT,2021,1.05
MT,2022,1.04
MT,2023,1.1
NL,2012,373.44
NL,2013,379.1
NL,2014,376.18
NL,2015,382.52
NL,2016,416.06
NL,2017,438.87
NL,2018,459.21
NL,2019,424.3
NL,2020,432.84
NL,2021,429.64
NL,2022,421.51
NL,2023,435.45
PL,2012,371.0
PL,2013,339.02
PL,2014,412.66
PL,2015,471.01
PL,2016,501.46
PL,2017,558.58
PL,2018,564.72
PL,2019,560.45
PL,2020,559.38
PL,2021,555.12
PL,2022,540.59
PL,2023,514.7
PT,2012,92.99
PT,2013,84.09
PT,2014,79.84
PT,2015,88.62
PT,2016,91.1
PT,2017,91.09
PT,2018,93.79
PT,2019,92.03
PT,2020,97.78
PT,2021,103.0
PT,2022,103.76
PT,2023,98.42
RO,2012,28.82
RO,2013,29.28
RO,2014,29.2
RO,2015,44.47
RO,2016,57.53
RO,2017,59.14
RO,2018,49.92
