DATAFLOW,LAST UPDATE,freq,unit,meatitem,meat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AL,2015,8.70,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AL,2016,11.37,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AL,2017,10.29,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AL,2018,7.34,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AL,2019,5.61,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AL,2020,4.88,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AL,2021,6.02,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AL,2022,7.58,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AL,2023,5.83,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2012,221.12,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2013,227.20,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2014,221.64,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2015,228.75,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2016,227.44,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2017,226.09,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2018,233.46,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2019,229.61,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2020,218.36,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2021,213.74,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2022,210.12,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,AT,2023,204.58,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BA,2015,22.85,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BA,2016,15.96,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BA,2017,15.53,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BA,2018,11.55,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BA,2019,11.94,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BA,2020,14.47,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BA,2022,10.62,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BA,2023,10.02,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2012,262.28,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2013,249.91,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2014,257.67,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2015,267.88,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2016,278.36,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2017,281.54,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2018,277.31,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2019,263.75,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2020,254.51,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2021,247.12,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2022,238.14,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BE,2023,240.18,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2012,5.32,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2013,5.68,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2014,4.80,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2015,5.29,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2016,6.66,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2017,7.44,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2018,7.22,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2019,5.48,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2020,6.24,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2021,7.12,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2022,7.02,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,BG,2023,6.98,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CH,2015,141.76,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CH,2016,145.15,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CH,2017,139.63,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CH,2018,146.51,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CH,2019,145.57,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CH,2020,144.28,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CH,2022,142.31,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CH,2023,143.81,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2012,5.31,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2013,4.57,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2014,4.60,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2015,5.74,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2016,4.95,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2017,5.15,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2018,5.27,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2019,5.61,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2020,4.64,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2021,5.90,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2022,5.49,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CY,2023,5.06,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2012,65.71,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2013,64.83,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2014,65.53,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2015,68.29,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2016,71.93,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2017,67.72,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2018,71.58,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2019,72.89,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2020,72.52,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2021,72.55,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2022,68.58,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,CZ,2023,70.23,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DE,2012,1140.00,
