freq,animals,month,unit,geo\TIME_PERIOD	1959 	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,A2000,M05_M06,THS_HD,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2350.54 	2337.23 	2317.90 	2319.65 	2238.19 	2187.24 	2169.68 	2156.79 	2162.98 	2094.16 	2052.84 	2046.55 	2008.41 	2002.14 	1998.13 	1990.68 	2012.76 	2019.12 	1981.57 	1957.39 	1939.41 	1936.93 	1949.93 	1932.53 	1938.48 	1906.82 	1873.31 	1844.34 	1846.42 	1842.17 	1825.75 
A,A2000,M05_M06,THS_HD,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3047.00 	2999.00 	2979.00 	2987.00 	2999.79 	3058.44 	3053.55 	3014.05 	3024.60 	3086.03 	3122.53 	3093.20 	3060.08 	3079.14 	3070.62 	3126.84 	3248.78 	3264.16 	3222.00 	3231.07 	3251.96 	3286.18 	3242.60 	3157.00 	3089.91 	3085.17 	3041.57 	3038.74 	2891.26 	2778.08 	2746.03 	2694.66 	2663.08 	2649.39 	2605.53 	2600.45 	2592.63 	2560.32 	2484.27 	2432.53 	2520.77 	2531.08 	2554.76 	2454.10 	2449.74 	2406.17 	2387.91 	2353.42 	2240.62 	2281.39 
A,A2000,M05_M06,THS_HD,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1715.00 	1676.00 	1620.00 	1564.00 	1459.00 	1224.00 	930.00 	676.00 	666.00 	682.00 	623.00 	688.00 	687.00 	: 	694.80 	667.20 	676.80 	701.00 	: 	641.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,M05_M06,THS_HD,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1563.30 	1553.15 	1553.15 	1528.92 	1528.52 	1518.79 p	1521.06 	1533.02 	1530.47 
A,A2000,M05_M06,THS_HD,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1487.00 	1517.00 	1491.00 	1470.00 	1431.60 	1386.90 	1423.85 	1402.88 	1414.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,M05_M06,THS_HD,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18455.63 	16775.48 	16150.72 	16022.86 	16097.87 	15965.01 	15612.23 	15169.75 	14895.81 	14537.93 	14603.09 	13988.29 	13643.70 	13195.81 	13034.47 	12747.88 	12686.64 	12969.67 	12944.90 	12809.49 	12562.60 	12477.39 	12587.02 	12702.05 	12653.07 	12563.18 	12365.50 	12093.38 	11763.43 	11423.46 	11176.24 	10986.30 	10936.80 
A,A2000,M05_M06,THS_HD,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3099.00 	3081.00 	3035.00 	2961.00 	2914.00 	2873.00 	2852.00 	2750.00 	2618.00 	2494.00 	2358.00 	2262.00 	2221.00 	2239.00 	2222.00 	2190.00 	2195.00 	2106.00 	2089.00 	2094.00 	2003.00 	1977.00 	1887.00 	1868.00 	1907.00 	1796.00 	1724.00 	1646.00 	1544.00 	1577.00 	1556.00 	1576.00 	1621.00 	1642.00 	1645.00 	1629.00 	1603.00 	1585.00 	1568.00 	1583.00 	1565.00 	1560.00 	1512.00 	1517.00 	1503.00 	1484.00 	1453.53 
A,A2000,M05_M06,THS_HD,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	547.50 	475.80 	423.80 	399.20 	371.90 	345.00 	323.40 	281.10 	282.90 	273.20 	257.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,M05_M06,THS_HD,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	849.50 	832.49 	793.86 	796.80 	789.00 	793.00 	786.17 	721.48 	709.75 	685.00 	645.00 	629.00 	539.00 	573.00 	593.00 	596.00 	577.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,M05_M06,THS_HD,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4982.40 	4983.80 	4903.96 	4982.30 	5152.71 	5135.75 	5057.54 	5328.90 	5107.27 	5044.27 	5202.67 	5614.00 	5947.00 	5950.00 	6249.00 	6163.00 	6028.72 	6253.00 	6548.81 	6722.50 	6527.00 	6363.87 	6410.00 	6462.08 	6440.93 	6008.83 	6276.91 	6047.60 	6003.03 	5821.97 	6008.26 	6233.86 	6451.22 	6588.11 	6724.58 	6721.90 	6714.97 p	6922.95 	6753.70 	6565.30 
A,A2000,M05_M06,THS_HD,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	86602.37 	86510.02 	86516.10 	87552.55 	85787.24 	85119.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,M05_M06,THS_HD,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1273.20 	1252.30 	1233.00 	1148.10 	1145.60 	1142.40 	1117.10 	1086.80 	1056.70 	1037.30 	1025.30 	1000.68 	969.10 	958.93 	949.31 	926.71 	915.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,M05_M06,THS_HD,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24429.00 	24631.30 	24522.10 	24550.00 	24533.10 	24338.40 	24220.00 	23688.50 	23570.50 	22274.40 	21003.10 	21680.00 	22096.00 	21937.00 	21597.00 	21190.00 	21242.00 	21241.20 	21626.00 	20887.00 	20713.00 	20494.00 	20589.50 	21001.26 	20531.03 	20041.18 	19558.21 	19357.63 	19261.14 	19358.40 	20298.60 	20029.30 	20002.00 	19714.30 	19281.50 	19179.20 	19285.60 	19462.90 	19559.30 	19432.72 	18736.99 	18469.77 	18200.48 	17862.57 	17415.61 	17038.99 
A,A2000,M05_M06,THS_HD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1777.00 	1761.00 	1720.00 	1631.00 	1576.00 	1344.00 	1097.00 	970.00 	959.00 	: 	927.00 	878.00 	882.00 	848.00 	798.00 	768.00 	768.00 	735.00 	722.00 	703.00 	713.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,M05_M06,THS_HD,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7124.40 	7124.80 	7178.00 	6934.80 	6743.70 	6727.60 	6810.00 	6806.50 	6819.30 	6616.20 	6544.70 	6464.20 	6642.30 	6816.10 	6911.90 	6951.30 	6981.70 	6996.40 	7033.90 	7313.60 	7532.70 	7640.10 	7387.10 	7037.40 	7049.80 	6992.24 	6999.51 	7015.70 	6991.81 	6977.84 	6890.88 	6902.06 	6890.72 	6606.59 	6493.01 	6754.15 	6902.65 	6926.10 	6963.52 	7221.20 	7363.50 	7348.50 	7208.62 	7314.43 	7358.88 	7396.15 	7341.48 
