"Agriculture; crops, livestock and land use by general farm type, region"
"Farm types: All farm types"
"";""
"";"Regions";"The Netherlands";"The Netherlands";"The Netherlands";"The Netherlands";"The Netherlands";"The Netherlands";"The Netherlands";"South Holland (PV)";"South Holland (PV)";"South Holland (PV)";"South Holland (PV)";"South Holland (PV)";"South Holland (PV)";"South Holland (PV)";"Haarlemmermeer (LB)";"Haarlemmermeer (LB)";"Haarlemmermeer (LB)";"Haarlemmermeer (LB)";"Haarlemmermeer (LB)";"Haarlemmermeer (LB)";"Haarlemmermeer (LB)"
"Topic";"Periods";"2000";"2005";"2010";"2015";"2020";"2022";"2023";"2000";"2005";"2010";"2015";"2020";"2022";"2023";"2000";"2005";"2010";"2015";"2020";"2022";"2023"
"Land use|Area|Land use, total";"are";"212737,529";"207233,824";"201859,594";"201589,516";"196732,506";".";"201221,148";"15604,515";"15143,085";"14437,400";"13883,991";"12806,497";".";"13230,249";"1043,114";"892780";"796927";"822098";"886596";".";"892636"
"Land use|Area|Utilised agricultural area (UAA)";"are";"197550,427";"193769,503";"187231,940";"184574,562";"181445,084";"180436,921";"180300,396";"14549,675";"14222,945";"13415,957";"12739,302";"11694,604";"11713,551";"11642,444";"983086";"846327";"764981";"792257";"842214";"820239";"831706"
"Land use|Area|Other land";"are";"15187,102";"13464,321";"14627,654";"17014,954";"15287,422";".";"20920,753";"1054,840";"920140";"1021,443";"1144,689";"1111,893";".";"1587,805";"60028";"46453";"31946";"29841";"44382";".";"60930"
"Land use|Number of farms|Land use, total";"number";"97389";"81750";"72324";"63913";"52315";".";"50361";"11239";"8822";"7246";"5845";"4431";".";"4239";"502";"384";"311";"256";"228";".";"210"
"Land use|Number of farms|Utilised agricultural area (UAA)";"number";"95944";"80231";"70627";"62256";"51282";"49679";"49249";"11192";"8774";"7140";"5752";"4406";"4321";"4220";"500";"382";"309";"253";"226";"216";"207"
"Arable land|Area|Other arable crops";"are";"1070,187";"818942";"743895";"400191";"661411";"746462";"1576,095";"65837";"43994";"25023";"10965";"8477";"5271";"92197";"17948";"4533";"7310";"6989";"10542";"13024";"35041"
"Arable land|Number of farms|Industrial crops";"number";"1830";"1802";"1648";"1688";"1641";"1542";"1671";"118";"115";"106";"71";"77";"60";"48";"22";"8";"13";"21";"19";"15";"16"
"Horticulture, in the open|Area|Horticulture in the open, total";"are";"8106,079";"8139,184";"8707,297";"9046,390";"9312,775";"9540,604";"9240,865";"1088,549";"927100";"833219";"728802";"749291";"757906";"760611";"51141";"41628";"45011";"48452";"45665";"47020";"42460"
"Horticulture, under glass|Area|Horticulture under glass, total";"m2";"105208,811";"105396,583";"103074,941";"92078,263";"100778,913";"106368,923";"101517,875";"59004,002";"56145,083";"52967,719";"47892,156";"48612,735";"48978,581";"46888,036";"1406,344";"1242,335";"990184";"757664";"621896";"949667";"1006,263"
"Grassland and forage plants|Number of farms|Grassland|Temporary grass";"number";"11041";"16279";"14713";"22908";"21622";"21086";"22230";"525";"522";"583";"849";"817";"794";"841";"23";"22";"32";"49";"63";"57";"61"
"Grazing livestock|Number of farms|Equidae|Horses";"number";"14146";"12209";"10711";"8481";"6159";".";"6038";"749";"625";"729";"599";"345";".";"364";"25";"22";"23";"20";"21";".";"20"
"Source: CBS"
