carat,cut,color,clarity,depth,table,price,x,y,z,price_per_carat,price_per_carat_is_high
0.23,Ideal,E,SI2,61.5,55.0,550.94,3.95,3.98,2.43,1417.391304347826,1
0.21,Premium,E,SI1,59.8,61.0,550.94,3.89,3.84,2.31,1552.3809523809525,1
0.23,Good,E,VS1,56.9,65.0,552.63,4.05,4.07,2.31,1421.7391304347825,1
0.29,Premium,I,VS2,62.4,58.0,564.46,4.2,4.23,2.63,1151.7241379310346,1
0.31,Good,J,SI2,63.3,58.0,566.15,4.34,4.35,2.75,1080.6451612903227,0
0.24,Very Good,J,VVS2,62.8,57.0,567.84,3.94,3.96,2.48,1400.0,1
0.24,Very Good,I,VVS1,62.3,57.0,567.84,3.95,3.98,2.47,1400.0,1
0.26,Very Good,H,SI1,61.9,55.0,569.5300000000001,4.07,4.11,2.53,1296.1538461538462,1
0.22,Fair,E,VS2,65.1,61.0,569.5300000000001,3.87,3.78,2.49,1531.8181818181818,1
0.23,Very Good,H,VS1,59.4,61.0,571.22,4.0,4.05,2.39,1469.5652173913043,1
0.3,Good,J,SI1,64.0,55.0,572.91,4.25,4.28,2.73,1130.0,1
0.23,Ideal,J,VS1,62.8,56.0,574.6,3.93,3.9,2.46,1478.2608695652173,1
0.22,Premium,F,SI1,60.4,61.0,577.98,3.88,3.84,2.33,1554.5454545454545,1
0.31,Ideal,J,SI2,62.2,54.0,581.36,4.35,4.37,2.71,1109.6774193548388,1
0.2,Premium,E,SI2,60.2,62.0,583.0500000000001,3.79,3.75,2.27,1725.0,1
0.32,Premium,E,I1,60.9,58.0,583.0500000000001,4.38,4.42,2.68,1078.125,0
0.3,Ideal,I,SI2,62.0,54.0,588.1200000000001,4.31,4.34,2.68,1160.0,1
0.3,Good,J,SI1,63.4,54.0,593.19,4.23,4.29,2.7,1170.0,1
0.3,Good,J,SI1,63.8,56.0,593.19,4.23,4.26,2.71,1170.0,1
0.3,Very Good,J,SI1,62.7,59.0,593.19,4.21,4.27,2.66,1170.0,1
0.3,Good,I,SI2,63.3,56.0,593.19,4.26,4.3,2.71,1170.0,1
0.23,Very Good,E,VS2,63.8,55.0,594.88,3.85,3.92,2.48,1530.4347826086955,1
0.23,Very Good,H,VS1,61.0,57.0,596.57,3.94,3.96,2.41,1534.782608695652,1
0.31,Very Good,J,SI1,59.4,62.0,596.57,4.39,4.43,2.62,1138.7096774193549,1
0.31,Very Good,J,SI1,58.1,62.0,596.57,4.44,4.47,2.59,1138.7096774193549,1
0.23,Very Good,G,VVS2,60.4,58.0,598.26,3.97,4.01,2.41,1539.1304347826085,1
0.24,Premium,I,VS1,62.5,57.0,599.95,3.97,3.94,2.47,1479.1666666666667,1
0.3,Very Good,J,VS2,62.2,57.0,603.33,4.28,4.3,2.67,1190.0,1
0.23,Very Good,D,VS2,60.5,61.0,603.33,3.96,3.97,2.4,1552.1739130434783,1
0.23,Very Good,F,VS1,60.9,57.0,603.33,3.96,3.99,2.42,1552.1739130434783,1
0.23,Very Good,F,VS1,60.0,57.0,679.3800000000001,4.0,4.03,2.41,1747.8260869565217,1
0.23,Very Good,F,VS1,59.8,57.0,679.3800000000001,4.04,4.06,2.42,1747.8260869565217,1
0.23,Very Good,E,VS1,60.7,59.0,679.3800000000001,3.97,4.01,2.42,1747.8260869565217,1
0.23,Very Good,E,VS1,59.5,58.0,679.3800000000001,4.01,4.06,2.4,1747.8260869565217,1
0.23,Very Good,D,VS1,61.9,58.0,679.3800000000001,3.92,3.96,2.44,1747.8260869565217,1
0.23,Good,F,VS1,58.2,59.0,679.3800000000001,4.06,4.08,2.37,1747.8260869565217,1
0.23,Good,E,VS1,64.1,59.0,679.3800000000001,3.83,3.85,2.46,1747.8260869565217,1
0.31,Good,H,SI1,64.0,54.0,679.3800000000001,4.29,4.31,2.75,1296.774193548387,1
0.26,Very Good,D,VS2,60.8,59.0,681.07,4.13,4.16,2.52,1550.0,1
0.33,Ideal,I,SI2,61.8,55.0,681.07,4.49,4.51,2.78,1221.2121212121212,1
0.33,Ideal,I,SI2,61.2,56.0,681.07,4.49,4.5,2.75,1221.2121212121212,1
0.33,Ideal,J,SI1,61.1,56.0,681.07,4.49,4.55,2.76,1221.2121212121212,1
0.26,Good,D,VS2,65.2,56.0,681.07,3.99,4.02,2.61,1550.0,1
0.26,Good,D,VS1,58.4,63.0,681.07,4.19,4.24,2.46,1550.0,1
0.32,Good,H,SI2,63.1,56.0,681.07,4.34,4.37,2.75,1259.375,1
0.29,Premium,F,SI1,62.4,58.0,681.07,4.24,4.26,2.65,1389.6551724137933,1
0.32,Very Good,H,SI2,61.8,55.0,681.07,4.35,4.42,2.71,1259.375,1
0.32,Good,H,SI2,63.8,56.0,681.07,4.36,4.38,2.79,1259.375,1
0.25,Very Good,E,VS2,63.3,60.0,682.7600000000001,4.0,4.03,2.54,1616.0,1
0.29,Very Good,H,SI2,60.7,60.0,682.7600000000001,4.33,4.37,2.64,1393.103448275862,1
0.24,Very Good,F,SI1,60.9,61.0,682.7600000000001,4.02,4.03,2.45,1683.3333333333335,1
0.23,Ideal,G,VS1,61.9,54.0,682.7600000000001,3.93,3.95,2.44,1756.5217391304348,1
0.32,Ideal,I,SI1,60.9,55.0,682.7600000000001,4.45,4.48,2.72,1262.5,1
0.22,Premium,E,VS2,61.6,58.0,682.7600000000001,3.93,3.89,2.41,1836.3636363636363,1
0.22,Premium,D,VS2,59.3,62.0,682.7600000000001,3.91,3.88,2.31,1836.3636363636363,1
0.3,Ideal,I,SI2,61.0,59.0,684.45,4.3,4.33,2.63,1350.0,1
0.3,Premium,J,SI2,59.3,61.0,684.45,4.43,4.38,2.61,1350.0,1
0.3,Very Good,I,SI1,62.6,57.0,684.45,4.25,4.28,2.67,1350.0,1
