Year-Month,Arrivals Air,Arrivals Sea,Arrivals Total,Departures Air,Departures Sea,Departures Total
2010-01,728.4,44.8,773.2,732.4,59.3,791.7
2010-02,757.2,46.9,804.0,757.2,46.1,803.2
2010-03,906.6,83.3,989.8,919.6,81.5,1001.1
2010-04,735.8,168.7,904.5,709.5,172.5,882.0
2010-05,968.5,146.4,1114.9,977.9,132.9,1110.8
2010-06,1087.8,135.2,1223.0,1183.1,166.8,1349.9
2010-07,1286.8,233.4,1520.2,1269.5,212.1,1481.6
2010-08,1300.4,253.1,1553.6,1250.5,250.1,1500.5
2010-09,1091.2,126.4,1217.7,1078.7,133.7,1212.4
2010-10,1059.0,107.3,1166.3,1045.8,110.0,1155.8
2010-11,792.2,56.2,848.5,800.7,56.9,857.6
2010-12,686.7,99.9,786.5,700.5,73.1,773.6
2011-01,715.8,46.8,762.6,729.6,65.7,795.2
2011-02,722.1,52.3,774.4,724.0,51.0,775.0
2011-03,880.0,71.2,951.2,869.6,69.4,939.0
2011-04,963.2,142.9,1106.2,987.9,135.6,1123.5
2011-05,1080.9,133.9,1214.8,1084.2,128.8,1213.0
2011-06,1114.2,126.2,1240.4,1198.5,154.9,1353.5
2011-07,1302.3,220.9,1523.2,1288.0,198.0,1486.0
2011-08,1285.4,249.4,1534.9,1247.8,245.5,1493.3
2011-09,1073.9,123.0,1196.8,1070.3,134.1,1204.4
2011-10,971.2,89.5,1060.7,978.7,95.9,1074.5
2011-11,785.8,60.0,845.9,774.3,56.3,830.6
2011-12,752.6,86.0,838.6,754.3,67.4,821.6
2012-01,683.3,42.5,725.8,700.5,60.4,760.9
2012-02,714.1,52.9,767.1,706.9,50.7,757.6
2012-03,867.6,77.6,945.2,874.8,72.4,947.1
2012-04,996.0,127.3,1123.3,972.6,128.9,1101.6
2012-05,1039.9,107.6,1147.5,1089.6,107.5,1197.1
2012-06,1149.1,139.5,1288.6,1222.3,163.4,1385.7
2012-07,1283.8,205.2,1489.0,1278.8,177.5,1456.3
2012-08,1309.3,237.2,1546.6,1244.2,227.8,1471.9
2012-09,1120.5,114.6,1235.1,1122.1,122.9,1245.0
2012-10,1035.1,86.8,1121.9,1041.3,84.7,1126.0
2012-11,812.4,56.4,868.8,804.1,61.1,865.3
2012-12,795.5,87.6,883.1,782.4,64.6,847.0
2013-01,684.4,41.0,725.5,709.5,60.9,770.4
2013-02,704.6,49.0,753.5,698.7,46.6,745.3
2013-03,923.2,93.2,1016.4,937.3,81.3,1018.6
2013-04,996.5,98.8,1095.3,972.3,103.7,1076.1
2013-05,1112.9,123.7,1236.6,1160.2,117.5,1277.7
2013-06,1194.4,125.9,1320.3,1292.1,158.5,1450.7
2013-07,1374.9,214.5,1589.3,1336.7,188.3,1525.1
2013-08,1366.9,252.2,1619.1,1314.3,248.4,1562.7
2013-09,1156.5,119.9,1276.5,1144.2,125.2,1269.4
2013-10,1082.6,84.3,1166.9,1079.9,87.2,1167.0
2013-11,844.9,53.0,897.9,836.5,57.9,894.4
2013-12,846.0,89.7,935.7,832.7,65.1,897.8
2014-01,738.5,40.4,778.9,764.7,60.7,825.4
2014-02,749.5,50.6,800.1,742.8,47.5,790.3
2014-03,905.4,67.5,972.8,892.5,65.5,958.0
2014-04,1105.8,125.2,1231.0,1112.7,120.1,1232.8
2014-05,1188.2,122.5,1310.8,1223.8,125.6,1349.4
2014-06,1268.6,129.7,1398.2,1361.8,165.1,1527.0
2014-07,1451.0,241.5,1692.4,1418.4,208.2,1626.6
2014-08,1457.6,279.5,1737.1,1403.9,278.9,1682.8
2014-09,1229.3,115.3,1344.6,1231.2,119.5,1350.7
2014-10,1185.7,90.9,1276.6,1179.9,88.9,1268.7
2014-11,934.4,53.1,987.5,925.4,56.3,981.7
2014-12,924.8,91.8,1016.7,912.3,64.8,977.1
2015-01,833.6,37.3,871.0,861.5,61.9,923.4
2015-02,863.5,47.9,911.4,850.3,44.6,894.9
2015-03,1048.5,78.3,1126.8,1063.4,72.2,1135.6
2015-04,1208.9,115.1,1324.0,1178.5,113.1,1291.6
2015-05,1308.5,121.3,1429.8,1359.9,123.4,1483.3
2015-06,1450.3,125.7,1576.0,1541.7,149.7,1691.4
2015-07,1637.8,225.9,1863.7,1600.0,193.6,1793.7
2015-08,1597.9,244.3,1842.3,1552.5,247.3,1799.8
2015-09,1368.5,118.6,1487.0,1368.8,127.8,1496.6
2015-10,1346.3,104.5,1450.8,1339.8,103.7,1443.5
2015-11,1060.7,48.9,1109.6,1055.4,49.2,1104.6
2015-12,1020.2,87.7,1108.0,1018.6,61.6,1080.2
2016-01,963.8,38.0,1001.8,981.7,59.9,1041.6
2016-02,992.0,47.2,1039.2,989.0,44.5,1033.5
