,geo,TIME_PERIOD,prod,commodity,consumer,import
0,Austria,2017-01,18.25,101.6,101.52,99.7
1,Austria,2017-02,17.23,101.7,99.75,99.3
2,Austria,2017-03,20.07,101.2,101.88,100.0
3,Austria,2017-04,17.4,100.2,100.32,94.2
4,Austria,2017-05,19.02,100.0,103.19,99.9
5,Austria,2017-06,17.29,100.7,101.99,99.4
6,Austria,2017-07,16.42,102.1,100.79,105.7
7,Austria,2017-08,17.92,103.5,101.92,105.0
8,Austria,2017-09,18.76,104.6,102.71,99.8
9,Austria,2017-10,21.18,105.6,100.09,96.8
10,Austria,2017-11,22.14,106.4,103.29,101.1
11,Austria,2017-12,20.43,106.9,103.59,107.7
12,Austria,2018-01,20.99,107.1,102.59,105.6
13,Austria,2018-02,17.45,106.7,101.75,101.4
14,Austria,2018-03,20.77,105.7,103.31,96.5
15,Austria,2018-04,19.46,104.1,101.51,96.3
16,Austria,2018-05,18.25,102.6,104.42,98.5
17,Austria,2018-06,17.86,101.4,104.27,94.9
18,Austria,2018-07,17.71,100.3,102.79,97.5
19,Austria,2018-08,19.31,99.8,104.22,98.6
20,Austria,2018-09,18.01,99.9,102.1,94.2
21,Austria,2018-10,21.98,100.5,104.79,94.1
22,Austria,2018-11,22.5,101.0,104.12,94.0
23,Austria,2018-12,19.17,101.5,104.41,100.4
24,Austria,2019-01,19.89,101.8,106.86,98.6
25,Austria,2019-02,17.79,101.5,104.95,96.6
26,Austria,2019-03,19.39,100.6,106.14,97.7
27,Austria,2019-04,19.57,99.1,103.51,97.5
28,Austria,2019-05,19.48,98.1,105.75,98.5
29,Austria,2019-06,15.52,97.4,103.34,101.2
30,Austria,2019-07,18.29,97.2,105.2,103.1
31,Austria,2019-08,17.23,97.3,106.39,96.1
32,Austria,2019-09,18.95,97.7,102.63,94.1
33,Austria,2019-10,21.98,98.4,104.22,98.4
34,Austria,2019-11,21.22,99.2,103.82,98.7
35,Austria,2019-12,20.29,100.0,103.17,108.8
36,Austria,2020-01,20.26,100.8,106.35,98.1
37,Austria,2020-02,17.39,99.9,106.64,98.5
38,Austria,2020-03,19.52,97.5,106.46,92.0
39,Austria,2020-04,16.18,93.5,106.02,83.1
40,Austria,2020-05,17.19,92.1,102.4,85.8
41,Austria,2020-06,18.26,93.1,104.64,89.8
42,Austria,2020-07,17.53,96.5,106.22,92.7
43,Austria,2020-08,16.01,98.7,107.31,92.6
44,Austria,2020-09,18.55,99.7,106.4,89.6
45,Austria,2020-10,19.79,99.3,107.34,93.6
46,Austria,2020-11,19.41,99.6,102.41,85.3
47,Austria,2020-12,18.28,100.5,105.52,85.1
48,Austria,2021-01,16.05,102.1,99.28,80.8
49,Austria,2021-02,16.01,103.3,105.66,82.0
50,Austria,2021-03,20.34,103.9,105.99,80.7
51,Austria,2021-04,17.97,104.1,105.14,82.1
52,Austria,2021-05,17.42,104.7,103.96,94.8
53,Austria,2021-06,16.53,105.9,103.66,99.4
54,Austria,2021-07,16.16,107.7,105.86,100.1
55,Austria,2021-08,16.9,109.7,105.73,103.5
56,Austria,2021-09,17.74,112.0,104.9,102.8
57,Austria,2021-10,18.65,114.6,105.45,108.3
58,Austria,2021-11,21.67,116.8,104.78,111.4
59,Austria,2021-12,18.31,118.7,105.6,111.3
60,Austria,2022-01,16.1,120.4,104.64,112.6
61,Austria,2022-02,16.28,122.7,107.99,112.5
62,Austria,2022-03,19.36,125.9,108.78,135.1
63,Austria,2022-04,18.69,129.9,117.25,135.8
64,Austria,2022-05,18.5,132.1,115.97,141.2
65,Austria,2022-06,15.76,132.5,117.61,134.1
66,Austria,2022-07,13.9,131.0,114.18,133.3
67,Austria,2022-08,17.66,130.4,116.59,129.0
68,Austria,2022-09,17.14,130.8,116.28,128.7
69,Austria,2022-10,17.92,132.1,115.18,133.1
70,Austria,2022-11,20.44,132.9,116.18,129.3
71,Austria,2022-12,18.37,133.4,118.84,132.1
72,Belgium,2017-01,23.27,93.6,100.4,97.9
73,Belgium,2017-02,21.21,93.8,101.14,96.3
74,Belgium,2017-03,25.41,93.8,100.58,99.0
75,Belgium,2017-04,21.79,93.8,101.22,97.2
76,Belgium,2017-05,25.07,93.9,101.14,95.4
77,Belgium,2017-06,23.84,94.1,101.21,90.9
78,Belgium,2017-07,20.59,94.4,100.89,100.7
79,Belgium,2017-08,23.0,95.1,101.15,98.1
80,Belgium,2017-09,23.77,96.2,101.23,100.1
81,Belgium,2017-10,24.59,97.8,99.52,101.7
82,Belgium,2017-11,24.47,98.9,101.66,97.8
83,Belgium,2017-12,24.53,99.6,100.05,102.4
84,Belgium,2018-01,23.91,99.7,100.09,103.2
85,Belgium,2018-02,21.42,99.6,100.73,102.4
86,Belgium,2018-03,24.15,99.3,100.43,103.8
87,Belgium,2018-04,23.09,98.6,100.81,103.3
88,Belgium,2018-05,23.89,97.5,100.36,106.4
89,Belgium,2018-06,22.21,96.0,101.69,101.3
90,Belgium,2018-07,20.66,93.9,99.78,105.0
91,Belgium,2018-08,23.29,92.9,101.58,96.5
92,Belgium,2018-09,21.73,92.9,101.26,100.7
93,Belgium,2018-10,25.29,93.9,100.72,99.4
94,Belgium,2018-11,24.43,94.6,100.24,102.3
95,Belgium,2018-12,23.26,94.9,100.55,103.8
96,Belgium,2019-01,22.67,94.9,100.22,101.7
97,Belgium,2019-02,20.09,95.0,100.77,99.6
98,Belgium,2019-03,21.83,95.4,99.63,98.5
99,Belgium,2019-04,23.0,96.1,99.97,100.3
100,Belgium,2019-05,23.38,96.2,101.71,99.5
101,Belgium,2019-06,20.7,96.0,101.9,97.7
102,Belgium,2019-07,20.34,95.2,101.42,95.2
103,Belgium,2019-08,21.78,96.0,102.33,97.1
104,Belgium,2019-09,22.58,98.4,99.66,96.2
105,Belgium,2019-10,23.58,102.6,100.51,101.1
106,Belgium,2019-11,21.37,105.5,101.7,95.7
107,Belgium,2019-12,22.44,107.1,101.17,102.3
108,Belgium,2020-01,21.99,107.5,101.45,104.1
109,Belgium,2020-02,19.16,106.8,101.73,100.2
110,Belgium,2020-03,21.26,105.2,102.0,101.4
111,Belgium,2020-04,20.58,102.7,103.94,93.2
112,Belgium,2020-05,19.97,101.3,103.04,98.9
113,Belgium,2020-06,21.7,101.1,103.51,101.5
114,Belgium,2020-07,21.09,101.9,102.75,101.2
115,Belgium,2020-08,20.65,102.1,104.87,100.6
116,Belgium,2020-09,21.35,101.7,103.33,100.0
117,Belgium,2020-10,22.53,100.6,103.47,99.2
118,Belgium,2020-11,21.19,100.0,103.03,97.0
119,Belgium,2020-12,23.05,99.8,103.38,96.8
120,Belgium,2021-01,19.4,100.0,103.16,95.8
121,Belgium,2021-02,18.7,100.7,101.99,95.0
122,Belgium,2021-03,21.88,101.7,102.35,97.1
123,Belgium,2021-04,20.57,103.1,103.0,96.3
124,Belgium,2021-05,20.75,104.9,103.47,102.9
125,Belgium,2021-06,20.47,107.1,104.59,103.6
126,Belgium,2021-07,19.75,109.8,103.53,104.2
127,Belgium,2021-08,20.37,111.8,105.06,104.5
128,Belgium,2021-09,20.57,113.1,105.44,113.2
129,Belgium,2021-10,21.08,113.7,104.6,107.6
130,Belgium,2021-11,21.62,114.4,104.35,111.9
131,Belgium,2021-12,21.98,115.2,105.1,120.4
132,Belgium,2022-01,19.83,116.0,105.97,116.9
133,Belgium,2022-02,18.2,117.2,106.03,128.5
134,Belgium,2022-03,20.81,118.9,107.18,125.2
135,Belgium,2022-04,20.17,121.0,108.4,142.0
136,Belgium,2022-05,20.66,122.0,108.94,141.4
137,Belgium,2022-06,19.53,121.7,111.6,134.0
138,Belgium,2022-07,16.86,120.2,111.56,136.7
139,Belgium,2022-08,20.09,119.7,113.88,125.9
140,Belgium,2022-09,20.76,120.2,114.4,132.4
141,Belgium,2022-10,19.98,121.7,113.85,130.9
142,Belgium,2022-11,20.13,122.9,115.14,128.9
143,Belgium,2022-12,21.12,123.8,116.22,139.9
144,Bulgaria,2017-01,0.53,84.2,98.01,98.2
145,Bulgaria,2017-02,0.64,85.3,98.19,96.3
146,Bulgaria,2017-03,0.6,86.8,98.08,99.7
147,Bulgaria,2017-04,0.47,88.7,97.81,108.3
148,Bulgaria,2017-05,0.61,88.8,98.89,96.7
149,Bulgaria,2017-06,0.55,87.1,98.77,107.0
150,Bulgaria,2017-07,0.47,83.7,98.99,108.6
151,Bulgaria,2017-08,0.48,83.5,98.11,112.5
152,Bulgaria,2017-09,0.54,86.5,101.53,107.5
153,Bulgaria,2017-10,0.95,93.1,100.78,111.6
154,Bulgaria,2017-11,0.9,94.7,101.01,105.8
155,Bulgaria,2017-12,0.69,91.2,101.84,106.6
156,Bulgaria,2018-01,0.75,83.0,99.69,117.7
157,Bulgaria,2018-02,0.56,80.5,100.58,115.9
158,Bulgaria,2018-03,0.64,83.0,100.95,112.0
159,Bulgaria,2018-04,0.5,91.2,101.07,118.1
160,Bulgaria,2018-05,0.54,95.3,102.29,122.7
161,Bulgaria,2018-06,0.46,94.6,101.85,119.9
162,Bulgaria,2018-07,0.43,89.4,103.16,122.9
163,Bulgaria,2018-08,0.48,87.4,103.69,117.3
164,Bulgaria,2018-09,0.68,88.4,104.28,113.7
165,Bulgaria,2018-10,0.77,92.4,105.94,115.2
166,Bulgaria,2018-11,0.71,93.6,104.33,116.8
167,Bulgaria,2018-12,0.7,91.8,105.33,119.2
168,Bulgaria,2019-01,0.48,87.2,104.41,123.8
169,Bulgaria,2019-02,0.43,88.1,104.9,112.2
170,Bulgaria,2019-03,0.46,94.6,104.52,120.3
171,Bulgaria,2019-04,0.37,108.1,103.07,112.8
172,Bulgaria,2019-05,0.46,114.2,104.97,118.7
173,Bulgaria,2019-06,0.32,111.7,105.82,122.5
174,Bulgaria,2019-07,0.35,101.0,107.17,126.7
175,Bulgaria,2019-08,0.42,96.3,109.18,118.6
176,Bulgaria,2019-09,0.53,96.6,108.89,113.9
177,Bulgaria,2019-10,0.6,102.1,109.57,119.2
178,Bulgaria,2019-11,0.55,105.7,109.27,111.8
179,Bulgaria,2019-12,0.52,107.2,109.53,113.5
180,Bulgaria,2020-01,0.55,106.5,111.68,121.4
181,Bulgaria,2020-02,0.48,108.5,110.98,115.1
182,Bulgaria,2020-03,0.52,113.4,110.49,116.6
183,Bulgaria,2020-04,0.44,121.5,112.38,112.2
184,Bulgaria,2020-05,0.44,124.0,109.21,111.3
185,Bulgaria,2020-06,0.41,120.5,111.56,116.0
186,Bulgaria,2020-07,0.41,111.4,113.14,121.2
187,Bulgaria,2020-08,0.39,107.4,111.85,115.4
188,Bulgaria,2020-09,0.62,107.7,114.57,110.0
189,Bulgaria,2020-10,0.63,112.5,113.77,111.8
190,Bulgaria,2020-11,0.72,113.9,114.22,115.6
191,Bulgaria,2020-12,0.63,111.8,111.69,109.7
192,Bulgaria,2021-01,0.52,106.4,113.8,115.6
193,Bulgaria,2021-02,0.46,106.0,112.45,116.0
194,Bulgaria,2021-03,0.51,110.8,114.88,112.7
195,Bulgaria,2021-04,0.44,121.5,113.94,115.4
196,Bulgaria,2021-05,0.43,126.7,115.07,115.7
197,Bulgaria,2021-06,0.41,125.8,115.37,123.6
198,Bulgaria,2021-07,0.45,118.8,113.27,127.4
199,Bulgaria,2021-08,0.5,113.4,113.48,128.6
200,Bulgaria,2021-09,0.83,109.2,111.87,124.6
201,Bulgaria,2021-10,0.8,106.2,115.74,131.0
202,Bulgaria,2021-11,0.95,105.3,114.72,139.2
203,Bulgaria,2021-12,0.81,106.4,115.6,144.6
204,Bulgaria,2022-01,0.71,109.6,117.19,142.4
205,Bulgaria,2022-02,0.68,116.4,119.9,152.0
206,Bulgaria,2022-03,0.66,127.4,124.99,156.6
207,Bulgaria,2022-04,0.48,144.0,128.93,166.1
208,Bulgaria,2022-05,0.51,153.1,131.37,184.6
209,Bulgaria,2022-06,0.42,153.5,132.64,196.3
210,Bulgaria,2022-07,0.41,145.1,134.31,183.2
211,Bulgaria,2022-08,0.36,140.7,136.54,179.8
212,Bulgaria,2022-09,0.74,139.8,140.79,183.5
213,Bulgaria,2022-10,0.69,142.4,143.63,183.7
214,Bulgaria,2022-11,0.73,143.5,147.68,176.8
215,Bulgaria,2022-12,0.65,143.1,152.3,169.3
216,Cyprus,2017-01,0.41,97.9,100.16,99.1
217,Cyprus,2017-02,0.33,103.4,100.55,108.7
218,Cyprus,2017-03,0.37,106.0,100.63,100.4
219,Cyprus,2017-04,0.35,105.9,100.41,112.9
220,Cyprus,2017-05,0.41,104.9,100.38,108.8
