"STATISTIC Label","Year","Direction","Route","UNIT","VALUE"
"Air and Sea Travel","2010","Arrivals","All routes of travel","Thousand","12902.2"
"Air and Sea Travel","2010","Arrivals","Cross channel","Thousand","6113"
"Air and Sea Travel","2010","Arrivals","Continental Europe","Thousand","5652.6"
"Air and Sea Travel","2010","Arrivals","Transatlantic","Thousand","914.5"
"Air and Sea Travel","2010","Arrivals","Other","Thousand","222.1"
"Air and Sea Travel","2010","Departures","All routes of travel","Thousand","12920.2"
"Air and Sea Travel","2010","Departures","Cross channel","Thousand","6132.4"
"Air and Sea Travel","2010","Departures","Continental Europe","Thousand","5643.3"
"Air and Sea Travel","2010","Departures","Transatlantic","Thousand","924.3"
"Air and Sea Travel","2010","Departures","Other","Thousand","220.3"
"Air and Sea Travel","2011","Arrivals","All routes of travel","Thousand","13049.7"
"Air and Sea Travel","2011","Arrivals","Cross channel","Thousand","6102.5"
"Air and Sea Travel","2011","Arrivals","Continental Europe","Thousand","5782.5"
"Air and Sea Travel","2011","Arrivals","Transatlantic","Thousand","932.5"
"Air and Sea Travel","2011","Arrivals","Other","Thousand","232.2"
"Air and Sea Travel","2011","Departures","All routes of travel","Thousand","13109.7"
"Air and Sea Travel","2011","Departures","Cross channel","Thousand","6147.4"
"Air and Sea Travel","2011","Departures","Continental Europe","Thousand","5779.8"
"Air and Sea Travel","2011","Departures","Transatlantic","Thousand","950.9"
"Air and Sea Travel","2011","Departures","Other","Thousand","231.5"
"Air and Sea Travel","2012","Arrivals","All routes of travel","Thousand","13142"
"Air and Sea Travel","2012","Arrivals","Cross channel","Thousand","5930.5"
"Air and Sea Travel","2012","Arrivals","Continental Europe","Thousand","5920.1"
"Air and Sea Travel","2012","Arrivals","Transatlantic","Thousand","957.5"
"Air and Sea Travel","2012","Arrivals","Other","Thousand","334"
"Air and Sea Travel","2012","Departures","All routes of travel","Thousand","13161.6"
"Air and Sea Travel","2012","Departures","Cross channel","Thousand","5946.3"
"Air and Sea Travel","2012","Departures","Continental Europe","Thousand","5899.9"
"Air and Sea Travel","2012","Departures","Transatlantic","Thousand","974.6"
"Air and Sea Travel","2012","Departures","Other","Thousand","340.7"
