"STATISTIC Label","Month","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2010 January","Great Britain","Arrivals","Thousand","361.5"
"Air and Sea Travel","2010 January","Great Britain","Departures","Thousand","407.6"
"Air and Sea Travel","2010 January","Other UK (1)","Arrivals","Thousand","0.9"
"Air and Sea Travel","2010 January","Other UK (1)","Departures","Thousand","1.1"
"Air and Sea Travel","2010 January","Belgium","Arrivals","Thousand","12.5"
"Air and Sea Travel","2010 January","Belgium","Departures","Thousand","12.5"
"Air and Sea Travel","2010 January","Germany","Arrivals","Thousand","45.3"
"Air and Sea Travel","2010 January","Germany","Departures","Thousand","42.7"
"Air and Sea Travel","2010 January","Spain","Arrivals","Thousand","68.6"
"Air and Sea Travel","2010 January","Spain","Departures","Thousand","64.2"
"Air and Sea Travel","2010 January","France","Arrivals","Thousand","48.9"
"Air and Sea Travel","2010 January","France","Departures","Thousand","45.1"
"Air and Sea Travel","2010 January","Italy","Arrivals","Thousand","24.6"
"Air and Sea Travel","2010 January","Italy","Departures","Thousand","24"
"Air and Sea Travel","2010 January","Netherlands","Arrivals","Thousand","24"
"Air and Sea Travel","2010 January","Netherlands","Departures","Thousand","23.1"
"Air and Sea Travel","2010 January","Poland","Arrivals","Thousand","43.2"
"Air and Sea Travel","2010 January","Poland","Departures","Thousand","35.8"
"Air and Sea Travel","2010 January","Portugal","Arrivals","Thousand","8"
"Air and Sea Travel","2010 January","Portugal","Departures","Thousand","6.6"
"Air and Sea Travel","2010 January","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Arrivals","Thousand","53.6"
"Air and Sea Travel","2010 January","Selected EU (AT,BG,CY,CZ,DK,EE,FI,GR,HR,HU,LT,LU,LV,MT,RO,SE,SI,SK)","Departures","Thousand","48.8"
"Air and Sea Travel","2010 January","Switzerland","Arrivals","Thousand","12.3"
"Air and Sea Travel","2010 January","Switzerland","Departures","Thousand","12.4"
"Air and Sea Travel","2010 January","Other Europe (34)","Arrivals","Thousand","3.9"
"Air and Sea Travel","2010 January","Other Europe (34)","Departures","Thousand","4"
"Air and Sea Travel","2010 January","United States","Arrivals","Thousand","51.7"
"Air and Sea Travel","2010 January","United States","Departures","Thousand","51.2"
