"STATISTIC Label","Year","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2010","All countries","Arrivals","Thousand","12902.2"
"Air and Sea Travel","2010","All countries","Departures","Thousand","12920.2"
"Air and Sea Travel","2010","United Arab Emirates","Arrivals","Thousand","99"
"Air and Sea Travel","2010","United Arab Emirates","Departures","Thousand","99"
"Air and Sea Travel","2010","Austria","Arrivals","Thousand","65.3"
"Air and Sea Travel","2010","Austria","Departures","Thousand","64.5"
"Air and Sea Travel","2010","Belgium","Arrivals","Thousand","162.1"
"Air and Sea Travel","2010","Belgium","Departures","Thousand","164.1"
"Air and Sea Travel","2010","Bulgaria","Arrivals","Thousand","19.5"
"Air and Sea Travel","2010","Bulgaria","Departures","Thousand","19.6"
"Air and Sea Travel","2010","Canada","Arrivals","Thousand","42.8"
"Air and Sea Travel","2010","Canada","Departures","Thousand","43"
"Air and Sea Travel","2010","Switzerland","Arrivals","Thousand","128.5"
"Air and Sea Travel","2010","Switzerland","Departures","Thousand","129.3"
"Air and Sea Travel","2010","Cyprus","Arrivals","Thousand","7.8"
"Air and Sea Travel","2010","Cyprus","Departures","Thousand","7.9"
"Air and Sea Travel","2010","Czech Republic","Arrivals","Thousand","62"
"Air and Sea Travel","2010","Czech Republic","Departures","Thousand","62.5"
"Air and Sea Travel","2010","Germany","Arrivals","Thousand","668.3"
"Air and Sea Travel","2010","Germany","Departures","Thousand","664.6"
"Air and Sea Travel","2010","Denmark","Arrivals","Thousand","93.2"
"Air and Sea Travel","2010","Denmark","Departures","Thousand","92.4"
"Air and Sea Travel","2010","Estonia","Arrivals","Thousand","2.4"
"Air and Sea Travel","2010","Estonia","Departures","Thousand","2.9"
"Air and Sea Travel","2010","Spain","Arrivals","Thousand","1366.4"
"Air and Sea Travel","2010","Spain","Departures","Thousand","1363.7"
"Air and Sea Travel","2010","Finland","Arrivals","Thousand","9.2"
"Air and Sea Travel","2010","Finland","Departures","Thousand","9.3"
"Air and Sea Travel","2010","France","Arrivals","Thousand","944.5"
"Air and Sea Travel","2010","France","Departures","Thousand","946.3"
"Air and Sea Travel","2010","Other UK (1)","Arrivals","Thousand","26.6"
"Air and Sea Travel","2010","Other UK (1)","Departures","Thousand","27"
"Air and Sea Travel","2010","Greece","Arrivals","Thousand","25.5"
"Air and Sea Travel","2010","Greece","Departures","Thousand","26"
"Air and Sea Travel","2010","Croatia","Arrivals","Thousand","35.1"
"Air and Sea Travel","2010","Croatia","Departures","Thousand","33.9"
"Air and Sea Travel","2010","Hungary","Arrivals","Thousand","97.7"
"Air and Sea Travel","2010","Hungary","Departures","Thousand","97.3"
"Air and Sea Travel","2010","Iceland","Arrivals","Thousand","0.7"
"Air and Sea Travel","2010","Iceland","Departures","Thousand","0.8"
"Air and Sea Travel","2010","Italy","Arrivals","Thousand","454.2"
"Air and Sea Travel","2010","Italy","Departures","Thousand","448.5"
"Air and Sea Travel","2010","Lithuania","Arrivals","Thousand","89.5"
"Air and Sea Travel","2010","Lithuania","Departures","Thousand","86"
"Air and Sea Travel","2010","Luxembourg","Arrivals","Thousand","5.8"
"Air and Sea Travel","2010","Luxembourg","Departures","Thousand","6"
"Air and Sea Travel","2010","Latvia","Arrivals","Thousand","75.3"
"Air and Sea Travel","2010","Latvia","Departures","Thousand","75.5"
"Air and Sea Travel","2010","Malta","Arrivals","Thousand","29.2"
"Air and Sea Travel","2010","Malta","Departures","Thousand","29.5"
"Air and Sea Travel","2010","Netherlands","Arrivals","Thousand","333.3"
"Air and Sea Travel","2010","Netherlands","Departures","Thousand","334"
"Air and Sea Travel","2010","Norway","Arrivals","Thousand","65.7"
"Air and Sea Travel","2010","Norway","Departures","Thousand","67.8"
"Air and Sea Travel","2010","Poland","Arrivals","Thousand","484.5"
