"STATISTIC Label","Month","Direction","Mode","UNIT","VALUE"
"Air and Sea Travel","2010 January","Arrivals","All modes of transport","Thousand","773.2"
"Air and Sea Travel","2010 January","Arrivals","Air","Thousand","728.4"
"Air and Sea Travel","2010 January","Arrivals","Sea","Thousand","44.8"
"Air and Sea Travel","2010 January","Departures","All modes of transport","Thousand","791.7"
"Air and Sea Travel","2010 January","Departures","Air","Thousand","732.4"
"Air and Sea Travel","2010 January","Departures","Sea","Thousand","59.3"
"Air and Sea Travel","2010 February","Arrivals","All modes of transport","Thousand","804"
"Air and Sea Travel","2010 February","Arrivals","Air","Thousand","757.2"
"Air and Sea Travel","2010 February","Arrivals","Sea","Thousand","46.9"
"Air and Sea Travel","2010 February","Departures","All modes of transport","Thousand","803.2"
"Air and Sea Travel","2010 February","Departures","Air","Thousand","757.2"
"Air and Sea Travel","2010 February","Departures","Sea","Thousand","46.1"
"Air and Sea Travel","2010 March","Arrivals","All modes of transport","Thousand","989.8"
"Air and Sea Travel","2010 March","Arrivals","Air","Thousand","906.6"
"Air and Sea Travel","2010 March","Arrivals","Sea","Thousand","83.3"
"Air and Sea Travel","2010 March","Departures","All modes of transport","Thousand","1001.1"
"Air and Sea Travel","2010 March","Departures","Air","Thousand","919.6"
"Air and Sea Travel","2010 March","Departures","Sea","Thousand","81.5"
"Air and Sea Travel","2010 April","Arrivals","All modes of transport","Thousand","904.5"
"Air and Sea Travel","2010 April","Arrivals","Air","Thousand","735.8"
"Air and Sea Travel","2010 April","Arrivals","Sea","Thousand","168.7"
"Air and Sea Travel","2010 April","Departures","All modes of transport","Thousand","882"
"Air and Sea Travel","2010 April","Departures","Air","Thousand","709.5"
"Air and Sea Travel","2010 April","Departures","Sea","Thousand","172.5"
"Air and Sea Travel","2010 May","Arrivals","All modes of transport","Thousand","1114.9"
"Air and Sea Travel","2010 May","Arrivals","Air","Thousand","968.5"
"Air and Sea Travel","2010 May","Arrivals","Sea","Thousand","146.4"
"Air and Sea Travel","2010 May","Departures","All modes of transport","Thousand","1110.8"
"Air and Sea Travel","2010 May","Departures","Air","Thousand","977.9"
"Air and Sea Travel","2010 May","Departures","Sea","Thousand","132.9"
"Air and Sea Travel","2010 June","Arrivals","All modes of transport","Thousand","1223"
"Air and Sea Travel","2010 June","Arrivals","Air","Thousand","1087.8"
"Air and Sea Travel","2010 June","Arrivals","Sea","Thousand","135.2"
"Air and Sea Travel","2010 June","Departures","All modes of transport","Thousand","1349.9"
"Air and Sea Travel","2010 June","Departures","Air","Thousand","1183.1"
"Air and Sea Travel","2010 June","Departures","Sea","Thousand","166.8"
"Air and Sea Travel","2010 July","Arrivals","All modes of transport","Thousand","1520.2"
"Air and Sea Travel","2010 July","Arrivals","Air","Thousand","1286.8"
"Air and Sea Travel","2010 July","Arrivals","Sea","Thousand","233.4"
"Air and Sea Travel","2010 July","Departures","All modes of transport","Thousand","1481.6"
"Air and Sea Travel","2010 July","Departures","Air","Thousand","1269.5"
"Air and Sea Travel","2010 July","Departures","Sea","Thousand","212.1"
"Air and Sea Travel","2010 August","Arrivals","All modes of transport","Thousand","1553.6"
"Air and Sea Travel","2010 August","Arrivals","Air","Thousand","1300.4"
"Air and Sea Travel","2010 August","Arrivals","Sea","Thousand","253.1"
"Air and Sea Travel","2010 August","Departures","All modes of transport","Thousand","1500.5"
"Air and Sea Travel","2010 August","Departures","Air","Thousand","1250.5"
"Air and Sea Travel","2010 August","Departures","Sea","Thousand","250.1"
"Air and Sea Travel","2010 September","Arrivals","All modes of transport","Thousand","1217.7"
"Air and Sea Travel","2010 September","Arrivals","Air","Thousand","1091.2"
"Air and Sea Travel","2010 September","Arrivals","Sea","Thousand","126.4"
"Air and Sea Travel","2010 September","Departures","All modes of transport","Thousand","1212.4"
"Air and Sea Travel","2010 September","Departures","Air","Thousand","1078.7"
"Air and Sea Travel","2010 September","Departures","Sea","Thousand","133.7"
