"STATISTIC Label","Month","Direction","Route","UNIT","VALUE"
"Air and Sea Travel","2010 January","Arrivals","All routes of travel","Thousand","773.2"
"Air and Sea Travel","2010 January","Arrivals","Cross channel","Thousand","362.5"
"Air and Sea Travel","2010 January","Arrivals","Continental Europe","Thousand","344.8"
"Air and Sea Travel","2010 January","Arrivals","Transatlantic","Thousand","51.7"
"Air and Sea Travel","2010 January","Arrivals","Other","Thousand","14.2"
"Air and Sea Travel","2010 January","Departures","All routes of travel","Thousand","791.7"
"Air and Sea Travel","2010 January","Departures","Cross channel","Thousand","408.7"
"Air and Sea Travel","2010 January","Departures","Continental Europe","Thousand","319"
"Air and Sea Travel","2010 January","Departures","Transatlantic","Thousand","51.3"
"Air and Sea Travel","2010 January","Departures","Other","Thousand","12.7"
"Air and Sea Travel","2010 February","Arrivals","All routes of travel","Thousand","804"
"Air and Sea Travel","2010 February","Arrivals","Cross channel","Thousand","420.5"
"Air and Sea Travel","2010 February","Arrivals","Continental Europe","Thousand","330.5"
"Air and Sea Travel","2010 February","Arrivals","Transatlantic","Thousand","41.6"
"Air and Sea Travel","2010 February","Arrivals","Other","Thousand","11.4"
"Air and Sea Travel","2010 February","Departures","All routes of travel","Thousand","803.2"
"Air and Sea Travel","2010 February","Departures","Cross channel","Thousand","423"
"Air and Sea Travel","2010 February","Departures","Continental Europe","Thousand","326.2"
"Air and Sea Travel","2010 February","Departures","Transatlantic","Thousand","42.7"
"Air and Sea Travel","2010 February","Departures","Other","Thousand","11.3"
"Air and Sea Travel","2010 March","Arrivals","All routes of travel","Thousand","989.8"
"Air and Sea Travel","2010 March","Arrivals","Cross channel","Thousand","519.8"
"Air and Sea Travel","2010 March","Arrivals","Continental Europe","Thousand","394"
"Air and Sea Travel","2010 March","Arrivals","Transatlantic","Thousand","63"
"Air and Sea Travel","2010 March","Arrivals","Other","Thousand","13"
"Air and Sea Travel","2010 March","Departures","All routes of travel","Thousand","1001.1"
"Air and Sea Travel","2010 March","Departures","Cross channel","Thousand","511.5"
"Air and Sea Travel","2010 March","Departures","Continental Europe","Thousand","410"
"Air and Sea Travel","2010 March","Departures","Transatlantic","Thousand","65.7"
"Air and Sea Travel","2010 March","Departures","Other","Thousand","13.9"
"Air and Sea Travel","2010 April","Arrivals","All routes of travel","Thousand","904.5"
"Air and Sea Travel","2010 April","Arrivals","Cross channel","Thousand","457.5"
"Air and Sea Travel","2010 April","Arrivals","Continental Europe","Thousand","373"
"Air and Sea Travel","2010 April","Arrivals","Transatlantic","Thousand","59.6"
"Air and Sea Travel","2010 April","Arrivals","Other","Thousand","14.4"
"Air and Sea Travel","2010 April","Departures","All routes of travel","Thousand","882"
"Air and Sea Travel","2010 April","Departures","Cross channel","Thousand","451.6"
"Air and Sea Travel","2010 April","Departures","Continental Europe","Thousand","362"
"Air and Sea Travel","2010 April","Departures","Transatlantic","Thousand","56.3"
"Air and Sea Travel","2010 April","Departures","Other","Thousand","12"
"Air and Sea Travel","2010 May","Arrivals","All routes of travel","Thousand","1114.9"
"Air and Sea Travel","2010 May","Arrivals","Cross channel","Thousand","509.2"
"Air and Sea Travel","2010 May","Arrivals","Continental Europe","Thousand","502"
"Air and Sea Travel","2010 May","Arrivals","Transatlantic","Thousand","83.2"
"Air and Sea Travel","2010 May","Arrivals","Other","Thousand","20.6"
"Air and Sea Travel","2010 May","Departures","All routes of travel","Thousand","1110.8"
"Air and Sea Travel","2010 May","Departures","Cross channel","Thousand","478.7"
"Air and Sea Travel","2010 May","Departures","Continental Europe","Thousand","533.1"
"Air and Sea Travel","2010 May","Departures","Transatlantic","Thousand","77.5"
"Air and Sea Travel","2010 May","Departures","Other","Thousand","21.5"
"Air and Sea Travel","2010 June","Arrivals","All routes of travel","Thousand","1223"
"Air and Sea Travel","2010 June","Arrivals","Cross channel","Thousand","517.4"
"Air and Sea Travel","2010 June","Arrivals","Continental Europe","Thousand","582.9"
"Air and Sea Travel","2010 June","Arrivals","Transatlantic","Thousand","101.3"
"Air and Sea Travel","2010 June","Arrivals","Other","Thousand","21.4"
"Air and Sea Travel","2010 June","Departures","All routes of travel","Thousand","1349.9"
"Air and Sea Travel","2010 June","Departures","Cross channel","Thousand","582.7"
"Air and Sea Travel","2010 June","Departures","Continental Europe","Thousand","644.3"
"Air and Sea Travel","2010 June","Departures","Transatlantic","Thousand","99.2"
"Air and Sea Travel","2010 June","Departures","Other","Thousand","23.7"
"Air and Sea Travel","2010 July","Arrivals","All routes of travel","Thousand","1520.2"
"Air and Sea Travel","2010 July","Arrivals","Cross channel","Thousand","674.7"
"Air and Sea Travel","2010 July","Arrivals","Continental Europe","Thousand","713.1"
"Air and Sea Travel","2010 July","Arrivals","Transatlantic","Thousand","104.7"
"Air and Sea Travel","2010 July","Arrivals","Other","Thousand","27.6"
"Air and Sea Travel","2010 July","Departures","All routes of travel","Thousand","1481.6"
"Air and Sea Travel","2010 July","Departures","Cross channel","Thousand","630.4"
"Air and Sea Travel","2010 July","Departures","Continental Europe","Thousand","707.5"
"Air and Sea Travel","2010 July","Departures","Transatlantic","Thousand","115.7"
"Air and Sea Travel","2010 July","Departures","Other","Thousand","27.9"
"Air and Sea Travel","2010 August","Arrivals","All routes of travel","Thousand","1553.6"
"Air and Sea Travel","2010 August","Arrivals","Cross channel","Thousand","702.1"
"Air and Sea Travel","2010 August","Arrivals","Continental Europe","Thousand","713.1"
"Air and Sea Travel","2010 August","Arrivals","Transatlantic","Thousand","109.5"
"Air and Sea Travel","2010 August","Arrivals","Other","Thousand","28.8"
"Air and Sea Travel","2010 August","Departures","All routes of travel","Thousand","1500.5"
"Air and Sea Travel","2010 August","Departures","Cross channel","Thousand","695.2"
"Air and Sea Travel","2010 August","Departures","Continental Europe","Thousand","667.2"
"Air and Sea Travel","2010 August","Departures","Transatlantic","Thousand","111.5"
"Air and Sea Travel","2010 August","Departures","Other","Thousand","26.7"
"Air and Sea Travel","2010 September","Arrivals","All routes of travel","Thousand","1217.7"
"Air and Sea Travel","2010 September","Arrivals","Cross channel","Thousand","523.6"
"Air and Sea Travel","2010 September","Arrivals","Continental Europe","Thousand","574.6"
"Air and Sea Travel","2010 September","Arrivals","Transatlantic","Thousand","93.1"
"Air and Sea Travel","2010 September","Arrivals","Other","Thousand","26.3"
"Air and Sea Travel","2010 September","Departures","All routes of travel","Thousand","1212.4"
"Air and Sea Travel","2010 September","Departures","Cross channel","Thousand","548.8"
"Air and Sea Travel","2010 September","Departures","Continental Europe","Thousand","546.2"
"Air and Sea Travel","2010 September","Departures","Transatlantic","Thousand","93.1"
"Air and Sea Travel","2010 September","Departures","Other","Thousand","24.3"
"Air and Sea Travel","2010 October","Arrivals","All routes of travel","Thousand","1166.3"
"Air and Sea Travel","2010 October","Arrivals","Cross channel","Thousand","546.6"
"Air and Sea Travel","2010 October","Arrivals","Continental Europe","Thousand","521.1"
"Air and Sea Travel","2010 October","Arrivals","Transatlantic","Thousand","79.1"
"Air and Sea Travel","2010 October","Arrivals","Other","Thousand","19.5"
"Air and Sea Travel","2010 October","Departures","All routes of travel","Thousand","1155.8"
"Air and Sea Travel","2010 October","Departures","Cross channel","Thousand","559.2"
"Air and Sea Travel","2010 October","Departures","Continental Europe","Thousand","489.9"
"Air and Sea Travel","2010 October","Departures","Transatlantic","Thousand","87.3"
"Air and Sea Travel","2010 October","Departures","Other","Thousand","19.3"
"Air and Sea Travel","2010 November","Arrivals","All routes of travel","Thousand","848.5"
"Air and Sea Travel","2010 November","Arrivals","Cross channel","Thousand","449"
"Air and Sea Travel","2010 November","Arrivals","Continental Europe","Thousand","323.4"
"Air and Sea Travel","2010 November","Arrivals","Transatlantic","Thousand","63.8"
"Air and Sea Travel","2010 November","Arrivals","Other","Thousand","12.2"
"Air and Sea Travel","2010 November","Departures","All routes of travel","Thousand","857.6"
"Air and Sea Travel","2010 November","Departures","Cross channel","Thousand","461.6"
"Air and Sea Travel","2010 November","Departures","Continental Europe","Thousand","318"
"Air and Sea Travel","2010 November","Departures","Transatlantic","Thousand","66.5"
"Air and Sea Travel","2010 November","Departures","Other","Thousand","11.6"
"Air and Sea Travel","2010 December","Arrivals","All routes of travel","Thousand","786.5"
"Air and Sea Travel","2010 December","Arrivals","Cross channel","Thousand","430.2"
"Air and Sea Travel","2010 December","Arrivals","Continental Europe","Thousand","279.9"
"Air and Sea Travel","2010 December","Arrivals","Transatlantic","Thousand","63.9"
"Air and Sea Travel","2010 December","Arrivals","Other","Thousand","12.5"
"Air and Sea Travel","2010 December","Departures","All routes of travel","Thousand","773.6"
"Air and Sea Travel","2010 December","Departures","Cross channel","Thousand","380.9"
"Air and Sea Travel","2010 December","Departures","Continental Europe","Thousand","319.8"
"Air and Sea Travel","2010 December","Departures","Transatlantic","Thousand","57.5"
"Air and Sea Travel","2010 December","Departures","Other","Thousand","15.4"
"Air and Sea Travel","2011 January","Arrivals","All routes of travel","Thousand","762.6"
"Air and Sea Travel","2011 January","Arrivals","Cross channel","Thousand","368.9"
"Air and Sea Travel","2011 January","Arrivals","Continental Europe","Thousand","332.8"
"Air and Sea Travel","2011 January","Arrivals","Transatlantic","Thousand","46.1"
"Air and Sea Travel","2011 January","Arrivals","Other","Thousand","14.9"
"Air and Sea Travel","2011 January","Departures","All routes of travel","Thousand","795.2"
"Air and Sea Travel","2011 January","Departures","Cross channel","Thousand","422.9"
"Air and Sea Travel","2011 January","Departures","Continental Europe","Thousand","311.3"
"Air and Sea Travel","2011 January","Departures","Transatlantic","Thousand","47"
"Air and Sea Travel","2011 January","Departures","Other","Thousand","14"
"Air and Sea Travel","2011 February","Arrivals","All routes of travel","Thousand","774.4"
"Air and Sea Travel","2011 February","Arrivals","Cross channel","Thousand","403.3"
"Air and Sea Travel","2011 February","Arrivals","Continental Europe","Thousand","320.5"
"Air and Sea Travel","2011 February","Arrivals","Transatlantic","Thousand","39.6"
"Air and Sea Travel","2011 February","Arrivals","Other","Thousand","11.1"
"Air and Sea Travel","2011 February","Departures","All routes of travel","Thousand","775"
"Air and Sea Travel","2011 February","Departures","Cross channel","Thousand","404.7"
"Air and Sea Travel","2011 February","Departures","Continental Europe","Thousand","320"
"Air and Sea Travel","2011 February","Departures","Transatlantic","Thousand","39.3"
"Air and Sea Travel","2011 February","Departures","Other","Thousand","11"
"Air and Sea Travel","2011 March","Arrivals","All routes of travel","Thousand","951.2"
"Air and Sea Travel","2011 March","Arrivals","Cross channel","Thousand","473.8"
"Air and Sea Travel","2011 March","Arrivals","Continental Europe","Thousand","401.5"
"Air and Sea Travel","2011 March","Arrivals","Transatlantic","Thousand","63.2"
"Air and Sea Travel","2011 March","Arrivals","Other","Thousand","12.6"
"Air and Sea Travel","2011 March","Departures","All routes of travel","Thousand","939"
"Air and Sea Travel","2011 March","Departures","Cross channel","Thousand","469.2"
"Air and Sea Travel","2011 March","Departures","Continental Europe","Thousand","397.9"
"Air and Sea Travel","2011 March","Departures","Transatlantic","Thousand","61.5"
"Air and Sea Travel","2011 March","Departures","Other","Thousand","10.5"
"Air and Sea Travel","2011 April","Arrivals","All routes of travel","Thousand","1106.2"
"Air and Sea Travel","2011 April","Arrivals","Cross channel","Thousand","541"
"Air and Sea Travel","2011 April","Arrivals","Continental Europe","Thousand","479.6"
"Air and Sea Travel","2011 April","Arrivals","Transatlantic","Thousand","71"
"Air and Sea Travel","2011 April","Arrivals","Other","Thousand","14.6"
"Air and Sea Travel","2011 April","Departures","All routes of travel","Thousand","1123.5"
"Air and Sea Travel","2011 April","Departures","Cross channel","Thousand","529.6"
"Air and Sea Travel","2011 April","Departures","Continental Europe","Thousand","502.4"
"Air and Sea Travel","2011 April","Departures","Transatlantic","Thousand","76.2"
"Air and Sea Travel","2011 April","Departures","Other","Thousand","15.2"
"Air and Sea Travel","2011 May","Arrivals","All routes of travel","Thousand","1214.8"
"Air and Sea Travel","2011 May","Arrivals","Cross channel","Thousand","543.2"
"Air and Sea Travel","2011 May","Arrivals","Continental Europe","Thousand","558.6"
"Air and Sea Travel","2011 May","Arrivals","Transatlantic","Thousand","91.7"
"Air and Sea Travel","2011 May","Arrivals","Other","Thousand","21.3"
"Air and Sea Travel","2011 May","Departures","All routes of travel","Thousand","1213"
"Air and Sea Travel","2011 May","Departures","Cross channel","Thousand","534.8"
"Air and Sea Travel","2011 May","Departures","Continental Europe","Thousand","572"
"Air and Sea Travel","2011 May","Departures","Transatlantic","Thousand","85.3"
"Air and Sea Travel","2011 May","Departures","Other","Thousand","20.9"
"Air and Sea Travel","2011 June","Arrivals","All routes of travel","Thousand","1240.4"
"Air and Sea Travel","2011 June","Arrivals","Cross channel","Thousand","515.1"
"Air and Sea Travel","2011 June","Arrivals","Continental Europe","Thousand","596.5"
"Air and Sea Travel","2011 June","Arrivals","Transatlantic","Thousand","105.3"
"Air and Sea Travel","2011 June","Arrivals","Other","Thousand","23.6"
"Air and Sea Travel","2011 June","Departures","All routes of travel","Thousand","1353.5"
"Air and Sea Travel","2011 June","Departures","Cross channel","Thousand","570.4"
"Air and Sea Travel","2011 June","Departures","Continental Europe","Thousand","652.9"
"Air and Sea Travel","2011 June","Departures","Transatlantic","Thousand","103.8"
"Air and Sea Travel","2011 June","Departures","Other","Thousand","26.4"
"Air and Sea Travel","2011 July","Arrivals","All routes of travel","Thousand","1523.2"
"Air and Sea Travel","2011 July","Arrivals","Cross channel","Thousand","668.5"
"Air and Sea Travel","2011 July","Arrivals","Continental Europe","Thousand","713.5"
"Air and Sea Travel","2011 July","Arrivals","Transatlantic","Thousand","110.3"
"Air and Sea Travel","2011 July","Arrivals","Other","Thousand","30.9"
"Air and Sea Travel","2011 July","Departures","All routes of travel","Thousand","1486"
"Air and Sea Travel","2011 July","Departures","Cross channel","Thousand","629.7"
"Air and Sea Travel","2011 July","Departures","Continental Europe","Thousand","703.2"
"Air and Sea Travel","2011 July","Departures","Transatlantic","Thousand","120.9"
"Air and Sea Travel","2011 July","Departures","Other","Thousand","32.2"
"Air and Sea Travel","2011 August","Arrivals","All routes of travel","Thousand","1534.9"
"Air and Sea Travel","2011 August","Arrivals","Cross channel","Thousand","700.6"
"Air and Sea Travel","2011 August","Arrivals","Continental Europe","Thousand","692.3"
"Air and Sea Travel","2011 August","Arrivals","Transatlantic","Thousand","111.3"
"Air and Sea Travel","2011 August","Arrivals","Other","Thousand","30.6"
"Air and Sea Travel","2011 August","Departures","All routes of travel","Thousand","1493.3"
"Air and Sea Travel","2011 August","Departures","Cross channel","Thousand","694.2"
"Air and Sea Travel","2011 August","Departures","Continental Europe","Thousand","655.9"
"Air and Sea Travel","2011 August","Departures","Transatlantic","Thousand","114.5"
"Air and Sea Travel","2011 August","Departures","Other","Thousand","28.7"
"Air and Sea Travel","2011 September","Arrivals","All routes of travel","Thousand","1196.8"
