"Statistic Label","Year","Domestic","Reason for Journey","UNIT","VALUE"
"Number of Trips by Irish Residents","2000","Domestic","All reasons for journey","Thousand","5478"
"Number of Trips by Irish Residents","2000","Domestic","Holiday","Thousand","2516"
"Number of Trips by Irish Residents","2000","Domestic","Business","Thousand","554"
"Number of Trips by Irish Residents","2000","Domestic","Visiting friends/relatives","Thousand","1800"
"Number of Trips by Irish Residents","2000","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2000","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2000","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2000","Domestic","Other reasons","Thousand","607"
"Number of Trips by Irish Residents","2000","Outbound","All reasons for journey","Thousand","3768"
"Number of Trips by Irish Residents","2000","Outbound","Holiday","Thousand","2226"
"Number of Trips by Irish Residents","2000","Outbound","Business","Thousand","622"
"Number of Trips by Irish Residents","2000","Outbound","Visiting friends/relatives","Thousand","663"
"Number of Trips by Irish Residents","2000","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2000","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2000","Outbound","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2000","Outbound","Other reasons","Thousand","257"
"Number of Trips by Irish Residents","2001","Domestic","All reasons for journey","Thousand","6307"
"Number of Trips by Irish Residents","2001","Domestic","Holiday","Thousand","2902"
"Number of Trips by Irish Residents","2001","Domestic","Business","Thousand","652"
"Number of Trips by Irish Residents","2001","Domestic","Visiting friends/relatives","Thousand","2063"
"Number of Trips by Irish Residents","2001","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2001","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2001","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2001","Domestic","Other reasons","Thousand","690"
"Number of Trips by Irish Residents","2001","Outbound","All reasons for journey","Thousand","4162"
"Number of Trips by Irish Residents","2001","Outbound","Holiday","Thousand","2569"
"Number of Trips by Irish Residents","2001","Outbound","Business","Thousand","638"
"Number of Trips by Irish Residents","2001","Outbound","Visiting friends/relatives","Thousand","704"
"Number of Trips by Irish Residents","2001","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2001","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2001","Outbound","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2001","Outbound","Other reasons","Thousand","251"
"Number of Trips by Irish Residents","2002","Domestic","All reasons for journey","Thousand","6452"
"Number of Trips by Irish Residents","2002","Domestic","Holiday","Thousand","2819"
"Number of Trips by Irish Residents","2002","Domestic","Business","Thousand","583"
"Number of Trips by Irish Residents","2002","Domestic","Visiting friends/relatives","Thousand","2286"
"Number of Trips by Irish Residents","2002","Domestic","Education and training","Thousand",""
"Number of Trips by Irish Residents","2002","Domestic","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2002","Domestic","Sporting events","Thousand",""
"Number of Trips by Irish Residents","2002","Domestic","Other reasons","Thousand","763"
"Number of Trips by Irish Residents","2002","Outbound","All reasons for journey","Thousand","4597"
"Number of Trips by Irish Residents","2002","Outbound","Holiday","Thousand","2833"
"Number of Trips by Irish Residents","2002","Outbound","Business","Thousand","609"
"Number of Trips by Irish Residents","2002","Outbound","Visiting friends/relatives","Thousand","856"
"Number of Trips by Irish Residents","2002","Outbound","Education and training","Thousand",""
"Number of Trips by Irish Residents","2002","Outbound","Work/looking for work","Thousand",""
"Number of Trips by Irish Residents","2002","Outbound","Sporting events","Thousand",""
