"Statistic Label","Year","Age Group","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2000","0 - 14 years","Domestic","Thousand","1154"
"Number of Trips by Irish Residents","2000","0 - 14 years","Outbound","Thousand","503"
"Number of Trips by Irish Residents","2000","0 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2000","0 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2000","15 - 19 years","Domestic","Thousand","236"
"Number of Trips by Irish Residents","2000","15 - 19 years","Outbound","Thousand","202"
"Number of Trips by Irish Residents","2000","20 - 29 years","Domestic","Thousand","677"
"Number of Trips by Irish Residents","2000","20 - 29 years","Outbound","Thousand","627"
"Number of Trips by Irish Residents","2000","20 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2000","20 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2000","30 - 39 years","Domestic","Thousand","1046"
"Number of Trips by Irish Residents","2000","30 - 39 years","Outbound","Thousand","691"
"Number of Trips by Irish Residents","2000","40 - 49 years","Domestic","Thousand","993"
"Number of Trips by Irish Residents","2000","40 - 49 years","Outbound","Thousand","702"
"Number of Trips by Irish Residents","2000","50 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2000","50 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2000","50 - 59 years","Domestic","Thousand","701"
"Number of Trips by Irish Residents","2000","50 - 59 years","Outbound","Thousand","568"
"Number of Trips by Irish Residents","2000","60 - 69 years","Domestic","Thousand","431"
"Number of Trips by Irish Residents","2000","60 - 69 years","Outbound","Thousand","330"
"Number of Trips by Irish Residents","2000","70 years and over","Domestic","Thousand","240"
"Number of Trips by Irish Residents","2000","70 years and over","Outbound","Thousand","145"
"Number of Trips by Irish Residents","2000","All ages","Domestic","Thousand","5478"
"Number of Trips by Irish Residents","2000","All ages","Outbound","Thousand","3768"
"Number of Trips by Irish Residents","2001","0 - 14 years","Domestic","Thousand","1410"
"Number of Trips by Irish Residents","2001","0 - 14 years","Outbound","Thousand","645"
"Number of Trips by Irish Residents","2001","0 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2001","0 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2001","15 - 19 years","Domestic","Thousand","266"
"Number of Trips by Irish Residents","2001","15 - 19 years","Outbound","Thousand","236"
"Number of Trips by Irish Residents","2001","20 - 29 years","Domestic","Thousand","667"
"Number of Trips by Irish Residents","2001","20 - 29 years","Outbound","Thousand","569"
"Number of Trips by Irish Residents","2001","20 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2001","20 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2001","30 - 39 years","Domestic","Thousand","1324"
"Number of Trips by Irish Residents","2001","30 - 39 years","Outbound","Thousand","827"
"Number of Trips by Irish Residents","2001","40 - 49 years","Domestic","Thousand","1339"
"Number of Trips by Irish Residents","2001","40 - 49 years","Outbound","Thousand","914"
"Number of Trips by Irish Residents","2001","50 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2001","50 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2001","50 - 59 years","Domestic","Thousand","689"
"Number of Trips by Irish Residents","2001","50 - 59 years","Outbound","Thousand","561"
"Number of Trips by Irish Residents","2001","60 - 69 years","Domestic","Thousand","368"
"Number of Trips by Irish Residents","2001","60 - 69 years","Outbound","Thousand","273"
"Number of Trips by Irish Residents","2001","70 years and over","Domestic","Thousand","244"
"Number of Trips by Irish Residents","2001","70 years and over","Outbound","Thousand","137"
"Number of Trips by Irish Residents","2001","All ages","Domestic","Thousand","6307"
"Number of Trips by Irish Residents","2001","All ages","Outbound","Thousand","4162"
"Number of Trips by Irish Residents","2002","0 - 14 years","Domestic","Thousand","1337"
"Number of Trips by Irish Residents","2002","0 - 14 years","Outbound","Thousand","661"
"Number of Trips by Irish Residents","2002","0 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2002","0 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2002","15 - 19 years","Domestic","Thousand","300"
"Number of Trips by Irish Residents","2002","15 - 19 years","Outbound","Thousand","259"
"Number of Trips by Irish Residents","2002","20 - 29 years","Domestic","Thousand","790"
"Number of Trips by Irish Residents","2002","20 - 29 years","Outbound","Thousand","663"
"Number of Trips by Irish Residents","2002","20 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2002","20 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2002","30 - 39 years","Domestic","Thousand","1391"
"Number of Trips by Irish Residents","2002","30 - 39 years","Outbound","Thousand","956"
"Number of Trips by Irish Residents","2002","40 - 49 years","Domestic","Thousand","1270"
"Number of Trips by Irish Residents","2002","40 - 49 years","Outbound","Thousand","942"
"Number of Trips by Irish Residents","2002","50 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2002","50 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2002","50 - 59 years","Domestic","Thousand","689"
"Number of Trips by Irish Residents","2002","50 - 59 years","Outbound","Thousand","606"
"Number of Trips by Irish Residents","2002","60 - 69 years","Domestic","Thousand","402"
"Number of Trips by Irish Residents","2002","60 - 69 years","Outbound","Thousand","348"
"Number of Trips by Irish Residents","2002","70 years and over","Domestic","Thousand","272"
"Number of Trips by Irish Residents","2002","70 years and over","Outbound","Thousand","162"
"Number of Trips by Irish Residents","2002","All ages","Domestic","Thousand","6452"
"Number of Trips by Irish Residents","2002","All ages","Outbound","Thousand","4597"
"Number of Trips by Irish Residents","2003","0 - 14 years","Domestic","Thousand","1333"
"Number of Trips by Irish Residents","2003","0 - 14 years","Outbound","Thousand","732"
"Number of Trips by Irish Residents","2003","0 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2003","0 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2003","15 - 19 years","Domestic","Thousand","316"
"Number of Trips by Irish Residents","2003","15 - 19 years","Outbound","Thousand","271"
"Number of Trips by Irish Residents","2003","20 - 29 years","Domestic","Thousand","749"
"Number of Trips by Irish Residents","2003","20 - 29 years","Outbound","Thousand","682"
"Number of Trips by Irish Residents","2003","20 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2003","20 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2003","30 - 39 years","Domestic","Thousand","1364"
"Number of Trips by Irish Residents","2003","30 - 39 years","Outbound","Thousand","934"
"Number of Trips by Irish Residents","2003","40 - 49 years","Domestic","Thousand","1320"
