"Statistic Label","Year","Sex","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2000","Both sexes","Domestic","Thousand","5478"
"Number of Trips by Irish Residents","2000","Both sexes","Outbound","Thousand","3768"
"Number of Trips by Irish Residents","2000","Male","Domestic","Thousand","2613"
"Number of Trips by Irish Residents","2000","Male","Outbound","Thousand","1870"
"Number of Trips by Irish Residents","2000","Female","Domestic","Thousand","2865"
"Number of Trips by Irish Residents","2000","Female","Outbound","Thousand","1897"
"Number of Trips by Irish Residents","2001","Both sexes","Domestic","Thousand","6307"
"Number of Trips by Irish Residents","2001","Both sexes","Outbound","Thousand","4162"
"Number of Trips by Irish Residents","2001","Male","Domestic","Thousand","3049"
"Number of Trips by Irish Residents","2001","Male","Outbound","Thousand","2084"
"Number of Trips by Irish Residents","2001","Female","Domestic","Thousand","3259"
"Number of Trips by Irish Residents","2001","Female","Outbound","Thousand","2077"
"Number of Trips by Irish Residents","2002","Both sexes","Domestic","Thousand","6452"
"Number of Trips by Irish Residents","2002","Both sexes","Outbound","Thousand","4597"
"Number of Trips by Irish Residents","2002","Male","Domestic","Thousand","3143"
"Number of Trips by Irish Residents","2002","Male","Outbound","Thousand","2283"
"Number of Trips by Irish Residents","2002","Female","Domestic","Thousand","3309"
"Number of Trips by Irish Residents","2002","Female","Outbound","Thousand","2314"
"Number of Trips by Irish Residents","2003","Both sexes","Domestic","Thousand","6657"
"Number of Trips by Irish Residents","2003","Both sexes","Outbound","Thousand","4974"
"Number of Trips by Irish Residents","2003","Male","Domestic","Thousand","3197"
"Number of Trips by Irish Residents","2003","Male","Outbound","Thousand","2459"
"Number of Trips by Irish Residents","2003","Female","Domestic","Thousand","3460"
"Number of Trips by Irish Residents","2003","Female","Outbound","Thousand","2515"
"Number of Trips by Irish Residents","2004","Both sexes","Domestic","Thousand","7001"
"Number of Trips by Irish Residents","2004","Both sexes","Outbound","Thousand","5465"
"Number of Trips by Irish Residents","2004","Male","Domestic","Thousand","3299"
"Number of Trips by Irish Residents","2004","Male","Outbound","Thousand","2675"
"Number of Trips by Irish Residents","2004","Female","Domestic","Thousand","3702"
"Number of Trips by Irish Residents","2004","Female","Outbound","Thousand","2791"
"Number of Trips by Irish Residents","2005","Both sexes","Domestic","Thousand","7173"
"Number of Trips by Irish Residents","2005","Both sexes","Outbound","Thousand","6189"
"Number of Trips by Irish Residents","2005","Male","Domestic","Thousand","3472"
"Number of Trips by Irish Residents","2005","Male","Outbound","Thousand","3079"
"Number of Trips by Irish Residents","2005","Female","Domestic","Thousand","3702"
"Number of Trips by Irish Residents","2005","Female","Outbound","Thousand","3111"
"Number of Trips by Irish Residents","2006","Both sexes","Domestic","Thousand","7310"
"Number of Trips by Irish Residents","2006","Both sexes","Outbound","Thousand","6981"
"Number of Trips by Irish Residents","2006","Male","Domestic","Thousand","3477"
"Number of Trips by Irish Residents","2006","Male","Outbound","Thousand","3432"
"Number of Trips by Irish Residents","2006","Female","Domestic","Thousand","3833"
"Number of Trips by Irish Residents","2006","Female","Outbound","Thousand","3548"
"Number of Trips by Irish Residents","2007","Both sexes","Domestic","Thousand","7942"
"Number of Trips by Irish Residents","2007","Both sexes","Outbound","Thousand","7830"
"Number of Trips by Irish Residents","2007","Male","Domestic","Thousand","3787"
"Number of Trips by Irish Residents","2007","Male","Outbound","Thousand","3886"
"Number of Trips by Irish Residents","2007","Female","Domestic","Thousand","4155"
"Number of Trips by Irish Residents","2007","Female","Outbound","Thousand","3944"
"Number of Trips by Irish Residents","2008","Both sexes","Domestic","Thousand","8339"
"Number of Trips by Irish Residents","2008","Both sexes","Outbound","Thousand","8042"
"Number of Trips by Irish Residents","2008","Male","Domestic","Thousand","3931"
"Number of Trips by Irish Residents","2008","Male","Outbound","Thousand","3890"
"Number of Trips by Irish Residents","2008","Female","Domestic","Thousand","4408"
"Number of Trips by Irish Residents","2008","Female","Outbound","Thousand","4152"
"Number of Trips by Irish Residents","2009","Both sexes","Domestic","Thousand","8340"
"Number of Trips by Irish Residents","2009","Both sexes","Outbound","Thousand","7292"
"Number of Trips by Irish Residents","2009","Male","Domestic","Thousand","3925"
"Number of Trips by Irish Residents","2009","Male","Outbound","Thousand","3621"
"Number of Trips by Irish Residents","2009","Female","Domestic","Thousand","4415"
"Number of Trips by Irish Residents","2009","Female","Outbound","Thousand","3671"
"Number of Trips by Irish Residents","2010","Both sexes","Domestic","Thousand","7300"
"Number of Trips by Irish Residents","2010","Both sexes","Outbound","Thousand","6917"
"Number of Trips by Irish Residents","2010","Male","Domestic","Thousand","3327"
"Number of Trips by Irish Residents","2010","Male","Outbound","Thousand","3359"
"Number of Trips by Irish Residents","2010","Female","Domestic","Thousand","3973"
"Number of Trips by Irish Residents","2010","Female","Outbound","Thousand","3558"
"Number of Trips by Irish Residents","2011","Both sexes","Domestic","Thousand","7169"
"Number of Trips by Irish Residents","2011","Both sexes","Outbound","Thousand","6514"
"Number of Trips by Irish Residents","2011","Male","Domestic","Thousand","3240"
"Number of Trips by Irish Residents","2011","Male","Outbound","Thousand","3137"
"Number of Trips by Irish Residents","2011","Female","Domestic","Thousand","3929"
"Number of Trips by Irish Residents","2011","Female","Outbound","Thousand","3377"
"Number of Trips by Irish Residents","2012","Both sexes","Domestic","Thousand","8291"
"Number of Trips by Irish Residents","2012","Both sexes","Outbound","Thousand","6623"
"Number of Trips by Irish Residents","2012","Male","Domestic","Thousand","3768"
"Number of Trips by Irish Residents","2012","Male","Outbound","Thousand","3346"
"Number of Trips by Irish Residents","2012","Female","Domestic","Thousand","4523"
"Number of Trips by Irish Residents","2012","Female","Outbound","Thousand","3276"
"Number of Trips by Irish Residents","2013","Both sexes","Domestic","Thousand","8413"
"Number of Trips by Irish Residents","2013","Both sexes","Outbound","Thousand","6575"
"Number of Trips by Irish Residents","2013","Male","Domestic","Thousand","3841"
"Number of Trips by Irish Residents","2013","Male","Outbound","Thousand","3281"
"Number of Trips by Irish Residents","2013","Female","Domestic","Thousand","4572"
"Number of Trips by Irish Residents","2013","Female","Outbound","Thousand","3294"
"Number of Trips by Irish Residents","2014","Both sexes","Domestic","Thousand","8991"
"Number of Trips by Irish Residents","2014","Both sexes","Outbound","Thousand","6677"
"Number of Trips by Irish Residents","2014","Male","Domestic","Thousand","4201"
"Number of Trips by Irish Residents","2014","Male","Outbound","Thousand","3312"
"Number of Trips by Irish Residents","2014","Female","Domestic","Thousand","4790"
"Number of Trips by Irish Residents","2014","Female","Outbound","Thousand","3366"
"Number of Trips by Irish Residents","2015","Both sexes","Domestic","Thousand","9125"
"Number of Trips by Irish Residents","2015","Both sexes","Outbound","Thousand","7094"
"Number of Trips by Irish Residents","2015","Male","Domestic","Thousand","4204"
"Number of Trips by Irish Residents","2015","Male","Outbound","Thousand","3532"
"Number of Trips by Irish Residents","2015","Female","Domestic","Thousand","4920"
"Number of Trips by Irish Residents","2015","Female","Outbound","Thousand","3562"
"Number of Trips by Irish Residents","2016","Both sexes","Domestic","Thousand","9359"
"Number of Trips by Irish Residents","2016","Both sexes","Outbound","Thousand","7644"
"Number of Trips by Irish Residents","2016","Male","Domestic","Thousand","4295"
"Number of Trips by Irish Residents","2016","Male","Outbound","Thousand","3767"
"Number of Trips by Irish Residents","2016","Female","Domestic","Thousand","5064"
"Number of Trips by Irish Residents","2016","Female","Outbound","Thousand","3877"
"Number of Trips by Irish Residents","2017","Both sexes","Domestic","Thousand","9626"
"Number of Trips by Irish Residents","2017","Both sexes","Outbound","Thousand","8171"
"Number of Trips by Irish Residents","2017","Male","Domestic","Thousand","4461"
"Number of Trips by Irish Residents","2017","Male","Outbound","Thousand","4019"
"Number of Trips by Irish Residents","2017","Female","Domestic","Thousand","5165"
"Number of Trips by Irish Residents","2017","Female","Outbound","Thousand","4152"
"Number of Trips by Irish Residents","2018","Both sexes","Domestic","Thousand","10919"
"Number of Trips by Irish Residents","2018","Both sexes","Outbound","Thousand","8643"
"Number of Trips by Irish Residents","2018","Male","Domestic","Thousand","4937"
"Number of Trips by Irish Residents","2018","Male","Outbound","Thousand","4289"
"Number of Trips by Irish Residents","2018","Female","Domestic","Thousand","5981"
"Number of Trips by Irish Residents","2018","Female","Outbound","Thousand","4354"
"Number of Trips by Irish Residents","2019","Both sexes","Domestic","Thousand","11621"
"Number of Trips by Irish Residents","2019","Both sexes","Outbound","Thousand","9350"
"Number of Trips by Irish Residents","2019","Male","Domestic","Thousand","5368"
"Number of Trips by Irish Residents","2019","Male","Outbound","Thousand","4666"
"Number of Trips by Irish Residents","2019","Female","Domestic","Thousand","6253"
"Number of Trips by Irish Residents","2019","Female","Outbound","Thousand","4685"
"Number of Trips by Irish Residents","2020","Both sexes","Domestic","Thousand","7721"
"Number of Trips by Irish Residents","2020","Both sexes","Outbound","Thousand","2365"
"Number of Trips by Irish Residents","2020","Male","Domestic","Thousand","3674"
"Number of Trips by Irish Residents","2020","Male","Outbound","Thousand",""
"Number of Trips by Irish Residents","2020","Female","Domestic","Thousand","4048"
"Number of Trips by Irish Residents","2020","Female","Outbound","Thousand",""
"Number of Trips by Irish Residents","2021","Both sexes","Domestic","Thousand","5663"
"Number of Trips by Irish Residents","2021","Both sexes","Outbound","Thousand","2276"
"Number of Trips by Irish Residents","2021","Male","Domestic","Thousand","2654"
"Number of Trips by Irish Residents","2021","Male","Outbound","Thousand","1110"
"Number of Trips by Irish Residents","2021","Female","Domestic","Thousand","3009"
"Number of Trips by Irish Residents","2021","Female","Outbound","Thousand","1167"
"Number of Trips by Irish Residents","2022","Both sexes","Domestic","Thousand","13274"
"Number of Trips by Irish Residents","2022","Both sexes","Outbound","Thousand","8546"
"Number of Trips by Irish Residents","2022","Male","Domestic","Thousand","6007"
"Number of Trips by Irish Residents","2022","Male","Outbound","Thousand","4232"
"Number of Trips by Irish Residents","2022","Female","Domestic","Thousand","7268"
