"Method of Booking","Domestic or Outbound","Year","Statistic Label","UNIT","VALUE"
"All methods of booking","Domestic","2003","Number of Trips by Irish Residents","Thousand","6657"
"All methods of booking","Domestic","2003","Number of Nights by Irish Residents","Thousand","23616"
"All methods of booking","Domestic","2003","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"All methods of booking","Domestic","2004","Number of Trips by Irish Residents","Thousand","7001"
"All methods of booking","Domestic","2004","Number of Nights by Irish Residents","Thousand","24189"
"All methods of booking","Domestic","2004","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"All methods of booking","Domestic","2005","Number of Trips by Irish Residents","Thousand","7173"
"All methods of booking","Domestic","2005","Number of Nights by Irish Residents","Thousand","24607"
"All methods of booking","Domestic","2005","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"All methods of booking","Domestic","2006","Number of Trips by Irish Residents","Thousand","7310"
"All methods of booking","Domestic","2006","Number of Nights by Irish Residents","Thousand","24203"
"All methods of booking","Domestic","2006","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"All methods of booking","Domestic","2007","Number of Trips by Irish Residents","Thousand","7942"
"All methods of booking","Domestic","2007","Number of Nights by Irish Residents","Thousand","26328"
"All methods of booking","Domestic","2007","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"All methods of booking","Domestic","2008","Number of Trips by Irish Residents","Thousand","8339"
"All methods of booking","Domestic","2008","Number of Nights by Irish Residents","Thousand","26195"
"All methods of booking","Domestic","2008","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"All methods of booking","Domestic","2009","Number of Trips by Irish Residents","Thousand","8340"
"All methods of booking","Domestic","2009","Number of Nights by Irish Residents","Thousand","26027"
"All methods of booking","Domestic","2009","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"All methods of booking","Outbound","2003","Number of Trips by Irish Residents","Thousand","4974"
"All methods of booking","Outbound","2003","Number of Nights by Irish Residents","Thousand","43702"
"All methods of booking","Outbound","2003","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"All methods of booking","Outbound","2004","Number of Trips by Irish Residents","Thousand","5465"
"All methods of booking","Outbound","2004","Number of Nights by Irish Residents","Thousand","46302"
"All methods of booking","Outbound","2004","Average Length of Stay by Irish Residents","Nights per Trip","8.5"
"All methods of booking","Outbound","2005","Number of Trips by Irish Residents","Thousand","6189"
"All methods of booking","Outbound","2005","Number of Nights by Irish Residents","Thousand","51503"
"All methods of booking","Outbound","2005","Average Length of Stay by Irish Residents","Nights per Trip","8.3"
"All methods of booking","Outbound","2006","Number of Trips by Irish Residents","Thousand","6981"
"All methods of booking","Outbound","2006","Number of Nights by Irish Residents","Thousand","54266"
"All methods of booking","Outbound","2006","Average Length of Stay by Irish Residents","Nights per Trip","7.8"
"All methods of booking","Outbound","2007","Number of Trips by Irish Residents","Thousand","7830"
"All methods of booking","Outbound","2007","Number of Nights by Irish Residents","Thousand","62236"
"All methods of booking","Outbound","2007","Average Length of Stay by Irish Residents","Nights per Trip","7.9"
"All methods of booking","Outbound","2008","Number of Trips by Irish Residents","Thousand","8042"
"All methods of booking","Outbound","2008","Number of Nights by Irish Residents","Thousand","63498"
"All methods of booking","Outbound","2008","Average Length of Stay by Irish Residents","Nights per Trip","7.9"
"All methods of booking","Outbound","2009","Number of Trips by Irish Residents","Thousand","7292"
"All methods of booking","Outbound","2009","Number of Nights by Irish Residents","Thousand","55667"
"All methods of booking","Outbound","2009","Average Length of Stay by Irish Residents","Nights per Trip","7.6"
"Travel agent","Domestic","2003","Number of Trips by Irish Residents","Thousand","132"
"Travel agent","Domestic","2003","Number of Nights by Irish Residents","Thousand","650"
"Travel agent","Domestic","2003","Average Length of Stay by Irish Residents","Nights per Trip","4.9"
"Travel agent","Domestic","2004","Number of Trips by Irish Residents","Thousand","150"
"Travel agent","Domestic","2004","Number of Nights by Irish Residents","Thousand","640"
"Travel agent","Domestic","2004","Average Length of Stay by Irish Residents","Nights per Trip","4.3"
"Travel agent","Domestic","2005","Number of Trips by Irish Residents","Thousand","114"
"Travel agent","Domestic","2005","Number of Nights by Irish Residents","Thousand","504"
"Travel agent","Domestic","2005","Average Length of Stay by Irish Residents","Nights per Trip","4.4"
"Travel agent","Domestic","2006","Number of Trips by Irish Residents","Thousand","92"
"Travel agent","Domestic","2006","Number of Nights by Irish Residents","Thousand","401"
"Travel agent","Domestic","2006","Average Length of Stay by Irish Residents","Nights per Trip","4.4"
"Travel agent","Domestic","2007","Number of Trips by Irish Residents","Thousand","77"
"Travel agent","Domestic","2007","Number of Nights by Irish Residents","Thousand","361"
"Travel agent","Domestic","2007","Average Length of Stay by Irish Residents","Nights per Trip","4.7"
"Travel agent","Domestic","2008","Number of Trips by Irish Residents","Thousand","90"
"Travel agent","Domestic","2008","Number of Nights by Irish Residents","Thousand","356"
"Travel agent","Domestic","2008","Average Length of Stay by Irish Residents","Nights per Trip","4"
"Travel agent","Domestic","2009","Number of Trips by Irish Residents","Thousand","48"
"Travel agent","Domestic","2009","Number of Nights by Irish Residents","Thousand","192"
