"Statistic Label","Year","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2000","All types of accommodation","Domestic","Thousand","5478"
"Number of Trips by Irish Residents","2000","All types of accommodation","Outbound","Thousand","3768"
"Number of Trips by Irish Residents","2000","Caravan/camping","Domestic","Thousand","295"
"Number of Trips by Irish Residents","2000","Caravan/camping","Outbound","Thousand","105"
"Number of Trips by Irish Residents","2000","Friends/relatives","Domestic","Thousand","1935"
"Number of Trips by Irish Residents","2000","Friends/relatives","Outbound","Thousand","919"
"Number of Trips by Irish Residents","2000","Own holiday home","Domestic","Thousand","185"
"Number of Trips by Irish Residents","2000","Own holiday home","Outbound","Thousand","29"
"Number of Trips by Irish Residents","2000","Guest house/bed &breakfast","Domestic","Thousand","724"
"Number of Trips by Irish Residents","2000","Guest house/bed &breakfast","Outbound","Thousand","203"
"Number of Trips by Irish Residents","2000","Hotel/conference centre","Domestic","Thousand","1669"
"Number of Trips by Irish Residents","2000","Hotel/conference centre","Outbound","Thousand","1567"
"Number of Trips by Irish Residents","2000","Self catering/rented house","Domestic","Thousand","456"
"Number of Trips by Irish Residents","2000","Self catering/rented house","Outbound","Thousand","789"
"Number of Trips by Irish Residents","2000","Other","Domestic","Thousand","214"
"Number of Trips by Irish Residents","2000","Other","Outbound","Thousand","155"
"Number of Trips by Irish Residents","2001","All types of accommodation","Domestic","Thousand","6307"
"Number of Trips by Irish Residents","2001","All types of accommodation","Outbound","Thousand","4162"
"Number of Trips by Irish Residents","2001","Caravan/camping","Domestic","Thousand","323"
"Number of Trips by Irish Residents","2001","Caravan/camping","Outbound","Thousand","166"
"Number of Trips by Irish Residents","2001","Friends/relatives","Domestic","Thousand","2241"
"Number of Trips by Irish Residents","2001","Friends/relatives","Outbound","Thousand","936"
"Number of Trips by Irish Residents","2001","Own holiday home","Domestic","Thousand","211"
"Number of Trips by Irish Residents","2001","Own holiday home","Outbound","Thousand","47"
"Number of Trips by Irish Residents","2001","Guest house/bed &breakfast","Domestic","Thousand","675"
"Number of Trips by Irish Residents","2001","Guest house/bed &breakfast","Outbound","Thousand","208"
"Number of Trips by Irish Residents","2001","Hotel/conference centre","Domestic","Thousand","2042"
"Number of Trips by Irish Residents","2001","Hotel/conference centre","Outbound","Thousand","1716"
"Number of Trips by Irish Residents","2001","Self catering/rented house","Domestic","Thousand","550"
"Number of Trips by Irish Residents","2001","Self catering/rented house","Outbound","Thousand","926"
"Number of Trips by Irish Residents","2001","Other","Domestic","Thousand","264"
"Number of Trips by Irish Residents","2001","Other","Outbound","Thousand","162"
"Number of Trips by Irish Residents","2002","All types of accommodation","Domestic","Thousand","6452"
"Number of Trips by Irish Residents","2002","All types of accommodation","Outbound","Thousand","4597"
"Number of Trips by Irish Residents","2002","Caravan/camping","Domestic","Thousand","293"
"Number of Trips by Irish Residents","2002","Caravan/camping","Outbound","Thousand","161"
"Number of Trips by Irish Residents","2002","Friends/relatives","Domestic","Thousand","2359"
"Number of Trips by Irish Residents","2002","Friends/relatives","Outbound","Thousand","1095"
"Number of Trips by Irish Residents","2002","Own holiday home","Domestic","Thousand","289"
"Number of Trips by Irish Residents","2002","Own holiday home","Outbound","Thousand","80"
"Number of Trips by Irish Residents","2002","Guest house/bed &breakfast","Domestic","Thousand","729"
"Number of Trips by Irish Residents","2002","Guest house/bed &breakfast","Outbound","Thousand","254"
"Number of Trips by Irish Residents","2002","Hotel/conference centre","Domestic","Thousand","2041"
"Number of Trips by Irish Residents","2002","Hotel/conference centre","Outbound","Thousand","1868"
"Number of Trips by Irish Residents","2002","Self catering/rented house","Domestic","Thousand","494"
"Number of Trips by Irish Residents","2002","Self catering/rented house","Outbound","Thousand","934"
"Number of Trips by Irish Residents","2002","Other","Domestic","Thousand","246"
"Number of Trips by Irish Residents","2002","Other","Outbound","Thousand","206"
"Number of Trips by Irish Residents","2003","All types of accommodation","Domestic","Thousand","6657"
"Number of Trips by Irish Residents","2003","All types of accommodation","Outbound","Thousand","4974"
"Number of Trips by Irish Residents","2003","Caravan/camping","Domestic","Thousand","282"
"Number of Trips by Irish Residents","2003","Caravan/camping","Outbound","Thousand","168"
"Number of Trips by Irish Residents","2003","Friends/relatives","Domestic","Thousand","2363"
"Number of Trips by Irish Residents","2003","Friends/relatives","Outbound","Thousand","1123"
"Number of Trips by Irish Residents","2003","Own holiday home","Domestic","Thousand","259"
"Number of Trips by Irish Residents","2003","Own holiday home","Outbound","Thousand","99"
"Number of Trips by Irish Residents","2003","Guest house/bed &breakfast","Domestic","Thousand","720"
"Number of Trips by Irish Residents","2003","Guest house/bed &breakfast","Outbound","Thousand","289"
"Number of Trips by Irish Residents","2003","Hotel/conference centre","Domestic","Thousand","2160"
"Number of Trips by Irish Residents","2003","Hotel/conference centre","Outbound","Thousand","1949"
"Number of Trips by Irish Residents","2003","Self catering/rented house","Domestic","Thousand","576"
"Number of Trips by Irish Residents","2003","Self catering/rented house","Outbound","Thousand","1098"
"Number of Trips by Irish Residents","2003","Other","Domestic","Thousand","298"
"Number of Trips by Irish Residents","2003","Other","Outbound","Thousand","248"
"Number of Trips by Irish Residents","2004","All types of accommodation","Domestic","Thousand","7001"
"Number of Trips by Irish Residents","2004","All types of accommodation","Outbound","Thousand","5465"
