"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"State","Border, Midland and Western","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Border, Midland and Western","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Border, Midland and Western","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Border, Midland and Western","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Border, Midland and Western","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Border, Midland and Western","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Border, Midland and Western","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","2366"
"State","Border, Midland and Western","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","8199"
"State","Border, Midland and Western","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"State","Border, Midland and Western","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","2302"
"State","Border, Midland and Western","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","7538"
"State","Border, Midland and Western","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"State","Border, Midland and Western","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand","2479"
"State","Border, Midland and Western","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand","7947"
"State","Border, Midland and Western","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"State","Border, Midland and Western","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand","2569"
"State","Border, Midland and Western","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand","8016"
"State","Border, Midland and Western","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.1"
"State","Border, Midland and Western","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand","2636"
"State","Border, Midland and Western","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand","8404"
"State","Border, Midland and Western","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"State","Border","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","699"
"State","Border","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","2567"
"State","Border","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.7"
"State","Border","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","709"
"State","Border","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","2501"
"State","Border","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"State","Border","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","793"
"State","Border","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","2973"
"State","Border","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.7"
"State","Border","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","766"
"State","Border","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","2384"
"State","Border","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.1"
"State","Border","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Border","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Border","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Border","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Border","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Border","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Border","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Border","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Border","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Midland","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","287"
"State","Midland","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","742"
"State","Midland","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.6"
"State","Midland","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","335"
"State","Midland","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","817"
"State","Midland","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.4"
"State","Midland","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","341"
"State","Midland","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","774"
"State","Midland","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.3"
"State","Midland","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","307"
"State","Midland","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","860"
"State","Midland","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"State","Midland","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Midland","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Midland","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Midland","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Midland","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Midland","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Midland","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Midland","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Midland","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","1249"
"State","West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","4491"
"State","West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"State","West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","1251"
"State","West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","4339"
"State","West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"State","West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","1232"
"State","West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","4452"
"State","West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"State","West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","1229"
"State","West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","4294"
"State","West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"State","West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Southern and Eastern","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Southern and Eastern","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Southern and Eastern","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Southern and Eastern","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Southern and Eastern","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Southern and Eastern","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Southern and Eastern","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","4807"
"State","Southern and Eastern","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","16408"
"State","Southern and Eastern","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"State","Southern and Eastern","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","5009"
"State","Southern and Eastern","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","16665"
"State","Southern and Eastern","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.3"
"State","Southern and Eastern","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand","5463"
"State","Southern and Eastern","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand","18381"
"State","Southern and Eastern","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"State","Southern and Eastern","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand","5770"
"State","Southern and Eastern","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand","18178"
"State","Southern and Eastern","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"State","Southern and Eastern","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand","5704"
"State","Southern and Eastern","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand","17622"
"State","Southern and Eastern","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.1"
"State","Dublin","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","893"
"State","Dublin","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","2544"
"State","Dublin","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.9"
"State","Dublin","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","976"
"State","Dublin","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","2639"
"State","Dublin","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"State","Dublin","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","1054"
"State","Dublin","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","2817"
"State","Dublin","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"State","Dublin","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","1207"
"State","Dublin","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","2983"
"State","Dublin","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.5"
"State","Dublin","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Dublin","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Dublin","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","Dublin","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","Mid-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","395"
"State","Mid-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","1049"
"State","Mid-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"State","Mid-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","414"
"State","Mid-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","1125"
"State","Mid-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"State","Mid-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","430"
