"Statistic Label","Year","Domestic","Mode of Transport","UNIT","VALUE"
"Number of Trips by Irish Residents","2003","Domestic","All modes of transport","Thousand","6657"
"Number of Trips by Irish Residents","2003","Domestic","Air","Thousand","113"
"Number of Trips by Irish Residents","2003","Domestic","Bus/rail","Thousand","730"
"Number of Trips by Irish Residents","2003","Domestic","Private vehicle","Thousand","5669"
"Number of Trips by Irish Residents","2003","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2003","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","145"
"Number of Trips by Irish Residents","2003","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2003","Outbound","All modes of transport","Thousand","4974"
"Number of Trips by Irish Residents","2003","Outbound","Air","Thousand","4174"
"Number of Trips by Irish Residents","2003","Outbound","Bus/rail","Thousand",""
"Number of Trips by Irish Residents","2003","Outbound","Private vehicle","Thousand","298"
"Number of Trips by Irish Residents","2003","Outbound","Sea/Cruise","Thousand","383"
"Number of Trips by Irish Residents","2003","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2003","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","35"
"Number of Trips by Irish Residents","2004","Domestic","All modes of transport","Thousand","7001"
"Number of Trips by Irish Residents","2004","Domestic","Air","Thousand","140"
"Number of Trips by Irish Residents","2004","Domestic","Bus/rail","Thousand","702"
"Number of Trips by Irish Residents","2004","Domestic","Private vehicle","Thousand","6011"
"Number of Trips by Irish Residents","2004","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2004","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","148"
"Number of Trips by Irish Residents","2004","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2004","Outbound","All modes of transport","Thousand","5465"
"Number of Trips by Irish Residents","2004","Outbound","Air","Thousand","4651"
"Number of Trips by Irish Residents","2004","Outbound","Bus/rail","Thousand","79"
"Number of Trips by Irish Residents","2004","Outbound","Private vehicle","Thousand","315"
"Number of Trips by Irish Residents","2004","Outbound","Sea/Cruise","Thousand","380"
"Number of Trips by Irish Residents","2004","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2004","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","40"
"Number of Trips by Irish Residents","2005","Domestic","All modes of transport","Thousand","7173"
"Number of Trips by Irish Residents","2005","Domestic","Air","Thousand","134"
"Number of Trips by Irish Residents","2005","Domestic","Bus/rail","Thousand","734"
"Number of Trips by Irish Residents","2005","Domestic","Private vehicle","Thousand","6165"
"Number of Trips by Irish Residents","2005","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2005","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","142"
"Number of Trips by Irish Residents","2005","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2005","Outbound","All modes of transport","Thousand","6189"
"Number of Trips by Irish Residents","2005","Outbound","Air","Thousand","5331"
"Number of Trips by Irish Residents","2005","Outbound","Bus/rail","Thousand","100"
"Number of Trips by Irish Residents","2005","Outbound","Private vehicle","Thousand","352"
"Number of Trips by Irish Residents","2005","Outbound","Sea/Cruise","Thousand","358"
"Number of Trips by Irish Residents","2005","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2005","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","48"
"Number of Trips by Irish Residents","2006","Domestic","All modes of transport","Thousand","7310"
"Number of Trips by Irish Residents","2006","Domestic","Air","Thousand","144"
"Number of Trips by Irish Residents","2006","Domestic","Bus/rail","Thousand","706"
"Number of Trips by Irish Residents","2006","Domestic","Private vehicle","Thousand","6223"
"Number of Trips by Irish Residents","2006","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2006","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","236"
"Number of Trips by Irish Residents","2006","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2006","Outbound","All modes of transport","Thousand","6981"
"Number of Trips by Irish Residents","2006","Outbound","Air","Thousand","6056"
"Number of Trips by Irish Residents","2006","Outbound","Bus/rail","Thousand","128"
"Number of Trips by Irish Residents","2006","Outbound","Private vehicle","Thousand","344"
"Number of Trips by Irish Residents","2006","Outbound","Sea/Cruise","Thousand","366"
"Number of Trips by Irish Residents","2006","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2006","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","86"
"Number of Trips by Irish Residents","2007","Domestic","All modes of transport","Thousand","7942"
"Number of Trips by Irish Residents","2007","Domestic","Air","Thousand","153"
"Number of Trips by Irish Residents","2007","Domestic","Bus/rail","Thousand","860"
"Number of Trips by Irish Residents","2007","Domestic","Private vehicle","Thousand","6701"
"Number of Trips by Irish Residents","2007","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2007","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","228"
"Number of Trips by Irish Residents","2007","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","All modes of transport","Thousand","7830"
"Number of Trips by Irish Residents","2007","Outbound","Air","Thousand","6900"
"Number of Trips by Irish Residents","2007","Outbound","Bus/rail","Thousand","136"
"Number of Trips by Irish Residents","2007","Outbound","Private vehicle","Thousand","390"
"Number of Trips by Irish Residents","2007","Outbound","Sea/Cruise","Thousand","326"
"Number of Trips by Irish Residents","2007","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2007","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","81"
"Number of Trips by Irish Residents","2008","Domestic","All modes of transport","Thousand","8339"
"Number of Trips by Irish Residents","2008","Domestic","Air","Thousand","148"
"Number of Trips by Irish Residents","2008","Domestic","Bus/rail","Thousand","872"
"Number of Trips by Irish Residents","2008","Domestic","Private vehicle","Thousand","7048"
"Number of Trips by Irish Residents","2008","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2008","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","271"
"Number of Trips by Irish Residents","2008","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","All modes of transport","Thousand","8042"
"Number of Trips by Irish Residents","2008","Outbound","Air","Thousand","7072"
"Number of Trips by Irish Residents","2008","Outbound","Bus/rail","Thousand","136"
"Number of Trips by Irish Residents","2008","Outbound","Private vehicle","Thousand","435"
"Number of Trips by Irish Residents","2008","Outbound","Sea/Cruise","Thousand","340"
"Number of Trips by Irish Residents","2008","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2008","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","59"
"Number of Trips by Irish Residents","2009","Domestic","All modes of transport","Thousand","8340"
"Number of Trips by Irish Residents","2009","Domestic","Air","Thousand","89"
"Number of Trips by Irish Residents","2009","Domestic","Bus/rail","Thousand","750"
"Number of Trips by Irish Residents","2009","Domestic","Private vehicle","Thousand","7292"
"Number of Trips by Irish Residents","2009","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2009","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","209"
"Number of Trips by Irish Residents","2009","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2009","Outbound","All modes of transport","Thousand","7292"
"Number of Trips by Irish Residents","2009","Outbound","Air","Thousand","6112"
"Number of Trips by Irish Residents","2009","Outbound","Bus/rail","Thousand","109"
"Number of Trips by Irish Residents","2009","Outbound","Private vehicle","Thousand","572"
"Number of Trips by Irish Residents","2009","Outbound","Sea/Cruise","Thousand","429"
"Number of Trips by Irish Residents","2009","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2009","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","69"
"Number of Trips by Irish Residents","2010","Domestic","All modes of transport","Thousand","7300"
"Number of Trips by Irish Residents","2010","Domestic","Air","Thousand","49"
"Number of Trips by Irish Residents","2010","Domestic","Bus/rail","Thousand","767"
"Number of Trips by Irish Residents","2010","Domestic","Private vehicle","Thousand","6416"
"Number of Trips by Irish Residents","2010","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2010","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","67"
"Number of Trips by Irish Residents","2010","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2010","Outbound","All modes of transport","Thousand","6917"
"Number of Trips by Irish Residents","2010","Outbound","Air","Thousand","5899"
"Number of Trips by Irish Residents","2010","Outbound","Bus/rail","Thousand","93"
"Number of Trips by Irish Residents","2010","Outbound","Private vehicle","Thousand","360"
"Number of Trips by Irish Residents","2010","Outbound","Sea/Cruise","Thousand","548"
"Number of Trips by Irish Residents","2010","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2010","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","18"
"Number of Trips by Irish Residents","2011","Domestic","All modes of transport","Thousand","7169"
"Number of Trips by Irish Residents","2011","Domestic","Air","Thousand","52"
"Number of Trips by Irish Residents","2011","Domestic","Bus/rail","Thousand","763"
"Number of Trips by Irish Residents","2011","Domestic","Private vehicle","Thousand","6238"
"Number of Trips by Irish Residents","2011","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2011","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","116"
"Number of Trips by Irish Residents","2011","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2011","Outbound","All modes of transport","Thousand","6514"
"Number of Trips by Irish Residents","2011","Outbound","Air","Thousand","5647"
"Number of Trips by Irish Residents","2011","Outbound","Bus/rail","Thousand","65"
"Number of Trips by Irish Residents","2011","Outbound","Private vehicle","Thousand","309"
"Number of Trips by Irish Residents","2011","Outbound","Sea/Cruise","Thousand","485"
"Number of Trips by Irish Residents","2011","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2011","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","8"
"Number of Trips by Irish Residents","2012","Domestic","All modes of transport","Thousand","8291"
"Number of Trips by Irish Residents","2012","Domestic","Air","Thousand","22"
"Number of Trips by Irish Residents","2012","Domestic","Bus/rail","Thousand","790"
"Number of Trips by Irish Residents","2012","Domestic","Private vehicle","Thousand","7360"
"Number of Trips by Irish Residents","2012","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2012","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","119"
"Number of Trips by Irish Residents","2012","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2012","Outbound","All modes of transport","Thousand","6623"
"Number of Trips by Irish Residents","2012","Outbound","Air","Thousand","5505"
"Number of Trips by Irish Residents","2012","Outbound","Bus/rail","Thousand","142"
"Number of Trips by Irish Residents","2012","Outbound","Private vehicle","Thousand","466"
"Number of Trips by Irish Residents","2012","Outbound","Sea/Cruise","Thousand","487"
"Number of Trips by Irish Residents","2012","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2012","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","23"
"Number of Trips by Irish Residents","2013","Domestic","All modes of transport","Thousand","8413"
"Number of Trips by Irish Residents","2013","Domestic","Air","Thousand","41"
"Number of Trips by Irish Residents","2013","Domestic","Bus/rail","Thousand","874"
"Number of Trips by Irish Residents","2013","Domestic","Private vehicle","Thousand","7374"
"Number of Trips by Irish Residents","2013","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2013","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","124"
"Number of Trips by Irish Residents","2013","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2013","Outbound","All modes of transport","Thousand","6575"
"Number of Trips by Irish Residents","2013","Outbound","Air","Thousand","5519"
"Number of Trips by Irish Residents","2013","Outbound","Bus/rail","Thousand","124"
"Number of Trips by Irish Residents","2013","Outbound","Private vehicle","Thousand","439"
"Number of Trips by Irish Residents","2013","Outbound","Sea/Cruise","Thousand","449"
"Number of Trips by Irish Residents","2013","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2013","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","44"
"Number of Trips by Irish Residents","2014","Domestic","All modes of transport","Thousand","8991"
"Number of Trips by Irish Residents","2014","Domestic","Air","Thousand","24"
"Number of Trips by Irish Residents","2014","Domestic","Bus/rail","Thousand","825"
"Number of Trips by Irish Residents","2014","Domestic","Private vehicle","Thousand","8008"
"Number of Trips by Irish Residents","2014","Domestic","Sea/Cruise","Thousand",""
