"Statistic Label","Year","Main County Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Domestic Travel","2010","State","Thousand","7300"
"Number of Trips by Irish Residents on Domestic Travel","2010","Donegal","Thousand","266"
"Number of Trips by Irish Residents on Domestic Travel","2010","Sligo","Thousand","225"
"Number of Trips by Irish Residents on Domestic Travel","2010","Westmeath","Thousand","90"
"Number of Trips by Irish Residents on Domestic Travel","2010","Galway","Thousand","737"
"Number of Trips by Irish Residents on Domestic Travel","2010","Mayo","Thousand","399"
"Number of Trips by Irish Residents on Domestic Travel","2010","Dublin","Thousand","1116"
"Number of Trips by Irish Residents on Domestic Travel","2010","Meath","Thousand","88"
"Number of Trips by Irish Residents on Domestic Travel","2010","Wicklow","Thousand","169"
"Number of Trips by Irish Residents on Domestic Travel","2010","Clare","Thousand","426"
"Number of Trips by Irish Residents on Domestic Travel","2010","Limerick","Thousand","192"
"Number of Trips by Irish Residents on Domestic Travel","2010","Kilkenny","Thousand","191"
"Number of Trips by Irish Residents on Domestic Travel","2010","Waterford","Thousand","301"
"Number of Trips by Irish Residents on Domestic Travel","2010","Wexford","Thousand","580"
"Number of Trips by Irish Residents on Domestic Travel","2010","Cork","Thousand","855"
"Number of Trips by Irish Residents on Domestic Travel","2010","Kerry","Thousand","767"
"Number of Trips by Irish Residents on Domestic Travel","2010","Tipperary","Thousand","137"
"Number of Trips by Irish Residents on Domestic Travel","2010","Kildare and Carlow","Thousand","174"
"Number of Trips by Irish Residents on Domestic Travel","2010","Laois and Offaly","Thousand","108"
"Number of Trips by Irish Residents on Domestic Travel","2010","Louth and Monaghan","Thousand","142"
"Number of Trips by Irish Residents on Domestic Travel","2010","Cavan and Leitrim","Thousand","194"
"Number of Trips by Irish Residents on Domestic Travel","2010","Roscommon and Longford","Thousand","142"
"Number of Trips by Irish Residents on Domestic Travel","2011","State","Thousand","7169"
"Number of Trips by Irish Residents on Domestic Travel","2011","Donegal","Thousand","272"
"Number of Trips by Irish Residents on Domestic Travel","2011","Sligo","Thousand","193"
