"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","All Countries","Thousand","6917"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","United States and Canada","Thousand","452"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Africa (8)","Thousand","110"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Asia (7)","Thousand","163"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Australia, New Zealand and other oceanic countries","Thousand","52"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other America (6)","Thousand","62"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","EU27 excluding Ireland","Thousand","5797"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other Europe (20)","Thousand","281"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","All Countries","Thousand","6514"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","United States and Canada","Thousand","410"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Africa (8)","Thousand","70"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Asia (7)","Thousand","127"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Australia, New Zealand and other oceanic countries","Thousand","66"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other America (6)","Thousand","56"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","EU27 excluding Ireland","Thousand","5563"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other Europe (20)","Thousand","222"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","All Countries","Thousand","6623"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","United States and Canada","Thousand","388"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Africa (8)","Thousand","66"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Asia (7)","Thousand","177"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Australia, New Zealand and other oceanic countries","Thousand","76"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other America (6)","Thousand","74"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","EU27 excluding Ireland","Thousand","5647"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other Europe (20)","Thousand","194"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","All Countries","Thousand","6575"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","United States and Canada","Thousand","404"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Africa (8)","Thousand","78"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Asia (7)","Thousand","133"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Australia, New Zealand and other oceanic countries","Thousand","115"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Other America (6)","Thousand","39"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","EU28 excluding Ireland","Thousand","5614"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Other Europe (20)","Thousand",""
