"Statistic Label","Year","Country and Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Austria","Thousand","76"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Belgium","Thousand","65"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Germany","Thousand","219"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Spain","Thousand","1371"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","France","Thousand","635"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2343"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Italy","Thousand","358"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Netherlands","Thousand","95"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Poland","Thousand","57"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Portugal","Thousand","333"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Great Britain","Thousand","1960"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Northern Ireland","Thousand","383"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Denmark/Finland/Sweden","Thousand","59"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other EU28 (1)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","EU27 excluding Ireland","Thousand","5797"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other EU27 (6)","Thousand","185"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Austria","Thousand","52"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Belgium","Thousand","69"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Germany","Thousand","190"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Spain","Thousand","1410"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","France","Thousand","496"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2304"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Italy","Thousand","267"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Netherlands","Thousand","120"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Poland","Thousand","57"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Portugal","Thousand","337"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Great Britain","Thousand","1934"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Northern Ireland","Thousand","370"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Denmark/Finland/Sweden","Thousand","57"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other EU28 (1)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","EU27 excluding Ireland","Thousand","5563"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Other EU27 (6)","Thousand","204"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Austria","Thousand","62"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Belgium","Thousand","65"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Germany","Thousand","163"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Spain","Thousand","1339"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","France","Thousand","630"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2237"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Italy","Thousand","348"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Netherlands","Thousand","118"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Poland","Thousand","101"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Portugal","Thousand","351"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Great Britain","Thousand","1784"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Northern Ireland","Thousand","453"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Denmark/Finland/Sweden","Thousand","50"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other EU28 (1)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","EU27 excluding Ireland","Thousand","5647"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other EU27 (6)","Thousand","182"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Austria","Thousand","56"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Belgium","Thousand","62"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Germany","Thousand","164"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Spain","Thousand","1367"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","France","Thousand","538"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2407"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Italy","Thousand","284"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Netherlands","Thousand","80"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Poland","Thousand","82"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Portugal","Thousand","322"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Great Britain","Thousand","2011"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Northern Ireland","Thousand","396"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Denmark/Finland/Sweden","Thousand","45"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","EU28 excluding Ireland","Thousand","5614"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Other EU28 (1)","Thousand","209"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Other EU27 (6)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Austria","Thousand","65"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Belgium","Thousand","55"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Germany","Thousand","220"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Spain","Thousand","1290"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","France","Thousand","586"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2355"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Italy","Thousand","274"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Netherlands","Thousand","92"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Poland","Thousand","104"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Portugal","Thousand","370"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Great Britain","Thousand","1965"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Northern Ireland","Thousand","390"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Denmark/Finland/Sweden","Thousand","56"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","EU28 excluding Ireland","Thousand","5735"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Other EU28 (1)","Thousand","266"
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2014","Other EU27 (6)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Austria","Thousand","38"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Belgium","Thousand","125"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Germany","Thousand","203"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Spain","Thousand","1552"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","France","Thousand","632"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2269"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Italy","Thousand","418"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Netherlands","Thousand","136"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Poland","Thousand","82"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Portugal","Thousand","313"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Great Britain","Thousand","1933"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Northern Ireland","Thousand","336"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Denmark/Finland/Sweden","Thousand","114"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","EU28 excluding Ireland","Thousand","6161"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Other EU28 (1)","Thousand","279"
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2015","Other EU27 (6)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Austria","Thousand","67"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Belgium","Thousand","134"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Germany","Thousand","230"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Spain","Thousand","1587"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","France","Thousand","610"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","2463"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Italy","Thousand","362"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Netherlands","Thousand","156"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Poland","Thousand","113"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Portugal","Thousand","479"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Great Britain","Thousand","2009"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Northern Ireland","Thousand","454"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Denmark/Finland/Sweden","Thousand","63"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","EU28 excluding Ireland","Thousand","6597"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","Other EU28 (1)","Thousand","332"
"Number of Trips by Irish Residents on Outbound Travel Travel","2016","EU27 excluding Ireland","Thousand",""
