"Statistic Label","Year","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","All Countries","Thousand","6917"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","United States and Canada","Thousand","452"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","EU27 excluding Ireland","Thousand","5797"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","Other Europe (20)","Thousand","281"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","Other countries (24)","Thousand","387"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Holiday","All Countries","Thousand","3964"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Holiday","United States and Canada","Thousand","229"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Holiday","EU27 excluding Ireland","Thousand","3341"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Holiday","Other Europe (20)","Thousand","161"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Holiday","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Holiday","Other countries (24)","Thousand","233"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Business","All Countries","Thousand","621"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Business","United States and Canada","Thousand","60"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Business","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Business","EU27 excluding Ireland","Thousand","480"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Business","Other Europe (20)","Thousand","38"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Business","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Business","Other countries (24)","Thousand","42"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","All Countries","Thousand","1592"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","United States and Canada","Thousand","119"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","EU27 excluding Ireland","Thousand","1330"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","Other Europe (20)","Thousand","64"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","Other countries (24)","Thousand","80"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other reasons","All Countries","Thousand","740"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other reasons","United States and Canada","Thousand","44"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other reasons","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other reasons","EU27 excluding Ireland","Thousand","645"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other reasons","Other Europe (20)","Thousand","18"
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other reasons","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2010","Other reasons","Other countries (24)","Thousand","33"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","All Countries","Thousand","6514"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","United States and Canada","Thousand","410"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","EU27 excluding Ireland","Thousand","5563"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","Other Europe (20)","Thousand","222"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","Other countries (24)","Thousand","319"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Holiday","All Countries","Thousand","3433"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Holiday","United States and Canada","Thousand","196"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Holiday","EU27 excluding Ireland","Thousand","2956"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Holiday","Other Europe (20)","Thousand","148"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Holiday","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Holiday","Other countries (24)","Thousand","133"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Business","All Countries","Thousand","651"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Business","United States and Canada","Thousand","69"
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Business","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2011","Business","EU27 excluding Ireland","Thousand","511"
