"Statistic Label","Year","Domestic","Region of Residence","UNIT","VALUE"
"Number of Trips by Irish Residents","2018","Domestic","State","Thousand","10919"
"Number of Trips by Irish Residents","2018","Domestic","Northern and Western","Thousand","1802"
"Number of Trips by Irish Residents","2018","Domestic","Border","Thousand","872"
"Number of Trips by Irish Residents","2018","Domestic","West","Thousand","930"
"Number of Trips by Irish Residents","2018","Domestic","Southern","Thousand","3757"
"Number of Trips by Irish Residents","2018","Domestic","Mid-West","Thousand","1120"
"Number of Trips by Irish Residents","2018","Domestic","South-East","Thousand","895"
"Number of Trips by Irish Residents","2018","Domestic","South-West","Thousand","1742"
"Number of Trips by Irish Residents","2018","Domestic","Eastern and Midland","Thousand","5359"
"Number of Trips by Irish Residents","2018","Domestic","Dublin","Thousand","3108"
"Number of Trips by Irish Residents","2018","Domestic","Mid-East","Thousand","1697"
"Number of Trips by Irish Residents","2018","Domestic","Midland","Thousand","555"
"Number of Trips by Irish Residents","2018","Outbound","State","Thousand","8643"
"Number of Trips by Irish Residents","2018","Outbound","Northern and Western","Thousand","1222"
"Number of Trips by Irish Residents","2018","Outbound","Border","Thousand","608"
"Number of Trips by Irish Residents","2018","Outbound","West","Thousand","615"
"Number of Trips by Irish Residents","2018","Outbound","Southern","Thousand","2262"
"Number of Trips by Irish Residents","2018","Outbound","Mid-West","Thousand","669"
"Number of Trips by Irish Residents","2018","Outbound","South-East","Thousand","637"
"Number of Trips by Irish Residents","2018","Outbound","South-West","Thousand","955"
"Number of Trips by Irish Residents","2018","Outbound","Eastern and Midland","Thousand","5159"
"Number of Trips by Irish Residents","2018","Outbound","Dublin","Thousand","3447"
"Number of Trips by Irish Residents","2018","Outbound","Mid-East","Thousand","1322"
"Number of Trips by Irish Residents","2018","Outbound","Midland","Thousand","390"
"Number of Trips by Irish Residents","2019","Domestic","State","Thousand","11621"
"Number of Trips by Irish Residents","2019","Domestic","Northern and Western","Thousand","1992"
"Number of Trips by Irish Residents","2019","Domestic","Border","Thousand","873"
"Number of Trips by Irish Residents","2019","Domestic","West","Thousand","1119"
"Number of Trips by Irish Residents","2019","Domestic","Southern","Thousand","3848"
"Number of Trips by Irish Residents","2019","Domestic","Mid-West","Thousand","1192"
"Number of Trips by Irish Residents","2019","Domestic","South-East","Thousand","958"
"Number of Trips by Irish Residents","2019","Domestic","South-West","Thousand","1698"
"Number of Trips by Irish Residents","2019","Domestic","Eastern and Midland","Thousand","5780"
"Number of Trips by Irish Residents","2019","Domestic","Dublin","Thousand","3345"
"Number of Trips by Irish Residents","2019","Domestic","Mid-East","Thousand","1786"
"Number of Trips by Irish Residents","2019","Domestic","Midland","Thousand","649"
"Number of Trips by Irish Residents","2019","Outbound","State","Thousand","9350"
"Number of Trips by Irish Residents","2019","Outbound","Northern and Western","Thousand","1277"
"Number of Trips by Irish Residents","2019","Outbound","Border","Thousand","599"
"Number of Trips by Irish Residents","2019","Outbound","West","Thousand","678"
"Number of Trips by Irish Residents","2019","Outbound","Southern","Thousand","2628"
"Number of Trips by Irish Residents","2019","Outbound","Mid-West","Thousand","748"
"Number of Trips by Irish Residents","2019","Outbound","South-East","Thousand","645"
"Number of Trips by Irish Residents","2019","Outbound","South-West","Thousand","1235"
"Number of Trips by Irish Residents","2019","Outbound","Eastern and Midland","Thousand","5445"
"Number of Trips by Irish Residents","2019","Outbound","Dublin","Thousand","3581"
"Number of Trips by Irish Residents","2019","Outbound","Mid-East","Thousand","1477"
"Number of Trips by Irish Residents","2019","Outbound","Midland","Thousand","387"
"Number of Trips by Irish Residents","2020","Domestic","State","Thousand","7721"
"Number of Trips by Irish Residents","2020","Domestic","Northern and Western","Thousand","1239"
"Number of Trips by Irish Residents","2020","Domestic","Border","Thousand","562"
"Number of Trips by Irish Residents","2020","Domestic","West","Thousand","677"
"Number of Trips by Irish Residents","2020","Domestic","Southern","Thousand","2586"
"Number of Trips by Irish Residents","2020","Domestic","Mid-West","Thousand","876"
"Number of Trips by Irish Residents","2020","Domestic","South-East","Thousand","612"
"Number of Trips by Irish Residents","2020","Domestic","South-West","Thousand","1098"
"Number of Trips by Irish Residents","2020","Domestic","Eastern and Midland","Thousand","3896"
"Number of Trips by Irish Residents","2020","Domestic","Dublin","Thousand","2498"
"Number of Trips by Irish Residents","2020","Domestic","Mid-East","Thousand","1031"
"Number of Trips by Irish Residents","2020","Domestic","Midland","Thousand","367"
"Number of Trips by Irish Residents","2020","Outbound","State","Thousand","2365"
"Number of Trips by Irish Residents","2020","Outbound","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Southern","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2021","Domestic","State","Thousand","5663"
"Number of Trips by Irish Residents","2021","Domestic","Northern and Western","Thousand","1128"
"Number of Trips by Irish Residents","2021","Domestic","Border","Thousand","438"
"Number of Trips by Irish Residents","2021","Domestic","West","Thousand","690"
"Number of Trips by Irish Residents","2021","Domestic","Southern","Thousand","1955"
"Number of Trips by Irish Residents","2021","Domestic","Mid-West","Thousand","590"
"Number of Trips by Irish Residents","2021","Domestic","South-East","Thousand","442"
"Number of Trips by Irish Residents","2021","Domestic","South-West","Thousand","924"
"Number of Trips by Irish Residents","2021","Domestic","Eastern and Midland","Thousand","2580"
"Number of Trips by Irish Residents","2021","Domestic","Dublin","Thousand","1512"
"Number of Trips by Irish Residents","2021","Domestic","Mid-East","Thousand","734"
"Number of Trips by Irish Residents","2021","Domestic","Midland","Thousand","333"
"Number of Trips by Irish Residents","2021","Outbound","State","Thousand","2276"
"Number of Trips by Irish Residents","2021","Outbound","Northern and Western","Thousand","362"
"Number of Trips by Irish Residents","2021","Outbound","Border","Thousand","183"
"Number of Trips by Irish Residents","2021","Outbound","West","Thousand","179"
"Number of Trips by Irish Residents","2021","Outbound","Southern","Thousand","539"
"Number of Trips by Irish Residents","2021","Outbound","Mid-West","Thousand","126"
"Number of Trips by Irish Residents","2021","Outbound","South-East","Thousand","163"
"Number of Trips by Irish Residents","2021","Outbound","South-West","Thousand","250"
"Number of Trips by Irish Residents","2021","Outbound","Eastern and Midland","Thousand","1375"
"Number of Trips by Irish Residents","2021","Outbound","Dublin","Thousand","970"
"Number of Trips by Irish Residents","2021","Outbound","Mid-East","Thousand","333"
"Number of Trips by Irish Residents","2021","Outbound","Midland","Thousand","72"
"Number of Trips by Irish Residents","2022","Domestic","State","Thousand","13274"
"Number of Trips by Irish Residents","2022","Domestic","Northern and Western","Thousand","2662"
"Number of Trips by Irish Residents","2022","Domestic","Border","Thousand","975"
"Number of Trips by Irish Residents","2022","Domestic","West","Thousand","1686"
"Number of Trips by Irish Residents","2022","Domestic","Southern","Thousand","4500"
"Number of Trips by Irish Residents","2022","Domestic","Mid-West","Thousand","1242"
"Number of Trips by Irish Residents","2022","Domestic","South-East","Thousand","981"
"Number of Trips by Irish Residents","2022","Domestic","South-West","Thousand","2277"
"Number of Trips by Irish Residents","2022","Domestic","Eastern and Midland","Thousand","6113"
"Number of Trips by Irish Residents","2022","Domestic","Dublin","Thousand","3523"
"Number of Trips by Irish Residents","2022","Domestic","Mid-East","Thousand","1783"
"Number of Trips by Irish Residents","2022","Domestic","Midland","Thousand","807"
"Number of Trips by Irish Residents","2022","Outbound","State","Thousand","8546"
"Number of Trips by Irish Residents","2022","Outbound","Northern and Western","Thousand","1226"
"Number of Trips by Irish Residents","2022","Outbound","Border","Thousand","630"
"Number of Trips by Irish Residents","2022","Outbound","West","Thousand","596"
"Number of Trips by Irish Residents","2022","Outbound","Southern","Thousand","2058"
"Number of Trips by Irish Residents","2022","Outbound","Mid-West","Thousand","594"
"Number of Trips by Irish Residents","2022","Outbound","South-East","Thousand","442"
"Number of Trips by Irish Residents","2022","Outbound","South-West","Thousand","1022"
"Number of Trips by Irish Residents","2022","Outbound","Eastern and Midland","Thousand","5262"
"Number of Trips by Irish Residents","2022","Outbound","Dublin","Thousand","3600"
"Number of Trips by Irish Residents","2022","Outbound","Mid-East","Thousand","1321"
"Number of Trips by Irish Residents","2022","Outbound","Midland","Thousand","340"
"Number of Nights by Irish Residents","2018","Domestic","State","Thousand","28393"
"Number of Nights by Irish Residents","2018","Domestic","Northern and Western","Thousand","4085"
"Number of Nights by Irish Residents","2018","Domestic","Border","Thousand","2023"
"Number of Nights by Irish Residents","2018","Domestic","West","Thousand","2062"
"Number of Nights by Irish Residents","2018","Domestic","Southern","Thousand","9074"
"Number of Nights by Irish Residents","2018","Domestic","Mid-West","Thousand","2754"
"Number of Nights by Irish Residents","2018","Domestic","South-East","Thousand","2070"
"Number of Nights by Irish Residents","2018","Domestic","South-West","Thousand","4251"
"Number of Nights by Irish Residents","2018","Domestic","Eastern and Midland","Thousand","15234"
"Number of Nights by Irish Residents","2018","Domestic","Dublin","Thousand","9074"
