"Statistic Label","Year","Sex","UNIT","VALUE"
"Domestic Overnight Trip only","2016","Both sexes","Number","633400"
"Domestic Overnight Trip only","2016","Male","Number","300200"
"Domestic Overnight Trip only","2016","Female","Number","333200"
"Domestic Overnight Trip only","2017","Both sexes","Number","712600"
"Domestic Overnight Trip only","2017","Male","Number","356000"
"Domestic Overnight Trip only","2017","Female","Number","356600"
"Domestic Overnight Trip only","2018","Both sexes","Number","581000"
"Domestic Overnight Trip only","2018","Male","Number","284900"
"Domestic Overnight Trip only","2018","Female","Number","296100"
"Domestic Overnight Trip only","2019","Both sexes","Number","622300"
"Domestic Overnight Trip only","2019","Male","Number","325500"
"Domestic Overnight Trip only","2019","Female","Number","296800"
"Domestic Overnight Trip only","2020","Both sexes","Number","1502500"
"Domestic Overnight Trip only","2020","Male","Number","676400"
"Domestic Overnight Trip only","2020","Female","Number","826200"
"Domestic Overnight Trip only","2021","Both sexes","Number","1559300"
"Domestic Overnight Trip only","2021","Male","Number","735800"
"Domestic Overnight Trip only","2021","Female","Number","823500"
"Outbound Overnight Trip only","2016","Both sexes","Number","430500"
"Outbound Overnight Trip only","2016","Male","Number","221800"
"Outbound Overnight Trip only","2016","Female","Number","208700"
"Outbound Overnight Trip only","2017","Both sexes","Number","340400"
"Outbound Overnight Trip only","2017","Male","Number","174300"
"Outbound Overnight Trip only","2017","Female","Number","166100"
"Outbound Overnight Trip only","2018","Both sexes","Number","439800"
"Outbound Overnight Trip only","2018","Male","Number","227900"
"Outbound Overnight Trip only","2018","Female","Number","212000"
"Outbound Overnight Trip only","2019","Both sexes","Number","460200"
"Outbound Overnight Trip only","2019","Male","Number","216900"
"Outbound Overnight Trip only","2019","Female","Number","243300"
"Outbound Overnight Trip only","2020","Both sexes","Number","198700"
"Outbound Overnight Trip only","2020","Male","Number","101000"
"Outbound Overnight Trip only","2020","Female","Number","97700"
"Outbound Overnight Trip only","2021","Both sexes","Number","336600"
"Outbound Overnight Trip only","2021","Male","Number","169500"
"Outbound Overnight Trip only","2021","Female","Number","167100"
"Both Domestic and Outbound Overnight Trips","2016","Both sexes","Number","1730300"
"Both Domestic and Outbound Overnight Trips","2016","Male","Number","802200"
"Both Domestic and Outbound Overnight Trips","2016","Female","Number","928100"
"Both Domestic and Outbound Overnight Trips","2017","Both sexes","Number","1780100"
"Both Domestic and Outbound Overnight Trips","2017","Male","Number","819100"
"Both Domestic and Outbound Overnight Trips","2017","Female","Number","961000"
"Both Domestic and Outbound Overnight Trips","2018","Both sexes","Number","1873300"
"Both Domestic and Outbound Overnight Trips","2018","Male","Number","886700"
"Both Domestic and Outbound Overnight Trips","2018","Female","Number","986600"
"Both Domestic and Outbound Overnight Trips","2019","Both sexes","Number","1801600"
"Both Domestic and Outbound Overnight Trips","2019","Male","Number","822800"
"Both Domestic and Outbound Overnight Trips","2019","Female","Number","978800"
"Both Domestic and Outbound Overnight Trips","2020","Both sexes","Number","695500"
"Both Domestic and Outbound Overnight Trips","2020","Male","Number","370700"
"Both Domestic and Outbound Overnight Trips","2020","Female","Number","324800"
"Both Domestic and Outbound Overnight Trips","2021","Both sexes","Number","1028300"
"Both Domestic and Outbound Overnight Trips","2021","Male","Number","497100"
"Both Domestic and Outbound Overnight Trips","2021","Female","Number","531200"
"Any Overnight Trip","2016","Both sexes","Number","2794200"
"Any Overnight Trip","2016","Male","Number","1324200"
"Any Overnight Trip","2016","Female","Number","1470000"
"Any Overnight Trip","2017","Both sexes","Number","2833100"
"Any Overnight Trip","2017","Male","Number","1349400"
"Any Overnight Trip","2017","Female","Number","1483700"
"Any Overnight Trip","2018","Both sexes","Number","2894200"
"Any Overnight Trip","2018","Male","Number","1399500"
"Any Overnight Trip","2018","Female","Number","1494700"
"Any Overnight Trip","2019","Both sexes","Number","2884000"
"Any Overnight Trip","2019","Male","Number","1365200"
"Any Overnight Trip","2019","Female","Number","1518800"
"Any Overnight Trip","2020","Both sexes","Number","2396700"
"Any Overnight Trip","2020","Male","Number","1148000"
"Any Overnight Trip","2020","Female","Number","1248600"
"Any Overnight Trip","2021","Both sexes","Number","2924200"
"Any Overnight Trip","2021","Male","Number","1402400"
"Any Overnight Trip","2021","Female","Number","1521800"
