"Statistic Label","Year","Age Group","UNIT","VALUE"
"Domestic Overnight Trip only","2016","15 - 64 years","Number","510400"
"Domestic Overnight Trip only","2016","65 years and over","Number","123000"
"Domestic Overnight Trip only","2016","All ages","Number","633400"
"Domestic Overnight Trip only","2017","15 - 64 years","Number","588100"
"Domestic Overnight Trip only","2017","65 years and over","Number","124500"
"Domestic Overnight Trip only","2017","All ages","Number","712600"
"Domestic Overnight Trip only","2018","15 - 64 years","Number","472700"
"Domestic Overnight Trip only","2018","65 years and over","Number","108300"
"Domestic Overnight Trip only","2018","All ages","Number","581000"
"Domestic Overnight Trip only","2019","15 - 64 years","Number","500600"
"Domestic Overnight Trip only","2019","65 years and over","Number","121700"
"Domestic Overnight Trip only","2019","All ages","Number","622300"
"Domestic Overnight Trip only","2020","15 - 64 years","Number","1278800"
"Domestic Overnight Trip only","2020","65 years and over","Number","223700"
"Domestic Overnight Trip only","2020","All ages","Number","1502500"
"Domestic Overnight Trip only","2021","15 - 64 years","Number","1290600"
"Domestic Overnight Trip only","2021","65 years and over","Number","268700"
"Domestic Overnight Trip only","2021","All ages","Number","1559300"
"Outbound Overnight Trip only","2016","15 - 64 years","Number","376600"
"Outbound Overnight Trip only","2016","65 years and over","Number","53900"
"Outbound Overnight Trip only","2016","All ages","Number","430500"
"Outbound Overnight Trip only","2017","15 - 64 years","Number","281000"
"Outbound Overnight Trip only","2017","65 years and over","Number","59500"
"Outbound Overnight Trip only","2017","All ages","Number","340400"
"Outbound Overnight Trip only","2018","15 - 64 years","Number","366100"
"Outbound Overnight Trip only","2018","65 years and over","Number","73700"
"Outbound Overnight Trip only","2018","All ages","Number","439800"
"Outbound Overnight Trip only","2019","15 - 64 years","Number","399800"
"Outbound Overnight Trip only","2019","65 years and over","Number","60400"
"Outbound Overnight Trip only","2019","All ages","Number","460200"
"Outbound Overnight Trip only","2020","15 - 64 years","Number","151700"
"Outbound Overnight Trip only","2020","65 years and over","Number","47000"
"Outbound Overnight Trip only","2020","All ages","Number","198700"
"Outbound Overnight Trip only","2021","15 - 64 years","Number","281200"
"Outbound Overnight Trip only","2021","65 years and over","Number","55400"
"Outbound Overnight Trip only","2021","All ages","Number","336600"
"Both Domestic and Outbound Overnight Trips","2016","15 - 64 years","Number","1510500"
"Both Domestic and Outbound Overnight Trips","2016","65 years and over","Number","219800"
"Both Domestic and Outbound Overnight Trips","2016","All ages","Number","1730300"
"Both Domestic and Outbound Overnight Trips","2017","15 - 64 years","Number","1523900"
"Both Domestic and Outbound Overnight Trips","2017","65 years and over","Number","256200"
"Both Domestic and Outbound Overnight Trips","2017","All ages","Number","1780100"
"Both Domestic and Outbound Overnight Trips","2018","15 - 64 years","Number","1635200"
"Both Domestic and Outbound Overnight Trips","2018","65 years and over","Number","238100"
"Both Domestic and Outbound Overnight Trips","2018","All ages","Number","1873300"
"Both Domestic and Outbound Overnight Trips","2019","15 - 64 years","Number","1568500"
"Both Domestic and Outbound Overnight Trips","2019","65 years and over","Number","233100"
"Both Domestic and Outbound Overnight Trips","2019","All ages","Number","1801600"
"Both Domestic and Outbound Overnight Trips","2020","15 - 64 years","Number","598300"
"Both Domestic and Outbound Overnight Trips","2020","65 years and over","Number","97100"
"Both Domestic and Outbound Overnight Trips","2020","All ages","Number","695500"
"Both Domestic and Outbound Overnight Trips","2021","15 - 64 years","Number","883200"
"Both Domestic and Outbound Overnight Trips","2021","65 years and over","Number","145100"
"Both Domestic and Outbound Overnight Trips","2021","All ages","Number","1028300"
"Any Overnight Trip","2016","15 - 64 years","Number","2397500"
"Any Overnight Trip","2016","65 years and over","Number","396700"
"Any Overnight Trip","2016","All ages","Number","2794200"
"Any Overnight Trip","2017","15 - 64 years","Number","2392900"
"Any Overnight Trip","2017","65 years and over","Number","440200"
"Any Overnight Trip","2017","All ages","Number","2833100"
"Any Overnight Trip","2018","15 - 64 years","Number","2474100"
"Any Overnight Trip","2018","65 years and over","Number","420000"
"Any Overnight Trip","2018","All ages","Number","2894200"
"Any Overnight Trip","2019","15 - 64 years","Number","2468800"
"Any Overnight Trip","2019","65 years and over","Number","415300"
"Any Overnight Trip","2019","All ages","Number","2884000"
"Any Overnight Trip","2020","15 - 64 years","Number","2028800"
"Any Overnight Trip","2020","65 years and over","Number","367800"
"Any Overnight Trip","2020","All ages","Number","2396700"
"Any Overnight Trip","2021","15 - 64 years","Number","2455100"
"Any Overnight Trip","2021","65 years and over","Number","469100"
"Any Overnight Trip","2021","All ages","Number","2924200"
