"Age Group","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"0 - 14 years","Domestic","2000Q1","Number of Trips by Irish Residents","Thousand","209"
"0 - 14 years","Domestic","2000Q1","Number of Nights by Irish Residents","Thousand","617"
"0 - 14 years","Domestic","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip","3"
"0 - 14 years","Domestic","2000Q2","Number of Trips by Irish Residents","Thousand","231"
"0 - 14 years","Domestic","2000Q2","Number of Nights by Irish Residents","Thousand","847"
"0 - 14 years","Domestic","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"0 - 14 years","Domestic","2000Q3","Number of Trips by Irish Residents","Thousand","450"
"0 - 14 years","Domestic","2000Q3","Number of Nights by Irish Residents","Thousand","2766"
"0 - 14 years","Domestic","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"0 - 14 years","Domestic","2000Q4","Number of Trips by Irish Residents","Thousand","264"
"0 - 14 years","Domestic","2000Q4","Number of Nights by Irish Residents","Thousand","760"
"0 - 14 years","Domestic","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"0 - 14 years","Domestic","2001Q1","Number of Trips by Irish Residents","Thousand","214"
"0 - 14 years","Domestic","2001Q1","Number of Nights by Irish Residents","Thousand","547"
"0 - 14 years","Domestic","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"0 - 14 years","Domestic","2001Q2","Number of Trips by Irish Residents","Thousand","310"
"0 - 14 years","Domestic","2001Q2","Number of Nights by Irish Residents","Thousand","1113"
"0 - 14 years","Domestic","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"0 - 14 years","Domestic","2001Q3","Number of Trips by Irish Residents","Thousand","571"
"0 - 14 years","Domestic","2001Q3","Number of Nights by Irish Residents","Thousand","3634"
"0 - 14 years","Domestic","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"0 - 14 years","Domestic","2001Q4","Number of Trips by Irish Residents","Thousand","315"
"0 - 14 years","Domestic","2001Q4","Number of Nights by Irish Residents","Thousand","864"
"0 - 14 years","Domestic","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"0 - 14 years","Domestic","2002Q1","Number of Trips by Irish Residents","Thousand","282"
"0 - 14 years","Domestic","2002Q1","Number of Nights by Irish Residents","Thousand","756"
"0 - 14 years","Domestic","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"0 - 14 years","Domestic","2002Q2","Number of Trips by Irish Residents","Thousand","285"
"0 - 14 years","Domestic","2002Q2","Number of Nights by Irish Residents","Thousand","1069"
"0 - 14 years","Domestic","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.8"
"0 - 14 years","Domestic","2002Q3","Number of Trips by Irish Residents","Thousand","493"
"0 - 14 years","Domestic","2002Q3","Number of Nights by Irish Residents","Thousand","2966"
"0 - 14 years","Domestic","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip","6"
"0 - 14 years","Domestic","2002Q4","Number of Trips by Irish Residents","Thousand","277"
"0 - 14 years","Domestic","2002Q4","Number of Nights by Irish Residents","Thousand","794"
"0 - 14 years","Domestic","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"0 - 14 years","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand","236"
"0 - 14 years","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand","604"
"0 - 14 years","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"0 - 14 years","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand","293"
"0 - 14 years","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand","960"
"0 - 14 years","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"0 - 14 years","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand","493"
"0 - 14 years","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand","3076"
"0 - 14 years","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"0 - 14 years","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand","311"
"0 - 14 years","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand","986"
"0 - 14 years","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"0 - 14 years","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand","336"
"0 - 14 years","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand","851"
"0 - 14 years","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"0 - 14 years","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand","303"
"0 - 14 years","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand","1004"
"0 - 14 years","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.3"
"0 - 14 years","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand","571"
"0 - 14 years","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand","3496"
"0 - 14 years","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"0 - 14 years","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand","344"
"0 - 14 years","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand","925"
"0 - 14 years","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"0 - 14 years","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","302"
"0 - 14 years","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","850"
"0 - 14 years","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"0 - 14 years","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","324"
"0 - 14 years","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","1170"
"0 - 14 years","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"0 - 14 years","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","544"
"0 - 14 years","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","3085"
"0 - 14 years","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","5.7"
"0 - 14 years","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","301"
"0 - 14 years","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","873"
"0 - 14 years","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"0 - 14 years","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","250"
"0 - 14 years","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","677"
