"Statistic Label","Quarter","Sex","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2000Q1","Both sexes","Domestic","Thousand","1169"
"Number of Trips by Irish Residents","2000Q1","Both sexes","Outbound","Thousand","716"
"Number of Trips by Irish Residents","2000Q1","Male","Domestic","Thousand","558"
"Number of Trips by Irish Residents","2000Q1","Male","Outbound","Thousand","370"
"Number of Trips by Irish Residents","2000Q1","Female","Domestic","Thousand","611"
"Number of Trips by Irish Residents","2000Q1","Female","Outbound","Thousand","345"
"Number of Trips by Irish Residents","2000Q2","Both sexes","Domestic","Thousand","1185"
"Number of Trips by Irish Residents","2000Q2","Both sexes","Outbound","Thousand","1028"
"Number of Trips by Irish Residents","2000Q2","Male","Domestic","Thousand","525"
"Number of Trips by Irish Residents","2000Q2","Male","Outbound","Thousand","473"
"Number of Trips by Irish Residents","2000Q2","Female","Domestic","Thousand","660"
"Number of Trips by Irish Residents","2000Q2","Female","Outbound","Thousand","555"
"Number of Trips by Irish Residents","2000Q3","Both sexes","Domestic","Thousand","1759"
"Number of Trips by Irish Residents","2000Q3","Both sexes","Outbound","Thousand","1213"
"Number of Trips by Irish Residents","2000Q3","Male","Domestic","Thousand","861"
"Number of Trips by Irish Residents","2000Q3","Male","Outbound","Thousand","589"
"Number of Trips by Irish Residents","2000Q3","Female","Domestic","Thousand","899"
"Number of Trips by Irish Residents","2000Q3","Female","Outbound","Thousand","625"
"Number of Trips by Irish Residents","2000Q4","Both sexes","Domestic","Thousand","1365"
"Number of Trips by Irish Residents","2000Q4","Both sexes","Outbound","Thousand","811"
"Number of Trips by Irish Residents","2000Q4","Male","Domestic","Thousand","669"
"Number of Trips by Irish Residents","2000Q4","Male","Outbound","Thousand","438"
"Number of Trips by Irish Residents","2000Q4","Female","Domestic","Thousand","696"
"Number of Trips by Irish Residents","2000Q4","Female","Outbound","Thousand","372"
"Number of Trips by Irish Residents","2001Q1","Both sexes","Domestic","Thousand","1235"
"Number of Trips by Irish Residents","2001Q1","Both sexes","Outbound","Thousand","764"
"Number of Trips by Irish Residents","2001Q1","Male","Domestic","Thousand","595"
"Number of Trips by Irish Residents","2001Q1","Male","Outbound","Thousand","406"
"Number of Trips by Irish Residents","2001Q1","Female","Domestic","Thousand","641"
"Number of Trips by Irish Residents","2001Q1","Female","Outbound","Thousand","359"
"Number of Trips by Irish Residents","2001Q2","Both sexes","Domestic","Thousand","1373"
"Number of Trips by Irish Residents","2001Q2","Both sexes","Outbound","Thousand","1115"
"Number of Trips by Irish Residents","2001Q2","Male","Domestic","Thousand","650"
"Number of Trips by Irish Residents","2001Q2","Male","Outbound","Thousand","533"
