"Method of Booking","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"All methods of booking","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand","1447"
"All methods of booking","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand","3819"
"All methods of booking","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"All methods of booking","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand","1509"
"All methods of booking","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand","4589"
"All methods of booking","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"All methods of booking","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand","2087"
"All methods of booking","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand","10346"
"All methods of booking","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","5"
"All methods of booking","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand","1614"
"All methods of booking","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand","4861"
"All methods of booking","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","3"
"All methods of booking","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand","1585"
"All methods of booking","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand","4174"
"All methods of booking","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"All methods of booking","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand","1533"
"All methods of booking","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand","4689"
"All methods of booking","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"All methods of booking","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand","2167"
"All methods of booking","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand","10653"
"All methods of booking","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.9"
"All methods of booking","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand","1715"
"All methods of booking","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand","4673"
"All methods of booking","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"All methods of booking","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","1490"
"All methods of booking","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","4170"
"All methods of booking","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"All methods of booking","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","1705"
"All methods of booking","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","5195"
"All methods of booking","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"All methods of booking","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","2300"
"All methods of booking","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","10685"
"All methods of booking","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"All methods of booking","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","1678"
"All methods of booking","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","4557"
"All methods of booking","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"All methods of booking","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","1457"
"All methods of booking","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","3708"
"All methods of booking","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"All methods of booking","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","1721"
"All methods of booking","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","5357"
"All methods of booking","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"All methods of booking","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","2301"
"All methods of booking","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","10659"
"All methods of booking","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"All methods of booking","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","1831"
"All methods of booking","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","4479"
"All methods of booking","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"All methods of booking","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","1579"
"All methods of booking","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","3983"
"All methods of booking","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"All methods of booking","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","1983"
"All methods of booking","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","5909"
"All methods of booking","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"All methods of booking","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand","2448"
"All methods of booking","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand","11415"
"All methods of booking","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.7"
"All methods of booking","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand","1932"
"All methods of booking","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand","5021"
"All methods of booking","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"All methods of booking","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand","1851"
"All methods of booking","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand","4626"
"All methods of booking","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"All methods of booking","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand","1867"
"All methods of booking","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand","5380"
"All methods of booking","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"All methods of booking","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand","2544"
"All methods of booking","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand","10919"
"All methods of booking","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.3"
"All methods of booking","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand","2077"
"All methods of booking","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand","5271"
"All methods of booking","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"All methods of booking","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand","1760"
"All methods of booking","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand","4221"
"All methods of booking","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"All methods of booking","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand","2042"
"All methods of booking","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand","6087"
"All methods of booking","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"All methods of booking","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand","2512"
"All methods of booking","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand","10555"
"All methods of booking","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.2"
"All methods of booking","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand","2026"
"All methods of booking","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand","5164"
"All methods of booking","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"All methods of booking","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand","954"
"All methods of booking","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand","6491"
"All methods of booking","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.8"
"All methods of booking","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand","1330"
"All methods of booking","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand","12331"
"All methods of booking","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.3"
"All methods of booking","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand","1595"
"All methods of booking","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand","16776"
"All methods of booking","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.5"
"All methods of booking","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand","1095"
"All methods of booking","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand","8104"
"All methods of booking","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.4"
"All methods of booking","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand","1069"
"All methods of booking","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand","7567"
"All methods of booking","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.1"
"All methods of booking","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand","1425"
"All methods of booking","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand","12688"
"All methods of booking","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"All methods of booking","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand","1751"
"All methods of booking","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand","18193"
"All methods of booking","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.4"
"All methods of booking","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand","1220"
"All methods of booking","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand","7854"
"All methods of booking","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"All methods of booking","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","1212"
"All methods of booking","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","8502"
"All methods of booking","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","7"
"All methods of booking","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","1661"
"All methods of booking","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","14592"
"All methods of booking","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"All methods of booking","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","1961"
"All methods of booking","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","19828"
"All methods of booking","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.1"
"All methods of booking","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","1355"
"All methods of booking","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","8581"
"All methods of booking","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"All methods of booking","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","1397"
"All methods of booking","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","9140"
"All methods of booking","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.5"
"All methods of booking","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","1850"
"All methods of booking","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","14731"
"All methods of booking","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","8"
"All methods of booking","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","2174"
"All methods of booking","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","20378"
"All methods of booking","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"All methods of booking","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","1560"
"All methods of booking","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","10017"
"All methods of booking","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"All methods of booking","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","1580"
"All methods of booking","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","10431"
"All methods of booking","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.6"
"All methods of booking","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","2073"
"All methods of booking","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","16460"
"All methods of booking","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.9"
"All methods of booking","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand","2387"
"All methods of booking","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand","22941"
"All methods of booking","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.6"
"All methods of booking","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand","1790"
"All methods of booking","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand","12404"
"All methods of booking","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"All methods of booking","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand","1800"
