"Statistic Label","Quarter","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2000Q1","All types of accommodation","Domestic","Thousand","1169"
"Number of Trips by Irish Residents","2000Q1","All types of accommodation","Outbound","Thousand","716"
"Number of Trips by Irish Residents","2000Q1","Friends/relatives","Domestic","Thousand","499"
"Number of Trips by Irish Residents","2000Q1","Friends/relatives","Outbound","Thousand","194"
"Number of Trips by Irish Residents","2000Q1","Hotel/conference centre","Domestic","Thousand","392"
"Number of Trips by Irish Residents","2000Q1","Hotel/conference centre","Outbound","Thousand","370"
"Number of Trips by Irish Residents","2000Q1","Self catering/rented house","Domestic","Thousand","54"
"Number of Trips by Irish Residents","2000Q1","Self catering/rented house","Outbound","Thousand","74"
"Number of Trips by Irish Residents","2000Q1","Other","Domestic","Thousand","42"
"Number of Trips by Irish Residents","2000Q1","Other","Outbound","Thousand","31"
"Number of Trips by Irish Residents","2000Q2","All types of accommodation","Domestic","Thousand","1185"
"Number of Trips by Irish Residents","2000Q2","All types of accommodation","Outbound","Thousand","1028"
"Number of Trips by Irish Residents","2000Q2","Friends/relatives","Domestic","Thousand","372"
"Number of Trips by Irish Residents","2000Q2","Friends/relatives","Outbound","Thousand","233"
"Number of Trips by Irish Residents","2000Q2","Hotel/conference centre","Domestic","Thousand","360"
"Number of Trips by Irish Residents","2000Q2","Hotel/conference centre","Outbound","Thousand","378"
"Number of Trips by Irish Residents","2000Q2","Self catering/rented house","Domestic","Thousand","92"
"Number of Trips by Irish Residents","2000Q2","Self catering/rented house","Outbound","Thousand","282"
"Number of Trips by Irish Residents","2000Q2","Other","Domestic","Thousand","52"
"Number of Trips by Irish Residents","2000Q2","Other","Outbound","Thousand","38"
"Number of Trips by Irish Residents","2000Q3","All types of accommodation","Domestic","Thousand","1759"
"Number of Trips by Irish Residents","2000Q3","All types of accommodation","Outbound","Thousand","1213"
"Number of Trips by Irish Residents","2000Q3","Friends/relatives","Domestic","Thousand","484"
"Number of Trips by Irish Residents","2000Q3","Friends/relatives","Outbound","Thousand","248"
"Number of Trips by Irish Residents","2000Q3","Hotel/conference centre","Domestic","Thousand","423"
"Number of Trips by Irish Residents","2000Q3","Hotel/conference centre","Outbound","Thousand","443"
"Number of Trips by Irish Residents","2000Q3","Self catering/rented house","Domestic","Thousand","242"
"Number of Trips by Irish Residents","2000Q3","Self catering/rented house","Outbound","Thousand","330"
"Number of Trips by Irish Residents","2000Q3","Other","Domestic","Thousand","78"
"Number of Trips by Irish Residents","2000Q3","Other","Outbound","Thousand","55"
"Number of Trips by Irish Residents","2000Q4","All types of accommodation","Domestic","Thousand","1365"
"Number of Trips by Irish Residents","2000Q4","All types of accommodation","Outbound","Thousand","811"
"Number of Trips by Irish Residents","2000Q4","Friends/relatives","Domestic","Thousand","581"
"Number of Trips by Irish Residents","2000Q4","Friends/relatives","Outbound","Thousand","243"
"Number of Trips by Irish Residents","2000Q4","Hotel/conference centre","Domestic","Thousand","494"
"Number of Trips by Irish Residents","2000Q4","Hotel/conference centre","Outbound","Thousand","376"
"Number of Trips by Irish Residents","2000Q4","Self catering/rented house","Domestic","Thousand","68"
"Number of Trips by Irish Residents","2000Q4","Self catering/rented house","Outbound","Thousand","104"
"Number of Trips by Irish Residents","2000Q4","Other","Domestic","Thousand","42"
"Number of Trips by Irish Residents","2000Q4","Other","Outbound","Thousand","32"
"Number of Trips by Irish Residents","2001Q1","All types of accommodation","Domestic","Thousand","1235"
"Number of Trips by Irish Residents","2001Q1","All types of accommodation","Outbound","Thousand","764"
"Number of Trips by Irish Residents","2001Q1","Friends/relatives","Domestic","Thousand","471"
"Number of Trips by Irish Residents","2001Q1","Friends/relatives","Outbound","Thousand","197"
"Number of Trips by Irish Residents","2001Q1","Hotel/conference centre","Domestic","Thousand","521"
"Number of Trips by Irish Residents","2001Q1","Hotel/conference centre","Outbound","Thousand","403"
"Number of Trips by Irish Residents","2001Q1","Self catering/rented house","Domestic","Thousand","56"
"Number of Trips by Irish Residents","2001Q1","Self catering/rented house","Outbound","Thousand","88"
"Number of Trips by Irish Residents","2001Q1","Other","Domestic","Thousand","38"
"Number of Trips by Irish Residents","2001Q1","Other","Outbound","Thousand","28"
"Number of Trips by Irish Residents","2001Q2","All types of accommodation","Domestic","Thousand","1373"
"Number of Trips by Irish Residents","2001Q2","All types of accommodation","Outbound","Thousand","1115"
"Number of Trips by Irish Residents","2001Q2","Friends/relatives","Domestic","Thousand","466"
"Number of Trips by Irish Residents","2001Q2","Friends/relatives","Outbound","Thousand","198"
"Number of Trips by Irish Residents","2001Q2","Hotel/conference centre","Domestic","Thousand","396"
"Number of Trips by Irish Residents","2001Q2","Hotel/conference centre","Outbound","Thousand","430"
"Number of Trips by Irish Residents","2001Q2","Self catering/rented house","Domestic","Thousand","114"
"Number of Trips by Irish Residents","2001Q2","Self catering/rented house","Outbound","Thousand","335"
"Number of Trips by Irish Residents","2001Q2","Other","Domestic","Thousand","69"
"Number of Trips by Irish Residents","2001Q2","Other","Outbound","Thousand","34"
"Number of Trips by Irish Residents","2001Q3","All types of accommodation","Domestic","Thousand","2128"
"Number of Trips by Irish Residents","2001Q3","All types of accommodation","Outbound","Thousand","1380"
"Number of Trips by Irish Residents","2001Q3","Friends/relatives","Domestic","Thousand","625"
"Number of Trips by Irish Residents","2001Q3","Friends/relatives","Outbound","Thousand","252"
"Number of Trips by Irish Residents","2001Q3","Hotel/conference centre","Domestic","Thousand","553"
"Number of Trips by Irish Residents","2001Q3","Hotel/conference centre","Outbound","Thousand","473"
"Number of Trips by Irish Residents","2001Q3","Self catering/rented house","Domestic","Thousand","296"
"Number of Trips by Irish Residents","2001Q3","Self catering/rented house","Outbound","Thousand","395"
"Number of Trips by Irish Residents","2001Q3","Other","Domestic","Thousand","94"
"Number of Trips by Irish Residents","2001Q3","Other","Outbound","Thousand","70"
"Number of Trips by Irish Residents","2001Q4","All types of accommodation","Domestic","Thousand","1570"
"Number of Trips by Irish Residents","2001Q4","All types of accommodation","Outbound","Thousand","903"
"Number of Trips by Irish Residents","2001Q4","Friends/relatives","Domestic","Thousand","679"
"Number of Trips by Irish Residents","2001Q4","Friends/relatives","Outbound","Thousand","289"
"Number of Trips by Irish Residents","2001Q4","Hotel/conference centre","Domestic","Thousand","572"
"Number of Trips by Irish Residents","2001Q4","Hotel/conference centre","Outbound","Thousand","410"
"Number of Trips by Irish Residents","2001Q4","Self catering/rented house","Domestic","Thousand","84"
"Number of Trips by Irish Residents","2001Q4","Self catering/rented house","Outbound","Thousand","108"
"Number of Trips by Irish Residents","2001Q4","Other","Domestic","Thousand","64"
"Number of Trips by Irish Residents","2001Q4","Other","Outbound","Thousand","31"
"Number of Trips by Irish Residents","2002Q1","All types of accommodation","Domestic","Thousand","1360"
"Number of Trips by Irish Residents","2002Q1","All types of accommodation","Outbound","Thousand","884"
"Number of Trips by Irish Residents","2002Q1","Friends/relatives","Domestic","Thousand","562"
"Number of Trips by Irish Residents","2002Q1","Friends/relatives","Outbound","Thousand","246"
"Number of Trips by Irish Residents","2002Q1","Hotel/conference centre","Domestic","Thousand","472"
"Number of Trips by Irish Residents","2002Q1","Hotel/conference centre","Outbound","Thousand","439"
"Number of Trips by Irish Residents","2002Q1","Self catering/rented house","Domestic","Thousand","64"
"Number of Trips by Irish Residents","2002Q1","Self catering/rented house","Outbound","Thousand","104"
"Number of Trips by Irish Residents","2002Q1","Other","Domestic","Thousand","55"
"Number of Trips by Irish Residents","2002Q1","Other","Outbound","Thousand","35"
"Number of Trips by Irish Residents","2002Q2","All types of accommodation","Domestic","Thousand","1446"
"Number of Trips by Irish Residents","2002Q2","All types of accommodation","Outbound","Thousand","1177"
"Number of Trips by Irish Residents","2002Q2","Friends/relatives","Domestic","Thousand","496"
"Number of Trips by Irish Residents","2002Q2","Friends/relatives","Outbound","Thousand","221"
"Number of Trips by Irish Residents","2002Q2","Hotel/conference centre","Domestic","Thousand","455"
"Number of Trips by Irish Residents","2002Q2","Hotel/conference centre","Outbound","Thousand","459"
"Number of Trips by Irish Residents","2002Q2","Self catering/rented house","Domestic","Thousand","114"
"Number of Trips by Irish Residents","2002Q2","Self catering/rented house","Outbound","Thousand","309"
"Number of Trips by Irish Residents","2002Q2","Other","Domestic","Thousand","58"
"Number of Trips by Irish Residents","2002Q2","Other","Outbound","Thousand","59"
"Number of Trips by Irish Residents","2002Q3","All types of accommodation","Domestic","Thousand","2070"
