"Statistic Label","Quarter","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2003Q3","All reasons for journey","State","Thousand",""
"Number of Trips by Irish Residents","2003Q3","All reasons for journey","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q3","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2003Q3","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2003Q3","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2003Q3","All reasons for journey","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q3","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2003Q3","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2003Q3","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2003Q3","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2003Q3","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Holiday","State","Thousand","1199"
"Number of Trips by Irish Residents","2003Q3","Holiday","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Holiday","Border","Thousand","125"
"Number of Trips by Irish Residents","2003Q3","Holiday","Midland","Thousand","21"
"Number of Trips by Irish Residents","2003Q3","Holiday","West","Thousand","251"
"Number of Trips by Irish Residents","2003Q3","Holiday","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Holiday","Dublin","Thousand","49"
"Number of Trips by Irish Residents","2003Q3","Holiday","Mid-East","Thousand","38"
"Number of Trips by Irish Residents","2003Q3","Holiday","Mid-West","Thousand","145"
"Number of Trips by Irish Residents","2003Q3","Holiday","South-East","Thousand","225"
"Number of Trips by Irish Residents","2003Q3","Holiday","South-West","Thousand","345"
"Number of Trips by Irish Residents","2003Q3","Business","State","Thousand","140"
"Number of Trips by Irish Residents","2003Q3","Business","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Business","Border","Thousand","10"
"Number of Trips by Irish Residents","2003Q3","Business","Midland","Thousand","8"
"Number of Trips by Irish Residents","2003Q3","Business","West","Thousand","23"
"Number of Trips by Irish Residents","2003Q3","Business","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Business","Dublin","Thousand","41"
"Number of Trips by Irish Residents","2003Q3","Business","Mid-East","Thousand","8"
"Number of Trips by Irish Residents","2003Q3","Business","Mid-West","Thousand","12"
"Number of Trips by Irish Residents","2003Q3","Business","South-East","Thousand","10"
"Number of Trips by Irish Residents","2003Q3","Business","South-West","Thousand","28"
"Number of Trips by Irish Residents","2003Q3","Visiting friends/relatives","State","Thousand","516"
"Number of Trips by Irish Residents","2003Q3","Visiting friends/relatives","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Visiting friends/relatives","Border","Thousand","69"
"Number of Trips by Irish Residents","2003Q3","Visiting friends/relatives","Midland","Thousand","28"
"Number of Trips by Irish Residents","2003Q3","Visiting friends/relatives","West","Thousand","87"
"Number of Trips by Irish Residents","2003Q3","Visiting friends/relatives","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Visiting friends/relatives","Dublin","Thousand","71"
"Number of Trips by Irish Residents","2003Q3","Visiting friends/relatives","Mid-East","Thousand","41"
"Number of Trips by Irish Residents","2003Q3","Visiting friends/relatives","Mid-West","Thousand","52"
"Number of Trips by Irish Residents","2003Q3","Visiting friends/relatives","South-East","Thousand","61"
"Number of Trips by Irish Residents","2003Q3","Visiting friends/relatives","South-West","Thousand","107"
"Number of Trips by Irish Residents","2003Q3","Other reasons","State","Thousand","233"
"Number of Trips by Irish Residents","2003Q3","Other reasons","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Other reasons","Border","Thousand","18"
"Number of Trips by Irish Residents","2003Q3","Other reasons","Midland","Thousand","17"
"Number of Trips by Irish Residents","2003Q3","Other reasons","West","Thousand","30"
"Number of Trips by Irish Residents","2003Q3","Other reasons","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Other reasons","Dublin","Thousand","36"
"Number of Trips by Irish Residents","2003Q3","Other reasons","Mid-East","Thousand","29"
"Number of Trips by Irish Residents","2003Q3","Other reasons","Mid-West","Thousand","30"
"Number of Trips by Irish Residents","2003Q3","Other reasons","South-East","Thousand","32"
"Number of Trips by Irish Residents","2003Q3","Other reasons","South-West","Thousand","40"
"Number of Trips by Irish Residents","2003Q4","All reasons for journey","State","Thousand",""
"Number of Trips by Irish Residents","2003Q4","All reasons for journey","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q4","All reasons for journey","Border","Thousand",""
"Number of Trips by Irish Residents","2003Q4","All reasons for journey","Midland","Thousand",""
"Number of Trips by Irish Residents","2003Q4","All reasons for journey","West","Thousand",""
"Number of Trips by Irish Residents","2003Q4","All reasons for journey","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q4","All reasons for journey","Dublin","Thousand",""
"Number of Trips by Irish Residents","2003Q4","All reasons for journey","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2003Q4","All reasons for journey","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2003Q4","All reasons for journey","South-East","Thousand",""
"Number of Trips by Irish Residents","2003Q4","All reasons for journey","South-West","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Holiday","State","Thousand","541"
"Number of Trips by Irish Residents","2003Q4","Holiday","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Holiday","Border","Thousand","48"
"Number of Trips by Irish Residents","2003Q4","Holiday","Midland","Thousand","16"
"Number of Trips by Irish Residents","2003Q4","Holiday","West","Thousand","125"
"Number of Trips by Irish Residents","2003Q4","Holiday","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Holiday","Dublin","Thousand","47"
"Number of Trips by Irish Residents","2003Q4","Holiday","Mid-East","Thousand","27"
"Number of Trips by Irish Residents","2003Q4","Holiday","Mid-West","Thousand","49"
"Number of Trips by Irish Residents","2003Q4","Holiday","South-East","Thousand","114"
"Number of Trips by Irish Residents","2003Q4","Holiday","South-West","Thousand","114"
"Number of Trips by Irish Residents","2003Q4","Business","State","Thousand","176"
"Number of Trips by Irish Residents","2003Q4","Business","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Business","Border","Thousand","21"
"Number of Trips by Irish Residents","2003Q4","Business","Midland","Thousand","9"
"Number of Trips by Irish Residents","2003Q4","Business","West","Thousand","24"
"Number of Trips by Irish Residents","2003Q4","Business","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Business","Dublin","Thousand","49"
"Number of Trips by Irish Residents","2003Q4","Business","Mid-East","Thousand","10"
"Number of Trips by Irish Residents","2003Q4","Business","Mid-West","Thousand","22"
"Number of Trips by Irish Residents","2003Q4","Business","South-East","Thousand","17"
"Number of Trips by Irish Residents","2003Q4","Business","South-West","Thousand","24"
"Number of Trips by Irish Residents","2003Q4","Visiting friends/relatives","State","Thousand","709"
"Number of Trips by Irish Residents","2003Q4","Visiting friends/relatives","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Visiting friends/relatives","Border","Thousand","95"
"Number of Trips by Irish Residents","2003Q4","Visiting friends/relatives","Midland","Thousand","43"
"Number of Trips by Irish Residents","2003Q4","Visiting friends/relatives","West","Thousand","105"
"Number of Trips by Irish Residents","2003Q4","Visiting friends/relatives","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Visiting friends/relatives","Dublin","Thousand","131"
"Number of Trips by Irish Residents","2003Q4","Visiting friends/relatives","Mid-East","Thousand","54"
"Number of Trips by Irish Residents","2003Q4","Visiting friends/relatives","Mid-West","Thousand","75"
"Number of Trips by Irish Residents","2003Q4","Visiting friends/relatives","South-East","Thousand","106"
"Number of Trips by Irish Residents","2003Q4","Visiting friends/relatives","South-West","Thousand","100"
"Number of Trips by Irish Residents","2003Q4","Other reasons","State","Thousand","188"
"Number of Trips by Irish Residents","2003Q4","Other reasons","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Other reasons","Border","Thousand","19"
"Number of Trips by Irish Residents","2003Q4","Other reasons","Midland","Thousand","9"
"Number of Trips by Irish Residents","2003Q4","Other reasons","West","Thousand","31"
"Number of Trips by Irish Residents","2003Q4","Other reasons","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Other reasons","Dublin","Thousand","49"
"Number of Trips by Irish Residents","2003Q4","Other reasons","Mid-East","Thousand","13"
"Number of Trips by Irish Residents","2003Q4","Other reasons","Mid-West","Thousand","17"
"Number of Trips by Irish Residents","2003Q4","Other reasons","South-East","Thousand","21"
"Number of Trips by Irish Residents","2003Q4","Other reasons","South-West","Thousand","31"
"Number of Trips by Irish Residents","2004Q1","All reasons for journey","State","Thousand",""
"Number of Trips by Irish Residents","2004Q1","All reasons for journey","Border, Midland and Western","Thousand",""
