"Statistic Label","Quarter","Length of Stay","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2000Q1","1 + Nights","State","Thousand","1169"
"Number of Trips by Irish Residents","2000Q1","1 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q1","1 + Nights","Border","Thousand","145"
"Number of Trips by Irish Residents","2000Q1","1 + Nights","Midland","Thousand","57"
"Number of Trips by Irish Residents","2000Q1","1 + Nights","West","Thousand","204"
"Number of Trips by Irish Residents","2000Q1","1 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q1","1 + Nights","Dublin","Thousand","197"
"Number of Trips by Irish Residents","2000Q1","1 + Nights","Mid-East","Thousand","57"
"Number of Trips by Irish Residents","2000Q1","1 + Nights","Mid-West","Thousand","118"
"Number of Trips by Irish Residents","2000Q1","1 + Nights","South-East","Thousand","154"
"Number of Trips by Irish Residents","2000Q1","1 + Nights","South-West","Thousand","237"
"Number of Trips by Irish Residents","2000Q1","1 - 3 Nights","State","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","1 - 3 Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q1","1 - 3 Nights","Border","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","1 - 3 Nights","Midland","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","1 - 3 Nights","West","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","1 - 3 Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2000Q1","1 - 3 Nights","Dublin","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","1 - 3 Nights","Mid-East","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","1 - 3 Nights","Mid-West","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","1 - 3 Nights","South-East","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","1 - 3 Nights","South-West","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","4 + Nights","State","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","4 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2000Q1","4 + Nights","Border","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","4 + Nights","Midland","Thousand","0"
"Number of Trips by Irish Residents","2000Q1","4 + Nights","West","Thousand","0"
