"Domestic or Outbound","Mode of Transport","Quarter","Statistic Label","UNIT","VALUE"
"Domestic","All modes of transport","2003Q1","Number of Trips by Irish Residents","Thousand","1447"
"Domestic","All modes of transport","2003Q1","Number of Nights by Irish Residents","Thousand","3819"
"Domestic","All modes of transport","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"Domestic","All modes of transport","2003Q2","Number of Trips by Irish Residents","Thousand","1509"
"Domestic","All modes of transport","2003Q2","Number of Nights by Irish Residents","Thousand","4589"
"Domestic","All modes of transport","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"Domestic","All modes of transport","2003Q3","Number of Trips by Irish Residents","Thousand","2087"
"Domestic","All modes of transport","2003Q3","Number of Nights by Irish Residents","Thousand","10346"
"Domestic","All modes of transport","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","5"
"Domestic","All modes of transport","2003Q4","Number of Trips by Irish Residents","Thousand","1614"
"Domestic","All modes of transport","2003Q4","Number of Nights by Irish Residents","Thousand","4861"
"Domestic","All modes of transport","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","3"
"Domestic","All modes of transport","2004Q1","Number of Trips by Irish Residents","Thousand","1585"
"Domestic","All modes of transport","2004Q1","Number of Nights by Irish Residents","Thousand","4174"
"Domestic","All modes of transport","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"Domestic","All modes of transport","2004Q2","Number of Trips by Irish Residents","Thousand","1533"
"Domestic","All modes of transport","2004Q2","Number of Nights by Irish Residents","Thousand","4689"
"Domestic","All modes of transport","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Domestic","All modes of transport","2004Q3","Number of Trips by Irish Residents","Thousand","2167"
"Domestic","All modes of transport","2004Q3","Number of Nights by Irish Residents","Thousand","10653"
"Domestic","All modes of transport","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.9"
"Domestic","All modes of transport","2004Q4","Number of Trips by Irish Residents","Thousand","1715"
"Domestic","All modes of transport","2004Q4","Number of Nights by Irish Residents","Thousand","4673"
"Domestic","All modes of transport","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Domestic","All modes of transport","2005Q1","Number of Trips by Irish Residents","Thousand","1490"
"Domestic","All modes of transport","2005Q1","Number of Nights by Irish Residents","Thousand","4170"
"Domestic","All modes of transport","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"Domestic","All modes of transport","2005Q2","Number of Trips by Irish Residents","Thousand","1705"
"Domestic","All modes of transport","2005Q2","Number of Nights by Irish Residents","Thousand","5195"
"Domestic","All modes of transport","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Domestic","All modes of transport","2005Q3","Number of Trips by Irish Residents","Thousand","2300"
"Domestic","All modes of transport","2005Q3","Number of Nights by Irish Residents","Thousand","10685"
"Domestic","All modes of transport","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.7"
"Domestic","All modes of transport","2005Q4","Number of Trips by Irish Residents","Thousand","1678"
"Domestic","All modes of transport","2005Q4","Number of Nights by Irish Residents","Thousand","4557"
"Domestic","All modes of transport","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Domestic","All modes of transport","2006Q1","Number of Trips by Irish Residents","Thousand","1457"
"Domestic","All modes of transport","2006Q1","Number of Nights by Irish Residents","Thousand","3708"
"Domestic","All modes of transport","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"Domestic","All modes of transport","2006Q2","Number of Trips by Irish Residents","Thousand","1721"
"Domestic","All modes of transport","2006Q2","Number of Nights by Irish Residents","Thousand","5357"
"Domestic","All modes of transport","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Domestic","All modes of transport","2006Q3","Number of Trips by Irish Residents","Thousand","2301"
"Domestic","All modes of transport","2006Q3","Number of Nights by Irish Residents","Thousand","10659"
"Domestic","All modes of transport","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"Domestic","All modes of transport","2006Q4","Number of Trips by Irish Residents","Thousand","1831"
"Domestic","All modes of transport","2006Q4","Number of Nights by Irish Residents","Thousand","4479"
"Domestic","All modes of transport","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"Domestic","All modes of transport","2007Q1","Number of Trips by Irish Residents","Thousand","1579"
