"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2012Q1","All Countries","Thousand","1310"
"Number of Trips by Irish Residents","2012Q1","Germany","Thousand","37"
"Number of Trips by Irish Residents","2012Q1","Spain","Thousand","216"
"Number of Trips by Irish Residents","2012Q1","France","Thousand","100"
"Number of Trips by Irish Residents","2012Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","539"
"Number of Trips by Irish Residents","2012Q1","Italy","Thousand","48"
"Number of Trips by Irish Residents","2012Q1","Portugal","Thousand","24"
"Number of Trips by Irish Residents","2012Q1","United States and Canada","Thousand","77"
"Number of Trips by Irish Residents","2012Q1","Great Britain","Thousand","433"
"Number of Trips by Irish Residents","2012Q1","Northern Ireland","Thousand","106"
"Number of Trips by Irish Residents","2012Q1","Asia (7)","Thousand","44"
"Number of Trips by Irish Residents","2012Q1","Other Europe (22)","Thousand","157"
"Number of Trips by Irish Residents","2012Q1","Other countries (26)","Thousand","70"
"Number of Trips by Irish Residents","2012Q2","All Countries","Thousand","1823"
"Number of Trips by Irish Residents","2012Q2","Germany","Thousand","45"
"Number of Trips by Irish Residents","2012Q2","Spain","Thousand","387"
"Number of Trips by Irish Residents","2012Q2","France","Thousand","164"
"Number of Trips by Irish Residents","2012Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","573"
"Number of Trips by Irish Residents","2012Q2","Italy","Thousand","121"
"Number of Trips by Irish Residents","2012Q2","Portugal","Thousand","117"
"Number of Trips by Irish Residents","2012Q2","United States and Canada","Thousand","94"
"Number of Trips by Irish Residents","2012Q2","Great Britain","Thousand","439"
"Number of Trips by Irish Residents","2012Q2","Northern Ireland","Thousand","134"
"Number of Trips by Irish Residents","2012Q2","Asia (7)","Thousand","33"
"Number of Trips by Irish Residents","2012Q2","Other Europe (22)","Thousand","252"
"Number of Trips by Irish Residents","2012Q2","Other countries (26)","Thousand","38"
"Number of Trips by Irish Residents","2012Q3","All Countries","Thousand","2062"
"Number of Trips by Irish Residents","2012Q3","Germany","Thousand","32"
"Number of Trips by Irish Residents","2012Q3","Spain","Thousand","497"
"Number of Trips by Irish Residents","2012Q3","France","Thousand","289"
