"Statistic Label","Quarter","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2012Q1","All Countries","Thousand","1310"
"Number of Trips by Irish Residents","2012Q1","United States and Canada","Thousand","77"
"Number of Trips by Irish Residents","2012Q1","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2012Q1","EU27 excluding Ireland","Thousand","1113"
"Number of Trips by Irish Residents","2012Q1","Other Europe (20)","Thousand","7"
"Number of Trips by Irish Residents","2012Q1","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2012Q1","Other countries (24)","Thousand","114"
"Number of Trips by Irish Residents","2012Q2","All Countries","Thousand","1823"
"Number of Trips by Irish Residents","2012Q2","United States and Canada","Thousand","94"
"Number of Trips by Irish Residents","2012Q2","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2012Q2","EU27 excluding Ireland","Thousand","1580"
"Number of Trips by Irish Residents","2012Q2","Other Europe (20)","Thousand","78"
"Number of Trips by Irish Residents","2012Q2","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2012Q2","Other countries (24)","Thousand","71"
"Number of Trips by Irish Residents","2012Q3","All Countries","Thousand","2062"
"Number of Trips by Irish Residents","2012Q3","United States and Canada","Thousand","116"
"Number of Trips by Irish Residents","2012Q3","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2012Q3","EU27 excluding Ireland","Thousand","1782"
"Number of Trips by Irish Residents","2012Q3","Other Europe (20)","Thousand","56"
"Number of Trips by Irish Residents","2012Q3","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2012Q3","Other countries (24)","Thousand","108"
"Number of Trips by Irish Residents","2012Q4","All Countries","Thousand","1428"
"Number of Trips by Irish Residents","2012Q4","United States and Canada","Thousand","101"
"Number of Trips by Irish Residents","2012Q4","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2012Q4","EU27 excluding Ireland","Thousand","1173"
"Number of Trips by Irish Residents","2012Q4","Other Europe (20)","Thousand","53"
