"Statistic Label","Quarter","Domestic","Region of Residence","UNIT","VALUE"
"Number of Trips by Irish Residents","2018Q1","Domestic","State","Thousand","2118"
"Number of Trips by Irish Residents","2018Q1","Domestic","Northern and Western","Thousand","359"
"Number of Trips by Irish Residents","2018Q1","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Domestic","Southern","Thousand","717"
"Number of Trips by Irish Residents","2018Q1","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Domestic","Eastern and Midland","Thousand","1042"
"Number of Trips by Irish Residents","2018Q1","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Outbound","State","Thousand","1654"
"Number of Trips by Irish Residents","2018Q1","Outbound","Northern and Western","Thousand","244"
"Number of Trips by Irish Residents","2018Q1","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Outbound","Southern","Thousand","416"
"Number of Trips by Irish Residents","2018Q1","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Outbound","Eastern and Midland","Thousand","994"
"Number of Trips by Irish Residents","2018Q1","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q1","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Domestic","State","Thousand","2553"
"Number of Trips by Irish Residents","2018Q2","Domestic","Northern and Western","Thousand","380"
"Number of Trips by Irish Residents","2018Q2","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Domestic","Southern","Thousand","942"
"Number of Trips by Irish Residents","2018Q2","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Domestic","Eastern and Midland","Thousand","1232"
"Number of Trips by Irish Residents","2018Q2","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Outbound","State","Thousand","2283"
"Number of Trips by Irish Residents","2018Q2","Outbound","Northern and Western","Thousand","352"
"Number of Trips by Irish Residents","2018Q2","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Outbound","Southern","Thousand","556"
"Number of Trips by Irish Residents","2018Q2","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Outbound","Eastern and Midland","Thousand","1376"
"Number of Trips by Irish Residents","2018Q2","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Domestic","State","Thousand","3807"
"Number of Trips by Irish Residents","2018Q3","Domestic","Northern and Western","Thousand","652"
"Number of Trips by Irish Residents","2018Q3","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Domestic","Southern","Thousand","1273"
"Number of Trips by Irish Residents","2018Q3","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Domestic","Eastern and Midland","Thousand","1881"
"Number of Trips by Irish Residents","2018Q3","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Outbound","State","Thousand","2691"
"Number of Trips by Irish Residents","2018Q3","Outbound","Northern and Western","Thousand","351"
"Number of Trips by Irish Residents","2018Q3","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Outbound","Southern","Thousand","713"
"Number of Trips by Irish Residents","2018Q3","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Outbound","Eastern and Midland","Thousand","1627"
"Number of Trips by Irish Residents","2018Q3","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Domestic","State","Thousand","2441"
"Number of Trips by Irish Residents","2018Q4","Domestic","Northern and Western","Thousand","411"
"Number of Trips by Irish Residents","2018Q4","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Domestic","Southern","Thousand","825"
"Number of Trips by Irish Residents","2018Q4","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Domestic","Eastern and Midland","Thousand","1205"
"Number of Trips by Irish Residents","2018Q4","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Outbound","State","Thousand","2015"
"Number of Trips by Irish Residents","2018Q4","Outbound","Northern and Western","Thousand","275"
"Number of Trips by Irish Residents","2018Q4","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Outbound","Southern","Thousand","577"
"Number of Trips by Irish Residents","2018Q4","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Outbound","Eastern and Midland","Thousand","1163"
"Number of Trips by Irish Residents","2018Q4","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Domestic","State","Thousand","2223"
"Number of Trips by Irish Residents","2019Q1","Domestic","Northern and Western","Thousand","403"
"Number of Trips by Irish Residents","2019Q1","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Domestic","Southern","Thousand","732"
"Number of Trips by Irish Residents","2019Q1","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Domestic","Eastern and Midland","Thousand","1088"
"Number of Trips by Irish Residents","2019Q1","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Outbound","State","Thousand","1811"
"Number of Trips by Irish Residents","2019Q1","Outbound","Northern and Western","Thousand","254"
"Number of Trips by Irish Residents","2019Q1","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Outbound","Southern","Thousand","457"
"Number of Trips by Irish Residents","2019Q1","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Outbound","Eastern and Midland","Thousand","1100"
"Number of Trips by Irish Residents","2019Q1","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Domestic","State","Thousand","2858"
"Number of Trips by Irish Residents","2019Q2","Domestic","Northern and Western","Thousand","474"
"Number of Trips by Irish Residents","2019Q2","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Domestic","Southern","Thousand","932"
"Number of Trips by Irish Residents","2019Q2","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Domestic","Eastern and Midland","Thousand","1452"
"Number of Trips by Irish Residents","2019Q2","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Domestic","Midland","Thousand",""
