"Statistic Label","Month","Detailed Residency","UNIT","VALUE"
"Number of Overnight Trips by Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Thousand","189.8"
"Number of Overnight Trips by Foreign Visitors","2023 April","Belgium/Netherlands/Luxembourg","Thousand","22.8"
"Number of Overnight Trips by Foreign Visitors","2023 April","Denmark/Norway/Sweden/Finland","Thousand","11.4"
"Number of Overnight Trips by Foreign Visitors","2023 April","France","Thousand","32.5"
"Number of Overnight Trips by Foreign Visitors","2023 April","Germany","Thousand","42.2"
"Number of Overnight Trips by Foreign Visitors","2023 April","Italy","Thousand","11.4"
"Number of Overnight Trips by Foreign Visitors","2023 April","Spain/Portugal","Thousand","21.3"
"Number of Overnight Trips by Foreign Visitors","2023 April","Other Europe (2)","Thousand","31.1"
"Number of Overnight Trips by Foreign Visitors","2023 April","Australia/New Zealand","Thousand","7.1"
"Number of Overnight Trips by Foreign Visitors","2023 April","Canada","Thousand","7.4"
"Number of Overnight Trips by Foreign Visitors","2023 April","United States","Thousand","74"
"Number of Overnight Trips by Foreign Visitors","2023 April","Other Residencies","Thousand","10.8"
"Number of Overnight Trips by Foreign Visitors","2023 April","All Residencies","Thousand","461.9"
"Number of Overnight Trips by Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Thousand","199.6"
"Number of Overnight Trips by Foreign Visitors","2023 May","Belgium/Netherlands/Luxembourg","Thousand","23.1"
"Number of Overnight Trips by Foreign Visitors","2023 May","Denmark/Norway/Sweden/Finland","Thousand","19"
"Number of Overnight Trips by Foreign Visitors","2023 May","France","Thousand","46.5"
"Number of Overnight Trips by Foreign Visitors","2023 May","Germany","Thousand","44.3"
"Number of Overnight Trips by Foreign Visitors","2023 May","Italy","Thousand","23.1"
"Number of Overnight Trips by Foreign Visitors","2023 May","Spain/Portugal","Thousand","17.7"
"Number of Overnight Trips by Foreign Visitors","2023 May","Other Europe (2)","Thousand","53.4"
"Number of Overnight Trips by Foreign Visitors","2023 May","Australia/New Zealand","Thousand","8.1"
"Number of Overnight Trips by Foreign Visitors","2023 May","Canada","Thousand","18.1"
"Number of Overnight Trips by Foreign Visitors","2023 May","United States","Thousand","105.4"
"Number of Overnight Trips by Foreign Visitors","2023 May","Other Residencies","Thousand","15.2"
"Number of Overnight Trips by Foreign Visitors","2023 May","All Residencies","Thousand","573.3"
"Number of Overnight Trips by Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Thousand","227.8"
"Number of Overnight Trips by Foreign Visitors","2023 June","Belgium/Netherlands/Luxembourg","Thousand","24.8"
"Number of Overnight Trips by Foreign Visitors","2023 June","Denmark/Norway/Sweden/Finland","Thousand","12.8"
"Number of Overnight Trips by Foreign Visitors","2023 June","France","Thousand","28.2"
"Number of Overnight Trips by Foreign Visitors","2023 June","Germany","Thousand","44.9"
"Number of Overnight Trips by Foreign Visitors","2023 June","Italy","Thousand","15.9"
"Number of Overnight Trips by Foreign Visitors","2023 June","Spain/Portugal","Thousand","21.1"
"Number of Overnight Trips by Foreign Visitors","2023 June","Other Europe (2)","Thousand","35.8"
"Number of Overnight Trips by Foreign Visitors","2023 June","Australia/New Zealand","Thousand","17.1"
"Number of Overnight Trips by Foreign Visitors","2023 June","Canada","Thousand","20.9"
"Number of Overnight Trips by Foreign Visitors","2023 June","United States","Thousand","148.2"
"Number of Overnight Trips by Foreign Visitors","2023 June","Other Residencies","Thousand","22.5"
"Number of Overnight Trips by Foreign Visitors","2023 June","All Residencies","Thousand","619.9"
"Number of Overnight Trips by Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Thousand","240.8"
"Number of Overnight Trips by Foreign Visitors","2023 July","Belgium/Netherlands/Luxembourg","Thousand","21.1"
"Number of Overnight Trips by Foreign Visitors","2023 July","Denmark/Norway/Sweden/Finland","Thousand","18.1"
"Number of Overnight Trips by Foreign Visitors","2023 July","France","Thousand","40.2"
"Number of Overnight Trips by Foreign Visitors","2023 July","Germany","Thousand","44.8"
"Number of Overnight Trips by Foreign Visitors","2023 July","Italy","Thousand","24.6"
"Number of Overnight Trips by Foreign Visitors","2023 July","Spain/Portugal","Thousand","25.3"
"Number of Overnight Trips by Foreign Visitors","2023 July","Other Europe (2)","Thousand","40.3"
"Number of Overnight Trips by Foreign Visitors","2023 July","Australia/New Zealand","Thousand","16.2"
"Number of Overnight Trips by Foreign Visitors","2023 July","Canada","Thousand","19.1"
"Number of Overnight Trips by Foreign Visitors","2023 July","United States","Thousand","141.3"
"Number of Overnight Trips by Foreign Visitors","2023 July","Other Residencies","Thousand","18.6"
"Number of Overnight Trips by Foreign Visitors","2023 July","All Residencies","Thousand","650.2"
"Number of Overnight Trips by Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Thousand","259.9"
"Number of Overnight Trips by Foreign Visitors","2023 August","Belgium/Netherlands/Luxembourg","Thousand","33.2"
"Number of Overnight Trips by Foreign Visitors","2023 August","Denmark/Norway/Sweden/Finland","Thousand","12.8"
"Number of Overnight Trips by Foreign Visitors","2023 August","France","Thousand","57.7"
"Number of Overnight Trips by Foreign Visitors","2023 August","Germany","Thousand","47.9"
"Number of Overnight Trips by Foreign Visitors","2023 August","Italy","Thousand","39.7"
"Number of Overnight Trips by Foreign Visitors","2023 August","Spain/Portugal","Thousand","43.8"
"Number of Overnight Trips by Foreign Visitors","2023 August","Other Europe (2)","Thousand","38.4"
"Number of Overnight Trips by Foreign Visitors","2023 August","Australia/New Zealand","Thousand","15.4"
"Number of Overnight Trips by Foreign Visitors","2023 August","Canada","Thousand","22.7"
"Number of Overnight Trips by Foreign Visitors","2023 August","United States","Thousand","142.6"
"Number of Overnight Trips by Foreign Visitors","2023 August","Other Residencies","Thousand","23.6"
"Number of Overnight Trips by Foreign Visitors","2023 August","All Residencies","Thousand","737.6"
"Number of Overnight Trips by Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Thousand","205.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","Belgium/Netherlands/Luxembourg","Thousand","21.2"
"Number of Overnight Trips by Foreign Visitors","2023 September","Denmark/Norway/Sweden/Finland","Thousand","13.4"
"Number of Overnight Trips by Foreign Visitors","2023 September","France","Thousand","28.8"
"Number of Overnight Trips by Foreign Visitors","2023 September","Germany","Thousand","46.8"
"Number of Overnight Trips by Foreign Visitors","2023 September","Italy","Thousand","18.3"
"Number of Overnight Trips by Foreign Visitors","2023 September","Spain/Portugal","Thousand","32.8"
"Number of Overnight Trips by Foreign Visitors","2023 September","Other Europe (2)","Thousand","35.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","Australia/New Zealand","Thousand","17.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","Canada","Thousand","22.8"
"Number of Overnight Trips by Foreign Visitors","2023 September","United States","Thousand","117.4"
"Number of Overnight Trips by Foreign Visitors","2023 September","Other Residencies","Thousand","20.7"
"Number of Overnight Trips by Foreign Visitors","2023 September","All Residencies","Thousand","582.1"
"Number of Overnight Trips by Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Thousand","204.7"
"Number of Overnight Trips by Foreign Visitors","2023 October","Belgium/Netherlands/Luxembourg","Thousand","22.6"
"Number of Overnight Trips by Foreign Visitors","2023 October","Denmark/Norway/Sweden/Finland","Thousand","18.3"
"Number of Overnight Trips by Foreign Visitors","2023 October","France","Thousand","29.2"
"Number of Overnight Trips by Foreign Visitors","2023 October","Germany","Thousand","44.9"
"Number of Overnight Trips by Foreign Visitors","2023 October","Italy","Thousand","20.4"
"Number of Overnight Trips by Foreign Visitors","2023 October","Spain/Portugal","Thousand","35.5"
"Number of Overnight Trips by Foreign Visitors","2023 October","Other Europe (2)","Thousand","30.4"
"Number of Overnight Trips by Foreign Visitors","2023 October","Australia/New Zealand","Thousand","13.2"
"Number of Overnight Trips by Foreign Visitors","2023 October","Canada","Thousand","18.8"
"Number of Overnight Trips by Foreign Visitors","2023 October","United States","Thousand","122.1"
"Number of Overnight Trips by Foreign Visitors","2023 October","Other Residencies","Thousand","17"
"Number of Overnight Trips by Foreign Visitors","2023 October","All Residencies","Thousand","577.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Thousand","182.8"
"Number of Overnight Trips by Foreign Visitors","2023 November","Belgium/Netherlands/Luxembourg","Thousand","21.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Denmark/Norway/Sweden/Finland","Thousand","10.6"
"Number of Overnight Trips by Foreign Visitors","2023 November","France","Thousand","22.2"
