"Statistic Label","Month","Residency","UNIT","VALUE"
"Number of Overnight Trips by Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Thousand","189.8"
"Number of Overnight Trips by Foreign Visitors","2023 April","Other Europe (3)","Thousand","172.8"
"Number of Overnight Trips by Foreign Visitors","2023 April","USA & Canada","Thousand","81.4"
"Number of Overnight Trips by Foreign Visitors","2023 April","Other Residencies","Thousand","17.9"
"Number of Overnight Trips by Foreign Visitors","2023 April","All Residencies","Thousand","461.9"
"Number of Overnight Trips by Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Thousand","199.6"
"Number of Overnight Trips by Foreign Visitors","2023 May","Other Europe (3)","Thousand","227"
"Number of Overnight Trips by Foreign Visitors","2023 May","USA & Canada","Thousand","123.4"
"Number of Overnight Trips by Foreign Visitors","2023 May","Other Residencies","Thousand","23.3"
"Number of Overnight Trips by Foreign Visitors","2023 May","All Residencies","Thousand","573.3"
"Number of Overnight Trips by Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","Thousand","227.8"
"Number of Overnight Trips by Foreign Visitors","2023 June","Other Europe (3)","Thousand","183.4"
"Number of Overnight Trips by Foreign Visitors","2023 June","USA & Canada","Thousand","169.1"
"Number of Overnight Trips by Foreign Visitors","2023 June","Other Residencies","Thousand","39.6"
"Number of Overnight Trips by Foreign Visitors","2023 June","All Residencies","Thousand","619.9"
"Number of Overnight Trips by Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Thousand","240.8"
"Number of Overnight Trips by Foreign Visitors","2023 July","Other Europe (3)","Thousand","214.3"
"Number of Overnight Trips by Foreign Visitors","2023 July","USA & Canada","Thousand","160.4"
"Number of Overnight Trips by Foreign Visitors","2023 July","Other Residencies","Thousand","34.8"
"Number of Overnight Trips by Foreign Visitors","2023 July","All Residencies","Thousand","650.2"
"Number of Overnight Trips by Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Thousand","259.9"
"Number of Overnight Trips by Foreign Visitors","2023 August","Other Europe (3)","Thousand","273.4"
"Number of Overnight Trips by Foreign Visitors","2023 August","USA & Canada","Thousand","165.2"
"Number of Overnight Trips by Foreign Visitors","2023 August","Other Residencies","Thousand","39"
"Number of Overnight Trips by Foreign Visitors","2023 August","All Residencies","Thousand","737.6"
"Number of Overnight Trips by Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Thousand","205.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","Other Europe (3)","Thousand","197.4"
"Number of Overnight Trips by Foreign Visitors","2023 September","USA & Canada","Thousand","140.2"
"Number of Overnight Trips by Foreign Visitors","2023 September","Other Residencies","Thousand","38.6"
"Number of Overnight Trips by Foreign Visitors","2023 September","All Residencies","Thousand","582.1"
"Number of Overnight Trips by Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Thousand","204.7"
"Number of Overnight Trips by Foreign Visitors","2023 October","Other Europe (3)","Thousand","201.5"
"Number of Overnight Trips by Foreign Visitors","2023 October","USA & Canada","Thousand","140.9"
"Number of Overnight Trips by Foreign Visitors","2023 October","Other Residencies","Thousand","30.2"
"Number of Overnight Trips by Foreign Visitors","2023 October","All Residencies","Thousand","577.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Thousand","182.8"
"Number of Overnight Trips by Foreign Visitors","2023 November","Other Europe (3)","Thousand","160"
"Number of Overnight Trips by Foreign Visitors","2023 November","USA & Canada","Thousand","80.8"
"Number of Overnight Trips by Foreign Visitors","2023 November","Other Residencies","Thousand","24"
"Number of Overnight Trips by Foreign Visitors","2023 November","All Residencies","Thousand","447.5"
"Number of Overnight Trips by Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Thousand","187"
"Number of Overnight Trips by Foreign Visitors","2023 December","Other Europe (3)","Thousand","174.8"
"Number of Overnight Trips by Foreign Visitors","2023 December","USA & Canada","Thousand","59.7"
"Number of Overnight Trips by Foreign Visitors","2023 December","Other Residencies","Thousand","23.7"
"Number of Overnight Trips by Foreign Visitors","2023 December","All Residencies","Thousand","445.2"
"Number of Overnight Trips by Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Thousand","191.2"
"Number of Overnight Trips by Foreign Visitors","2024 January","Other Europe (3)","Thousand","172.7"
"Number of Overnight Trips by Foreign Visitors","2024 January","USA & Canada","Thousand","56.6"
"Number of Overnight Trips by Foreign Visitors","2024 January","Other Residencies","Thousand","31.4"
"Number of Overnight Trips by Foreign Visitors","2024 January","All Residencies","Thousand","451.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","%","41.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Other Europe (3)","%","37.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","USA & Canada","%","17.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Other Residencies","%","3.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","%","34.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Other Europe (3)","%","39.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","USA & Canada","%","21.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Other Residencies","%","4.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","%","36.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Other Europe (3)","%","29.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","USA & Canada","%","27.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Other Residencies","%","6.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","%","37"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Other Europe (3)","%","33"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","USA & Canada","%","24.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Other Residencies","%","5.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","%","35.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Other Europe (3)","%","37.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","USA & Canada","%","22.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Other Residencies","%","5.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","%","35.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Other Europe (3)","%","33.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","USA & Canada","%","24.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Other Residencies","%","6.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","%","35.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Other Europe (3)","%","34.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","USA & Canada","%","24.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Other Residencies","%","5.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","%","40.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Other Europe (3)","%","35.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","USA & Canada","%","18"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Other Residencies","%","5.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","%","42"
