"Statistic Label","Month","Main Reason for Travel","UNIT","VALUE"
"Number of Overnight Trips by Foreign Visitors","2023 April","Business","Thousand","62.8"
"Number of Overnight Trips by Foreign Visitors","2023 April","Holiday/leisure/recreation","Thousand","168.5"
"Number of Overnight Trips by Foreign Visitors","2023 April","Visit to friends/relatives","Thousand","197.9"
"Number of Overnight Trips by Foreign Visitors","2023 April","Other reason for journey","Thousand","32.7"
"Number of Overnight Trips by Foreign Visitors","2023 April","All reasons for journey","Thousand","461.9"
"Number of Overnight Trips by Foreign Visitors","2023 May","Business","Thousand","74.1"
"Number of Overnight Trips by Foreign Visitors","2023 May","Holiday/leisure/recreation","Thousand","227.5"
"Number of Overnight Trips by Foreign Visitors","2023 May","Visit to friends/relatives","Thousand","205.4"
"Number of Overnight Trips by Foreign Visitors","2023 May","Other reason for journey","Thousand","66.3"
"Number of Overnight Trips by Foreign Visitors","2023 May","All reasons for journey","Thousand","573.3"
"Number of Overnight Trips by Foreign Visitors","2023 June","Business","Thousand","88.4"
"Number of Overnight Trips by Foreign Visitors","2023 June","Holiday/leisure/recreation","Thousand","264.4"
"Number of Overnight Trips by Foreign Visitors","2023 June","Visit to friends/relatives","Thousand","205.2"
"Number of Overnight Trips by Foreign Visitors","2023 June","Other reason for journey","Thousand","61.9"
"Number of Overnight Trips by Foreign Visitors","2023 June","All reasons for journey","Thousand","619.9"
"Number of Overnight Trips by Foreign Visitors","2023 July","Business","Thousand","71.8"
"Number of Overnight Trips by Foreign Visitors","2023 July","Holiday/leisure/recreation","Thousand","292.8"
"Number of Overnight Trips by Foreign Visitors","2023 July","Visit to friends/relatives","Thousand","226.7"
"Number of Overnight Trips by Foreign Visitors","2023 July","Other reason for journey","Thousand","58.8"
"Number of Overnight Trips by Foreign Visitors","2023 July","All reasons for journey","Thousand","650.2"
"Number of Overnight Trips by Foreign Visitors","2023 August","Business","Thousand","81.8"
"Number of Overnight Trips by Foreign Visitors","2023 August","Holiday/leisure/recreation","Thousand","348.1"
"Number of Overnight Trips by Foreign Visitors","2023 August","Visit to friends/relatives","Thousand","249"
"Number of Overnight Trips by Foreign Visitors","2023 August","Other reason for journey","Thousand","58.7"
"Number of Overnight Trips by Foreign Visitors","2023 August","All reasons for journey","Thousand","737.6"
"Number of Overnight Trips by Foreign Visitors","2023 September","Business","Thousand","96.5"
"Number of Overnight Trips by Foreign Visitors","2023 September","Holiday/leisure/recreation","Thousand","275.8"
"Number of Overnight Trips by Foreign Visitors","2023 September","Visit to friends/relatives","Thousand","184.7"
"Number of Overnight Trips by Foreign Visitors","2023 September","Other reason for journey","Thousand","25.1"
"Number of Overnight Trips by Foreign Visitors","2023 September","All reasons for journey","Thousand","582.1"
"Number of Overnight Trips by Foreign Visitors","2023 October","Business","Thousand","91.7"
"Number of Overnight Trips by Foreign Visitors","2023 October","Holiday/leisure/recreation","Thousand","268.2"
"Number of Overnight Trips by Foreign Visitors","2023 October","Visit to friends/relatives","Thousand","181.5"
"Number of Overnight Trips by Foreign Visitors","2023 October","Other reason for journey","Thousand","36"
"Number of Overnight Trips by Foreign Visitors","2023 October","All reasons for journey","Thousand","577.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Business","Thousand","84.7"
