"Statistic Label","Month","Main Accommodation Type","UNIT","VALUE"
"Number of Overnight Trips by Foreign Visitors","2023 April","Hotel/conference centre","Thousand","181.8"
"Number of Overnight Trips by Foreign Visitors","2023 April","Guest house/bed & breakfast","Thousand","15.4"
"Number of Overnight Trips by Foreign Visitors","2023 April","Friends/relatives/own property","Thousand","220.3"
"Number of Overnight Trips by Foreign Visitors","2023 April","Self catering/rented house","Thousand","26.3"
"Number of Overnight Trips by Foreign Visitors","2023 April","Other private tourism accommodation n.e.c.","Thousand","18.1"
"Number of Overnight Trips by Foreign Visitors","2023 April","All types of accommodation","Thousand","461.9"
"Number of Overnight Trips by Foreign Visitors","2023 May","Hotel/conference centre","Thousand","234"
"Number of Overnight Trips by Foreign Visitors","2023 May","Guest house/bed & breakfast","Thousand","25.6"
"Number of Overnight Trips by Foreign Visitors","2023 May","Friends/relatives/own property","Thousand","241.7"
"Number of Overnight Trips by Foreign Visitors","2023 May","Self catering/rented house","Thousand","31.2"
"Number of Overnight Trips by Foreign Visitors","2023 May","Other private tourism accommodation n.e.c.","Thousand","40.8"
"Number of Overnight Trips by Foreign Visitors","2023 May","All types of accommodation","Thousand","573.3"
"Number of Overnight Trips by Foreign Visitors","2023 June","Hotel/conference centre","Thousand","286.2"
"Number of Overnight Trips by Foreign Visitors","2023 June","Guest house/bed & breakfast","Thousand","24.8"
"Number of Overnight Trips by Foreign Visitors","2023 June","Friends/relatives/own property","Thousand","231.7"
"Number of Overnight Trips by Foreign Visitors","2023 June","Self catering/rented house","Thousand","34.9"
"Number of Overnight Trips by Foreign Visitors","2023 June","Other private tourism accommodation n.e.c.","Thousand","42.3"
"Number of Overnight Trips by Foreign Visitors","2023 June","All types of accommodation","Thousand","619.9"
"Number of Overnight Trips by Foreign Visitors","2023 July","Hotel/conference centre","Thousand","276.3"
"Number of Overnight Trips by Foreign Visitors","2023 July","Guest house/bed & breakfast","Thousand","26.7"
"Number of Overnight Trips by Foreign Visitors","2023 July","Friends/relatives/own property","Thousand","260.4"
"Number of Overnight Trips by Foreign Visitors","2023 July","Self catering/rented house","Thousand","41.2"
"Number of Overnight Trips by Foreign Visitors","2023 July","Other private tourism accommodation n.e.c.","Thousand","45.6"
"Number of Overnight Trips by Foreign Visitors","2023 July","All types of accommodation","Thousand","650.2"
"Number of Overnight Trips by Foreign Visitors","2023 August","Hotel/conference centre","Thousand","297"
"Number of Overnight Trips by Foreign Visitors","2023 August","Guest house/bed & breakfast","Thousand","45.7"
"Number of Overnight Trips by Foreign Visitors","2023 August","Friends/relatives/own property","Thousand","295.9"
"Number of Overnight Trips by Foreign Visitors","2023 August","Self catering/rented house","Thousand","36.6"
"Number of Overnight Trips by Foreign Visitors","2023 August","Other private tourism accommodation n.e.c.","Thousand","62.3"
"Number of Overnight Trips by Foreign Visitors","2023 August","All types of accommodation","Thousand","737.6"
"Number of Overnight Trips by Foreign Visitors","2023 September","Hotel/conference centre","Thousand","269.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","Guest house/bed & breakfast","Thousand","46.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","Friends/relatives/own property","Thousand","210.1"
"Number of Overnight Trips by Foreign Visitors","2023 September","Self catering/rented house","Thousand","28.2"
"Number of Overnight Trips by Foreign Visitors","2023 September","Other private tourism accommodation n.e.c.","Thousand","26.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","All types of accommodation","Thousand","582.1"
"Number of Overnight Trips by Foreign Visitors","2023 October","Hotel/conference centre","Thousand","266"
"Number of Overnight Trips by Foreign Visitors","2023 October","Guest house/bed & breakfast","Thousand","30.4"
"Number of Overnight Trips by Foreign Visitors","2023 October","Friends/relatives/own property","Thousand","218.2"
"Number of Overnight Trips by Foreign Visitors","2023 October","Self catering/rented house","Thousand","30.1"
"Number of Overnight Trips by Foreign Visitors","2023 October","Other private tourism accommodation n.e.c.","Thousand","32.6"
"Number of Overnight Trips by Foreign Visitors","2023 October","All types of accommodation","Thousand","577.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Hotel/conference centre","Thousand","208.2"
"Number of Overnight Trips by Foreign Visitors","2023 November","Guest house/bed & breakfast","Thousand","16.5"
"Number of Overnight Trips by Foreign Visitors","2023 November","Friends/relatives/own property","Thousand","182.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Self catering/rented house","Thousand","17.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Other private tourism accommodation n.e.c.","Thousand","23"
"Number of Overnight Trips by Foreign Visitors","2023 November","All types of accommodation","Thousand","447.5"
"Number of Overnight Trips by Foreign Visitors","2023 December","Hotel/conference centre","Thousand","180.5"
"Number of Overnight Trips by Foreign Visitors","2023 December","Guest house/bed & breakfast","Thousand","11.8"
"Number of Overnight Trips by Foreign Visitors","2023 December","Friends/relatives/own property","Thousand","203.8"
"Number of Overnight Trips by Foreign Visitors","2023 December","Self catering/rented house","Thousand","15.7"
"Number of Overnight Trips by Foreign Visitors","2023 December","Other private tourism accommodation n.e.c.","Thousand","33.5"
"Number of Overnight Trips by Foreign Visitors","2023 December","All types of accommodation","Thousand","445.2"
"Number of Overnight Trips by Foreign Visitors","2024 January","Hotel/conference centre","Thousand","162.8"
"Number of Overnight Trips by Foreign Visitors","2024 January","Guest house/bed & breakfast","Thousand","11.3"
"Number of Overnight Trips by Foreign Visitors","2024 January","Friends/relatives/own property","Thousand","246.3"
"Number of Overnight Trips by Foreign Visitors","2024 January","Self catering/rented house","Thousand","14.3"
"Number of Overnight Trips by Foreign Visitors","2024 January","Other private tourism accommodation n.e.c.","Thousand","17.2"
"Number of Overnight Trips by Foreign Visitors","2024 January","All types of accommodation","Thousand","451.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Hotel/conference centre","%","39.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Guest house/bed & breakfast","%","3.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Friends/relatives/own property","%","47.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 April","Self catering/rented house","%","5.7"
