"STATISTIC","Statistic Label","C02173V04143","Detailed Area of Residence","TLIST(A1)","Year","UNIT","VALUE"
"TMA23","Overseas Trips to Ireland","-","All trips to Ireland","2010","2010","Thousand","6037.1"
"TMA23","Overseas Trips to Ireland","-","All trips to Ireland","2011","2011","Thousand","6505.2"
"TMA23","Overseas Trips to Ireland","-","All trips to Ireland","2012","2012","Thousand","6517.2"
"TMA23","Overseas Trips to Ireland","-","All trips to Ireland","2013","2013","Thousand","6985.9"
"TMA23","Overseas Trips to Ireland","-","All trips to Ireland","2014","2014","Thousand","7604.4"
"TMA23","Overseas Trips to Ireland","-","All trips to Ireland","2015","2015","Thousand","8643"
"TMA23","Overseas Trips to Ireland","-","All trips to Ireland","2016","2016","Thousand","9584.4"
"TMA23","Overseas Trips to Ireland","-","All trips to Ireland","2017","2017","Thousand","9932.1"
"TMA23","Overseas Trips to Ireland","-","All trips to Ireland","2018","2018","Thousand","10616.3"
"TMA23","Overseas Trips to Ireland","-","All trips to Ireland","2019","2019","Thousand","10807.5"
"TMA23","Overseas Trips to Ireland","AT","Austria","2010","2010","Thousand","42.7"
"TMA23","Overseas Trips to Ireland","AT","Austria","2011","2011","Thousand","46.2"
"TMA23","Overseas Trips to Ireland","AT","Austria","2012","2012","Thousand","49"
"TMA23","Overseas Trips to Ireland","AT","Austria","2013","2013","Thousand","54"
"TMA23","Overseas Trips to Ireland","AT","Austria","2014","2014","Thousand","59.2"
"TMA23","Overseas Trips to Ireland","AT","Austria","2015","2015","Thousand","57"
"TMA23","Overseas Trips to Ireland","AT","Austria","2016","2016","Thousand","62"
"TMA23","Overseas Trips to Ireland","AT","Austria","2017","2017","Thousand","65"
"TMA23","Overseas Trips to Ireland","AT","Austria","2018","2018","Thousand","75.1"
"TMA23","Overseas Trips to Ireland","AT","Austria","2019","2019","Thousand","82.9"
"TMA23","Overseas Trips to Ireland","BE","Belgium","2010","2010","Thousand","67"
"TMA23","Overseas Trips to Ireland","BE","Belgium","2011","2011","Thousand","87.1"
"TMA23","Overseas Trips to Ireland","BE","Belgium","2012","2012","Thousand","86.7"
"TMA23","Overseas Trips to Ireland","BE","Belgium","2013","2013","Thousand","100.4"
"TMA23","Overseas Trips to Ireland","BE","Belgium","2014","2014","Thousand","106"
"TMA23","Overseas Trips to Ireland","BE","Belgium","2015","2015","Thousand","129.4"
"TMA23","Overseas Trips to Ireland","BE","Belgium","2016","2016","Thousand","135.7"
"TMA23","Overseas Trips to Ireland","BE","Belgium","2017","2017","Thousand","133.5"
"TMA23","Overseas Trips to Ireland","BE","Belgium","2018","2018","Thousand","139.9"
"TMA23","Overseas Trips to Ireland","BE","Belgium","2019","2019","Thousand","131.7"
"TMA23","Overseas Trips to Ireland","CA","Canada","2010","2010","Thousand","87.2"
"TMA23","Overseas Trips to Ireland","CA","Canada","2011","2011","Thousand","98.5"
"TMA23","Overseas Trips to Ireland","CA","Canada","2012","2012","Thousand","112.7"
"TMA23","Overseas Trips to Ireland","CA","Canada","2013","2013","Thousand","122.5"
"TMA23","Overseas Trips to Ireland","CA","Canada","2014","2014","Thousand","159.5"
"TMA23","Overseas Trips to Ireland","CA","Canada","2015","2015","Thousand","190.7"
"TMA23","Overseas Trips to Ireland","CA","Canada","2016","2016","Thousand","221.6"
"TMA23","Overseas Trips to Ireland","CA","Canada","2017","2017","Thousand","248.6"
"TMA23","Overseas Trips to Ireland","CA","Canada","2018","2018","Thousand","268.9"
"TMA23","Overseas Trips to Ireland","CA","Canada","2019","2019","Thousand","283.7"
"TMA23","Overseas Trips to Ireland","CH","Switzerland","2010","2010","Thousand","55.4"
"TMA23","Overseas Trips to Ireland","CH","Switzerland","2011","2011","Thousand","71.4"
"TMA23","Overseas Trips to Ireland","CH","Switzerland","2012","2012","Thousand","80.9"
"TMA23","Overseas Trips to Ireland","CH","Switzerland","2013","2013","Thousand","76.7"
"TMA23","Overseas Trips to Ireland","CH","Switzerland","2014","2014","Thousand","88.9"
"TMA23","Overseas Trips to Ireland","CH","Switzerland","2015","2015","Thousand","111.4"
"TMA23","Overseas Trips to Ireland","CH","Switzerland","2016","2016","Thousand","114.6"
"TMA23","Overseas Trips to Ireland","CH","Switzerland","2017","2017","Thousand","111.9"
"TMA23","Overseas Trips to Ireland","CH","Switzerland","2018","2018","Thousand","121.7"
"TMA23","Overseas Trips to Ireland","CH","Switzerland","2019","2019","Thousand","130.3"
"TMA23","Overseas Trips to Ireland","DE","Germany","2010","2010","Thousand","377.3"
"TMA23","Overseas Trips to Ireland","DE","Germany","2011","2011","Thousand","422.9"
"TMA23","Overseas Trips to Ireland","DE","Germany","2012","2012","Thousand","448.2"
"TMA23","Overseas Trips to Ireland","DE","Germany","2013","2013","Thousand","482.9"
"TMA23","Overseas Trips to Ireland","DE","Germany","2014","2014","Thousand","557.2"
"TMA23","Overseas Trips to Ireland","DE","Germany","2015","2015","Thousand","629.3"
"TMA23","Overseas Trips to Ireland","DE","Germany","2016","2016","Thousand","652.2"
"TMA23","Overseas Trips to Ireland","DE","Germany","2017","2017","Thousand","681.4"
"TMA23","Overseas Trips to Ireland","DE","Germany","2018","2018","Thousand","817.8"
"TMA23","Overseas Trips to Ireland","DE","Germany","2019","2019","Thousand","812.4"
"TMA23","Overseas Trips to Ireland","DK","Denmark","2010","2010","Thousand","44.4"
"TMA23","Overseas Trips to Ireland","DK","Denmark","2011","2011","Thousand","48.2"
"TMA23","Overseas Trips to Ireland","DK","Denmark","2012","2012","Thousand","44.2"
"TMA23","Overseas Trips to Ireland","DK","Denmark","2013","2013","Thousand","53.2"
"TMA23","Overseas Trips to Ireland","DK","Denmark","2014","2014","Thousand","59.3"
"TMA23","Overseas Trips to Ireland","DK","Denmark","2015","2015","Thousand","70.2"
"TMA23","Overseas Trips to Ireland","DK","Denmark","2016","2016","Thousand","68.3"
"TMA23","Overseas Trips to Ireland","DK","Denmark","2017","2017","Thousand","75.8"
"TMA23","Overseas Trips to Ireland","DK","Denmark","2018","2018","Thousand","74.6"
"TMA23","Overseas Trips to Ireland","DK","Denmark","2019","2019","Thousand","77.2"
"TMA23","Overseas Trips to Ireland","ES","Spain","2010","2010","Thousand","221.3"
"TMA23","Overseas Trips to Ireland","ES","Spain","2011","2011","Thousand","244.9"
"TMA23","Overseas Trips to Ireland","ES","Spain","2012","2012","Thousand","253.1"
"TMA23","Overseas Trips to Ireland","ES","Spain","2013","2013","Thousand","263"
"TMA23","Overseas Trips to Ireland","ES","Spain","2014","2014","Thousand","290.9"
"TMA23","Overseas Trips to Ireland","ES","Spain","2015","2015","Thousand","343.2"
"TMA23","Overseas Trips to Ireland","ES","Spain","2016","2016","Thousand","394.9"
"TMA23","Overseas Trips to Ireland","ES","Spain","2017","2017","Thousand","443.2"
"TMA23","Overseas Trips to Ireland","ES","Spain","2018","2018","Thousand","443.1"
"TMA23","Overseas Trips to Ireland","ES","Spain","2019","2019","Thousand","443.1"
"TMA23","Overseas Trips to Ireland","FR","France","2010","2010","Thousand","342.5"
"TMA23","Overseas Trips to Ireland","FR","France","2011","2011","Thousand","401.5"
"TMA23","Overseas Trips to Ireland","FR","France","2012","2012","Thousand","396.3"
"TMA23","Overseas Trips to Ireland","FR","France","2013","2013","Thousand","433.7"
