"STATISTIC","Statistic Label","C02173V04143","Area of Residence","TLIST(M1)","Month","UNIT","VALUE"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201601","2016M01","Thousand","521"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201602","2016M02","Thousand","561"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201603","2016M03","Thousand","702.7"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201604","2016M04","Thousand","798.8"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201605","2016M05","Thousand","881.3"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201606","2016M06","Thousand","918.8"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201607","2016M07","Thousand","1043.3"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201608","2016M08","Thousand","1125.9"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201609","2016M09","Thousand","892.4"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201610","2016M10","Thousand","832.3"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201611","2016M11","Thousand","642.2"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201612","2016M12","Thousand","664.8"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201701","2017M01","Thousand","564.1"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201702","2017M02","Thousand","512"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201703","2017M03","Thousand","720"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201704","2017M04","Thousand","833.3"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201705","2017M05","Thousand","943.4"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201706","2017M06","Thousand","992.7"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201707","2017M07","Thousand","1031.5"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201708","2017M08","Thousand","1117.6"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201709","2017M09","Thousand","946.6"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201710","2017M10","Thousand","870.3"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201711","2017M11","Thousand","718.2"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201712","2017M12","Thousand","682.4"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201801","2018M01","Thousand","585.5"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201802","2018M02","Thousand","575.3"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201803","2018M03","Thousand","759.8"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201804","2018M04","Thousand","899.9"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201805","2018M05","Thousand","1025.6"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201806","2018M06","Thousand","1026.4"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201807","2018M07","Thousand","1160.5"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201808","2018M08","Thousand","1202.1"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201809","2018M09","Thousand","968.2"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201810","2018M10","Thousand","933.5"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201811","2018M11","Thousand","741"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201812","2018M12","Thousand","738.3"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201901","2019M01","Thousand","651.3"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201902","2019M02","Thousand","590.7"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201903","2019M03","Thousand","784.7"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201904","2019M04","Thousand","938.3"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201905","2019M05","Thousand","1021.7"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201906","2019M06","Thousand","1061.8"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201907","2019M07","Thousand","1155.1"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201908","2019M08","Thousand","1190.6"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201909","2019M09","Thousand","988.7"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201910","2019M10","Thousand","956.8"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201911","2019M11","Thousand","688.6"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","201912","2019M12","Thousand","779.2"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","202001","2020M01","Thousand","654.5"
"TMM03","Overseas Trips to Ireland","-","All trips to Ireland","202002","2020M02","Thousand","615.2"
"TMM03","Overseas Trips to Ireland","DE","Germany","201601","2016M01","Thousand","26.4"
"TMM03","Overseas Trips to Ireland","DE","Germany","201602","2016M02","Thousand","32"
