"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20121","2012Q1","Thousand","7892"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20122","2012Q2","Thousand","12734"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20123","2012Q3","Thousand","16982"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20124","2012Q4","Thousand","10333"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20131","2013Q1","Thousand","8441"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20132","2013Q2","Thousand","13341"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20133","2013Q3","Thousand","18466"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20134","2013Q4","Thousand","10738"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20141","2014Q1","Thousand","8891"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20142","2014Q2","Thousand","15134"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20143","2014Q3","Thousand","19701"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20144","2014Q4","Thousand","11151"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20151","2015Q1","Thousand","10008"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20152","2015Q2","Thousand","16443"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20153","2015Q3","Thousand","21968"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20154","2015Q4","Thousand","12809"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20161","2016Q1","Thousand","11630"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20162","2016Q2","Thousand","17319"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20163","2016Q3","Thousand","23678"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20164","2016Q4","Thousand","13772"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20171","2017Q1","Thousand","11148"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20172","2017Q2","Thousand","18316"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20173","2017Q3","Thousand","23567"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20174","2017Q4","Thousand","15621"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20181","2018Q1","Thousand","12484"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20182","2018Q2","Thousand","18684"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20183","2018Q3","Thousand","24584"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20184","2018Q4","Thousand","15134"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20191","2019Q1","Thousand","12081"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20192","2019Q2","Thousand","19770"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20193","2019Q3","Thousand","23481"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","20194","2019Q4","Thousand","15079"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20121","2012Q1","Thousand","2393"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20122","2012Q2","Thousand","3236"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20123","2012Q3","Thousand","4425"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20124","2012Q4","Thousand","2815"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20131","2013Q1","Thousand","2542"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20132","2013Q2","Thousand","3123"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20133","2013Q3","Thousand","5012"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20134","2013Q4","Thousand","3054"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20141","2014Q1","Thousand","2743"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20142","2014Q2","Thousand","3533"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20143","2014Q3","Thousand","5052"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20144","2014Q4","Thousand","3014"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20151","2015Q1","Thousand","2951"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20152","2015Q2","Thousand","3688"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20153","2015Q3","Thousand","5318"
"TMQ18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","20154","2015Q4","Thousand","3214"
