"Statistic Label","Area of Residence","Year","UNIT","VALUE"
"Overseas Trips to Ireland","All trips to Ireland","2008","Thousand","7839"
"Overseas Trips to Ireland","All trips to Ireland","2009","Thousand","6927.5"
"Overseas Trips to Ireland","All trips to Ireland","2010","Thousand","6037.1"
"Overseas Trips to Ireland","All trips to Ireland","2011","Thousand","6505.2"
"Overseas Trips to Ireland","All trips to Ireland","2012","Thousand","6517.2"
"Overseas Trips to Ireland","All trips to Ireland","2013","Thousand","6985.9"
"Overseas Trips to Ireland","All trips to Ireland","2014","Thousand","7604.4"
"Overseas Trips to Ireland","All trips to Ireland","2015","Thousand","8643"
"Overseas Trips to Ireland","All trips to Ireland","2016","Thousand","9584.4"
"Overseas Trips to Ireland","All trips to Ireland","2017","Thousand","9932.1"
"Overseas Trips to Ireland","All trips to Ireland","2018","Thousand","10616.3"
"Overseas Trips to Ireland","All trips to Ireland","2019","Thousand","10807.5"
"Overseas Trips to Ireland","USA and Canada","2008","Thousand","1004.6"
"Overseas Trips to Ireland","USA and Canada","2009","Thousand","980.4"
"Overseas Trips to Ireland","USA and Canada","2010","Thousand","935.6"
"Overseas Trips to Ireland","USA and Canada","2011","Thousand","987.1"
"Overseas Trips to Ireland","USA and Canada","2012","Thousand","1016.9"
"Overseas Trips to Ireland","USA and Canada","2013","Thousand","1158.1"
"Overseas Trips to Ireland","USA and Canada","2014","Thousand","1328.6"
"Overseas Trips to Ireland","USA and Canada","2015","Thousand","1514.2"
"Overseas Trips to Ireland","USA and Canada","2016","Thousand","1808"
"Overseas Trips to Ireland","USA and Canada","2017","Thousand","2101.5"
"Overseas Trips to Ireland","USA and Canada","2018","Thousand","2383.8"
"Overseas Trips to Ireland","USA and Canada","2019","Thousand","2412.5"
"Overseas Trips to Ireland","Great Britain","2008","Thousand","3872.4"
"Overseas Trips to Ireland","Great Britain","2009","Thousand","3257"
"Overseas Trips to Ireland","Great Britain","2010","Thousand","2738.5"
"Overseas Trips to Ireland","Great Britain","2011","Thousand","2878.1"
"Overseas Trips to Ireland","Great Britain","2012","Thousand","2774.2"
"Overseas Trips to Ireland","Great Britain","2013","Thousand","2928.9"
"Overseas Trips to Ireland","Great Britain","2014","Thousand","3163.9"
"Overseas Trips to Ireland","Great Britain","2015","Thousand","3546.9"
"Overseas Trips to Ireland","Great Britain","2016","Thousand","3924.1"
"Overseas Trips to Ireland","Great Britain","2017","Thousand","3728.9"
"Overseas Trips to Ireland","Great Britain","2018","Thousand","3759"
"Overseas Trips to Ireland","Great Britain","2019","Thousand","3787.7"
"Overseas Trips to Ireland","Other Europe (27)","2008","Thousand","2610.3"
"Overseas Trips to Ireland","Other Europe (27)","2009","Thousand","2382.3"
"Overseas Trips to Ireland","Other Europe (27)","2010","Thousand","2045.2"
"Overseas Trips to Ireland","Other Europe (27)","2011","Thousand","2283.2"
"Overseas Trips to Ireland","Other Europe (27)","2012","Thousand","2347.4"
"Overseas Trips to Ireland","Other Europe (27)","2013","Thousand","2463"
"Overseas Trips to Ireland","Other Europe (27)","2014","Thousand","2638.1"
"Overseas Trips to Ireland","Other Europe (27)","2015","Thousand","3043.3"
"Overseas Trips to Ireland","Other Europe (27)","2016","Thousand","3302.1"
"Overseas Trips to Ireland","Other Europe (27)","2017","Thousand","3482.4"
"Overseas Trips to Ireland","Other Europe (27)","2018","Thousand","3812.7"
"Overseas Trips to Ireland","Other Europe (27)","2019","Thousand","3910.2"
"Overseas Trips to Ireland","Other Areas  (27)","2008","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2009","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2010","Thousand",""
"Overseas Trips to Ireland","Other Areas  (27)","2011","Thousand","356.7"
"Overseas Trips to Ireland","Other Areas  (27)","2012","Thousand","378.6"
"Overseas Trips to Ireland","Other Areas  (27)","2013","Thousand","435.9"
"Overseas Trips to Ireland","Other Areas  (27)","2014","Thousand","473.8"
"Overseas Trips to Ireland","Other Areas  (27)","2015","Thousand","538.6"
"Overseas Trips to Ireland","Other Areas  (27)","2016","Thousand","550.2"
"Overseas Trips to Ireland","Other Areas  (27)","2017","Thousand","619.3"
"Overseas Trips to Ireland","Other Areas  (27)","2018","Thousand","660.7"
"Overseas Trips to Ireland","Other Areas  (27)","2019","Thousand","697.2"
"Overseas Trips to Ireland","Other Areas (31)","2008","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2009","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2010","Thousand","317.8"
"Overseas Trips to Ireland","Other Areas (31)","2011","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2012","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2013","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2014","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2015","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2016","Thousand",""
