"Statistic Label","Trips","Year","UNIT","VALUE"
"Overseas Trips to and from Ireland","All Trips","2008","Thousand","15716.4"
"Overseas Trips to and from Ireland","All Trips","2009","Thousand","13976.9"
"Overseas Trips to and from Ireland","All Trips","2010","Thousand","12609.1"
"Overseas Trips to and from Ireland","All Trips","2011","Thousand","12798"
"Overseas Trips to and from Ireland","All Trips","2012","Thousand","12842.9"
"Overseas Trips to and from Ireland","All Trips","2013","Thousand","13309"
"Overseas Trips to and from Ireland","All Trips","2014","Thousand","14118.9"
"Overseas Trips to and from Ireland","All Trips","2015","Thousand","15608"
"Overseas Trips to and from Ireland","All Trips","2016","Thousand","16989"
"Overseas Trips to and from Ireland","All Trips","2017","Thousand","17871.1"
"Overseas Trips to and from Ireland","All Trips","2018","Thousand","18892.5"
"Overseas Trips to and from Ireland","All Trips","2019","Thousand","19622"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2008","Thousand","7877.4"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2009","Thousand","7049.3"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2010","Thousand","6572"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2011","Thousand","6292.8"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2012","Thousand","6325.8"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2013","Thousand","6323.1"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2014","Thousand","6514.5"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2015","Thousand","6965"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2016","Thousand","7404.5"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2017","Thousand","7939"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2018","Thousand","8276.2"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2019","Thousand","8814.4"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2008","Thousand","7839"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2009","Thousand","6927.5"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2010","Thousand","6037.1"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2011","Thousand","6505.2"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2012","Thousand","6517.2"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2013","Thousand","6985.9"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2014","Thousand","7604.4"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2015","Thousand","8643"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2016","Thousand","9584.4"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2017","Thousand","9932.1"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2018","Thousand","10616.3"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2019","Thousand","10807.5"
