"Statistic Label","Detailed Area of Residence","Year","UNIT","VALUE"
"Overseas Trips to Ireland","All trips to Ireland","2010","Thousand","6037.1"
"Overseas Trips to Ireland","All trips to Ireland","2011","Thousand","6505.2"
"Overseas Trips to Ireland","All trips to Ireland","2012","Thousand","6517.2"
"Overseas Trips to Ireland","All trips to Ireland","2013","Thousand","6985.9"
"Overseas Trips to Ireland","All trips to Ireland","2014","Thousand","7604.4"
"Overseas Trips to Ireland","All trips to Ireland","2015","Thousand","8643"
"Overseas Trips to Ireland","All trips to Ireland","2016","Thousand","9584.4"
"Overseas Trips to Ireland","All trips to Ireland","2017","Thousand","9932.1"
"Overseas Trips to Ireland","All trips to Ireland","2018","Thousand","10616.3"
"Overseas Trips to Ireland","All trips to Ireland","2019","Thousand","10807.5"
"Overseas Trips to Ireland","Austria","2010","Thousand","42.7"
"Overseas Trips to Ireland","Austria","2011","Thousand","46.2"
"Overseas Trips to Ireland","Austria","2012","Thousand","49"
"Overseas Trips to Ireland","Austria","2013","Thousand","54"
"Overseas Trips to Ireland","Austria","2014","Thousand","59.2"
"Overseas Trips to Ireland","Austria","2015","Thousand","57"
"Overseas Trips to Ireland","Austria","2016","Thousand","62"
"Overseas Trips to Ireland","Austria","2017","Thousand","65"
"Overseas Trips to Ireland","Austria","2018","Thousand","75.1"
"Overseas Trips to Ireland","Austria","2019","Thousand","82.9"
"Overseas Trips to Ireland","Belgium","2010","Thousand","67"
"Overseas Trips to Ireland","Belgium","2011","Thousand","87.1"
"Overseas Trips to Ireland","Belgium","2012","Thousand","86.7"
"Overseas Trips to Ireland","Belgium","2013","Thousand","100.4"
"Overseas Trips to Ireland","Belgium","2014","Thousand","106"
"Overseas Trips to Ireland","Belgium","2015","Thousand","129.4"
"Overseas Trips to Ireland","Belgium","2016","Thousand","135.7"
"Overseas Trips to Ireland","Belgium","2017","Thousand","133.5"
"Overseas Trips to Ireland","Belgium","2018","Thousand","139.9"
"Overseas Trips to Ireland","Belgium","2019","Thousand","131.7"
"Overseas Trips to Ireland","Canada","2010","Thousand","87.2"
"Overseas Trips to Ireland","Canada","2011","Thousand","98.5"
"Overseas Trips to Ireland","Canada","2012","Thousand","112.7"
"Overseas Trips to Ireland","Canada","2013","Thousand","122.5"
"Overseas Trips to Ireland","Canada","2014","Thousand","159.5"
"Overseas Trips to Ireland","Canada","2015","Thousand","190.7"
"Overseas Trips to Ireland","Canada","2016","Thousand","221.6"
"Overseas Trips to Ireland","Canada","2017","Thousand","248.6"
"Overseas Trips to Ireland","Canada","2018","Thousand","268.9"
"Overseas Trips to Ireland","Canada","2019","Thousand","283.7"
"Overseas Trips to Ireland","Switzerland","2010","Thousand","55.4"
"Overseas Trips to Ireland","Switzerland","2011","Thousand","71.4"
"Overseas Trips to Ireland","Switzerland","2012","Thousand","80.9"
"Overseas Trips to Ireland","Switzerland","2013","Thousand","76.7"
"Overseas Trips to Ireland","Switzerland","2014","Thousand","88.9"
"Overseas Trips to Ireland","Switzerland","2015","Thousand","111.4"
"Overseas Trips to Ireland","Switzerland","2016","Thousand","114.6"
"Overseas Trips to Ireland","Switzerland","2017","Thousand","111.9"
"Overseas Trips to Ireland","Switzerland","2018","Thousand","121.7"
"Overseas Trips to Ireland","Switzerland","2019","Thousand","130.3"
"Overseas Trips to Ireland","Germany","2010","Thousand","377.3"
"Overseas Trips to Ireland","Germany","2011","Thousand","422.9"
"Overseas Trips to Ireland","Germany","2012","Thousand","448.2"
"Overseas Trips to Ireland","Germany","2013","Thousand","482.9"
"Overseas Trips to Ireland","Germany","2014","Thousand","557.2"
"Overseas Trips to Ireland","Germany","2015","Thousand","629.3"
"Overseas Trips to Ireland","Germany","2016","Thousand","652.2"
"Overseas Trips to Ireland","Germany","2017","Thousand","681.4"
"Overseas Trips to Ireland","Germany","2018","Thousand","817.8"
"Overseas Trips to Ireland","Germany","2019","Thousand","812.4"
"Overseas Trips to Ireland","Denmark","2010","Thousand","44.4"
"Overseas Trips to Ireland","Denmark","2011","Thousand","48.2"
"Overseas Trips to Ireland","Denmark","2012","Thousand","44.2"
"Overseas Trips to Ireland","Denmark","2013","Thousand","53.2"
"Overseas Trips to Ireland","Denmark","2014","Thousand","59.3"
"Overseas Trips to Ireland","Denmark","2015","Thousand","70.2"
"Overseas Trips to Ireland","Denmark","2016","Thousand","68.3"
"Overseas Trips to Ireland","Denmark","2017","Thousand","75.8"
"Overseas Trips to Ireland","Denmark","2018","Thousand","74.6"
"Overseas Trips to Ireland","Denmark","2019","Thousand","77.2"
"Overseas Trips to Ireland","Spain","2010","Thousand","221.3"
"Overseas Trips to Ireland","Spain","2011","Thousand","244.9"
"Overseas Trips to Ireland","Spain","2012","Thousand","253.1"
"Overseas Trips to Ireland","Spain","2013","Thousand","263"
"Overseas Trips to Ireland","Spain","2014","Thousand","290.9"
"Overseas Trips to Ireland","Spain","2015","Thousand","343.2"
"Overseas Trips to Ireland","Spain","2016","Thousand","394.9"
"Overseas Trips to Ireland","Spain","2017","Thousand","443.2"
"Overseas Trips to Ireland","Spain","2018","Thousand","443.1"
"Overseas Trips to Ireland","Spain","2019","Thousand","443.1"
"Overseas Trips to Ireland","France","2010","Thousand","342.5"
"Overseas Trips to Ireland","France","2011","Thousand","401.5"
"Overseas Trips to Ireland","France","2012","Thousand","396.3"
"Overseas Trips to Ireland","France","2013","Thousand","433.7"
"Overseas Trips to Ireland","France","2014","Thousand","455.7"
"Overseas Trips to Ireland","France","2015","Thousand","504.6"
"Overseas Trips to Ireland","France","2016","Thousand","531.4"
"Overseas Trips to Ireland","France","2017","Thousand","549.3"
"Overseas Trips to Ireland","France","2018","Thousand","564.8"
"Overseas Trips to Ireland","France","2019","Thousand","576.8"
"Overseas Trips to Ireland","Italy","2010","Thousand","221.8"
"Overseas Trips to Ireland","Italy","2011","Thousand","220.1"
"Overseas Trips to Ireland","Italy","2012","Thousand","251.7"
"Overseas Trips to Ireland","Italy","2013","Thousand","234"
"Overseas Trips to Ireland","Italy","2014","Thousand","257.8"
"Overseas Trips to Ireland","Italy","2015","Thousand","321.4"
"Overseas Trips to Ireland","Italy","2016","Thousand","344.4"
"Overseas Trips to Ireland","Italy","2017","Thousand","363.3"
"Overseas Trips to Ireland","Italy","2018","Thousand","409.1"
"Overseas Trips to Ireland","Italy","2019","Thousand","392.3"
"Overseas Trips to Ireland","Netherlands","2010","Thousand","122.7"
"Overseas Trips to Ireland","Netherlands","2011","Thousand","138.5"
"Overseas Trips to Ireland","Netherlands","2012","Thousand","143"
"Overseas Trips to Ireland","Netherlands","2013","Thousand","155"
"Overseas Trips to Ireland","Netherlands","2014","Thousand","158.4"
"Overseas Trips to Ireland","Netherlands","2015","Thousand","183.6"
"Overseas Trips to Ireland","Netherlands","2016","Thousand","235.6"
"Overseas Trips to Ireland","Netherlands","2017","Thousand","246.4"
"Overseas Trips to Ireland","Netherlands","2018","Thousand","247.8"
"Overseas Trips to Ireland","Netherlands","2019","Thousand","248.3"
"Overseas Trips to Ireland","Norway","2010","Thousand","46.5"
"Overseas Trips to Ireland","Norway","2011","Thousand","54.2"
"Overseas Trips to Ireland","Norway","2012","Thousand","51.2"
"Overseas Trips to Ireland","Norway","2013","Thousand","52.7"
"Overseas Trips to Ireland","Norway","2014","Thousand","53.6"
"Overseas Trips to Ireland","Norway","2015","Thousand","62.1"
"Overseas Trips to Ireland","Norway","2016","Thousand","53.3"
"Overseas Trips to Ireland","Norway","2017","Thousand","58.3"
"Overseas Trips to Ireland","Norway","2018","Thousand","57.5"
"Overseas Trips to Ireland","Norway","2019","Thousand","52.3"
"Overseas Trips to Ireland","Poland","2010","Thousand","171.1"
"Overseas Trips to Ireland","Poland","2011","Thousand","170.6"
"Overseas Trips to Ireland","Poland","2012","Thousand","168.9"
"Overseas Trips to Ireland","Poland","2013","Thousand","159.7"
"Overseas Trips to Ireland","Poland","2014","Thousand","149.5"
"Overseas Trips to Ireland","Poland","2015","Thousand","172.2"
"Overseas Trips to Ireland","Poland","2016","Thousand","189.2"
"Overseas Trips to Ireland","Poland","2017","Thousand","181.4"
"Overseas Trips to Ireland","Poland","2018","Thousand","205.4"
