"Trips","Month","Statistic Label","UNIT","VALUE"
"All Trips","2016M01","Overseas Trips to and from Ireland","Thousand","990.1"
"All Trips","2016M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1364.1"
"All Trips","2016M02","Overseas Trips to and from Ireland","Thousand","1001.7"
"All Trips","2016M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1385"
"All Trips","2016M03","Overseas Trips to and from Ireland","Thousand","1270.6"
"All Trips","2016M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1406.1"
"All Trips","2016M04","Overseas Trips to and from Ireland","Thousand","1343.5"
"All Trips","2016M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1379.4"
"All Trips","2016M05","Overseas Trips to and from Ireland","Thousand","1531.6"
"All Trips","2016M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1407.5"
"All Trips","2016M06","Overseas Trips to and from Ireland","Thousand","1699.1"
"All Trips","2016M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1413.7"
"All Trips","2016M07","Overseas Trips to and from Ireland","Thousand","1865.5"
"All Trips","2016M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1410.5"
"All Trips","2016M08","Overseas Trips to and from Ireland","Thousand","1880.9"
"All Trips","2016M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1419.5"
"All Trips","2016M09","Overseas Trips to and from Ireland","Thousand","1568"
"All Trips","2016M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1424.2"
"All Trips","2016M10","Overseas Trips to and from Ireland","Thousand","1488.1"
"All Trips","2016M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1441.7"
"All Trips","2016M11","Overseas Trips to and from Ireland","Thousand","1169.6"
"All Trips","2016M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1448.2"
"All Trips","2016M12","Overseas Trips to and from Ireland","Thousand","1180.2"
"All Trips","2016M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1452.6"
"All Trips","2017M01","Overseas Trips to and from Ireland","Thousand","1072.7"
"All Trips","2017M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1463.4"
"All Trips","2017M02","Overseas Trips to and from Ireland","Thousand","1018.9"
"All Trips","2017M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1454.1"
"All Trips","2017M03","Overseas Trips to and from Ireland","Thousand","1273.2"
"All Trips","2017M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1482.4"
"All Trips","2017M04","Overseas Trips to and from Ireland","Thousand","1510.5"
"All Trips","2017M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1468.8"
"All Trips","2017M05","Overseas Trips to and from Ireland","Thousand","1582.9"
"All Trips","2017M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1465.1"
"All Trips","2017M06","Overseas Trips to and from Ireland","Thousand","1795.1"
"All Trips","2017M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1488.5"
"All Trips","2017M07","Overseas Trips to and from Ireland","Thousand","1957.2"
"All Trips","2017M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1495.1"
"All Trips","2017M08","Overseas Trips to and from Ireland","Thousand","1974.1"
"All Trips","2017M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1499.3"
"All Trips","2017M09","Overseas Trips to and from Ireland","Thousand","1659.4"
"All Trips","2017M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1505.4"
"All Trips","2017M10","Overseas Trips to and from Ireland","Thousand","1545"
"All Trips","2017M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1494.4"
"All Trips","2017M11","Overseas Trips to and from Ireland","Thousand","1241.5"
"All Trips","2017M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1527.4"
"All Trips","2017M12","Overseas Trips to and from Ireland","Thousand","1240.7"
"All Trips","2017M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1521.8"
"All Trips","2018M01","Overseas Trips to and from Ireland","Thousand","1133.5"
"All Trips","2018M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1546.5"
"All Trips","2018M02","Overseas Trips to and from Ireland","Thousand","1067.8"
"All Trips","2018M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1523.5"
"All Trips","2018M03","Overseas Trips to and from Ireland","Thousand","1318.5"
"All Trips","2018M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1448.2"
"All Trips","2018M04","Overseas Trips to and from Ireland","Thousand","1558.2"
"All Trips","2018M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1588.2"
"All Trips","2018M05","Overseas Trips to and from Ireland","Thousand","1736.9"
"All Trips","2018M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1609.2"
"All Trips","2018M06","Overseas Trips to and from Ireland","Thousand","1904.9"
"All Trips","2018M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1595.5"
"All Trips","2018M07","Overseas Trips to and from Ireland","Thousand","2065.9"
"All Trips","2018M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1593.1"
"All Trips","2018M08","Overseas Trips to and from Ireland","Thousand","2072.5"
"All Trips","2018M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1584.1"
"All Trips","2018M09","Overseas Trips to and from Ireland","Thousand","1763.4"
"All Trips","2018M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1598.1"
"All Trips","2018M10","Overseas Trips to and from Ireland","Thousand","1649.8"
"All Trips","2018M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1608.3"
"All Trips","2018M11","Overseas Trips to and from Ireland","Thousand","1309.9"
"All Trips","2018M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1596.4"
"All Trips","2018M12","Overseas Trips to and from Ireland","Thousand","1311.1"
"All Trips","2018M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1603.9"
"All Trips","2019M01","Overseas Trips to and from Ireland","Thousand","1188.2"
"All Trips","2019M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1607.4"
"All Trips","2019M02","Overseas Trips to and from Ireland","Thousand","1147"
"All Trips","2019M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1618"
"All Trips","2019M03","Overseas Trips to and from Ireland","Thousand","1418.6"
"All Trips","2019M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1623.3"
"All Trips","2019M04","Overseas Trips to and from Ireland","Thousand","1683.3"
"All Trips","2019M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1636.3"
"All Trips","2019M05","Overseas Trips to and from Ireland","Thousand","1787.6"
"All Trips","2019M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1650.9"
"All Trips","2019M06","Overseas Trips to and from Ireland","Thousand","1954.4"
"All Trips","2019M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1644"
"All Trips","2019M07","Overseas Trips to and from Ireland","Thousand","2124"
"All Trips","2019M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1654.3"
"All Trips","2019M08","Overseas Trips to and from Ireland","Thousand","2164.2"
"All Trips","2019M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1660.1"
"All Trips","2019M09","Overseas Trips to and from Ireland","Thousand","1820.2"
"All Trips","2019M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1651.1"
"All Trips","2019M10","Overseas Trips to and from Ireland","Thousand","1689.8"
"All Trips","2019M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1642.3"
"All Trips","2019M11","Overseas Trips to and from Ireland","Thousand","1300.9"
"All Trips","2019M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1598.6"
"All Trips","2019M12","Overseas Trips to and from Ireland","Thousand","1343.7"
"All Trips","2019M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1636.5"
"All Trips","2020M01","Overseas Trips to and from Ireland","Thousand","1203"
"All Trips","2020M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1626"
"All Trips","2020M02","Overseas Trips to and from Ireland","Thousand","1174.2"
"All Trips","2020M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","1622.5"
"Overseas Trips by Irish Residents","2016M01","Overseas Trips to and from Ireland","Thousand","469.1"
"Overseas Trips by Irish Residents","2016M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","601.8"
"Overseas Trips by Irish Residents","2016M02","Overseas Trips to and from Ireland","Thousand","440.7"
"Overseas Trips by Irish Residents","2016M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","604.1"
"Overseas Trips by Irish Residents","2016M03","Overseas Trips to and from Ireland","Thousand","567.9"
"Overseas Trips by Irish Residents","2016M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","621.5"
"Overseas Trips by Irish Residents","2016M04","Overseas Trips to and from Ireland","Thousand","544.7"
"Overseas Trips by Irish Residents","2016M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","582.1"
"Overseas Trips by Irish Residents","2016M05","Overseas Trips to and from Ireland","Thousand","650.3"
"Overseas Trips by Irish Residents","2016M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","623.6"
"Overseas Trips by Irish Residents","2016M06","Overseas Trips to and from Ireland","Thousand","780.3"
"Overseas Trips by Irish Residents","2016M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","623.8"
"Overseas Trips by Irish Residents","2016M07","Overseas Trips to and from Ireland","Thousand","822.2"
"Overseas Trips by Irish Residents","2016M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","592.9"
"Overseas Trips by Irish Residents","2016M08","Overseas Trips to and from Ireland","Thousand","755.1"
"Overseas Trips by Irish Residents","2016M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","586.7"
"Overseas Trips by Irish Residents","2016M09","Overseas Trips to and from Ireland","Thousand","675.6"
"Overseas Trips by Irish Residents","2016M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","628.1"
