"Statistic Label","Trips","Quarter","UNIT","VALUE"
"Overseas Trips to and from Ireland","All Trips","2008Q1","Thousand","3304.7"
"Overseas Trips to and from Ireland","All Trips","2008Q2","Thousand","4210.2"
"Overseas Trips to and from Ireland","All Trips","2008Q3","Thousand","4900.7"
"Overseas Trips to and from Ireland","All Trips","2008Q4","Thousand","3300.8"
"Overseas Trips to and from Ireland","All Trips","2009Q1","Thousand","2941.9"
"Overseas Trips to and from Ireland","All Trips","2009Q2","Thousand","3801.5"
"Overseas Trips to and from Ireland","All Trips","2009Q3","Thousand","4314.4"
"Overseas Trips to and from Ireland","All Trips","2009Q4","Thousand","2918.9"
"Overseas Trips to and from Ireland","All Trips","2010Q1","Thousand","2523.9"
"Overseas Trips to and from Ireland","All Trips","2010Q2","Thousand","3214.5"
"Overseas Trips to and from Ireland","All Trips","2010Q3","Thousand","4133.8"
"Overseas Trips to and from Ireland","All Trips","2010Q4","Thousand","2736.8"
"Overseas Trips to and from Ireland","All Trips","2011Q1","Thousand","2445.2"
"Overseas Trips to and from Ireland","All Trips","2011Q2","Thousand","3558"
"Overseas Trips to and from Ireland","All Trips","2011Q3","Thousand","4114.1"
"Overseas Trips to and from Ireland","All Trips","2011Q4","Thousand","2680.7"
"Overseas Trips to and from Ireland","All Trips","2012Q1","Thousand","2399.9"
"Overseas Trips to and from Ireland","All Trips","2012Q2","Thousand","3544.7"
"Overseas Trips to and from Ireland","All Trips","2012Q3","Thousand","4099.9"
"Overseas Trips to and from Ireland","All Trips","2012Q4","Thousand","2798.4"
"Overseas Trips to and from Ireland","All Trips","2013Q1","Thousand","2460.6"
"Overseas Trips to and from Ireland","All Trips","2013Q2","Thousand","3645.4"
"Overseas Trips to and from Ireland","All Trips","2013Q3","Thousand","4293.5"
"Overseas Trips to and from Ireland","All Trips","2013Q4","Thousand","2909.4"
"Overseas Trips to and from Ireland","All Trips","2014Q1","Thousand","2496.1"
"Overseas Trips to and from Ireland","All Trips","2014Q2","Thousand","3917.4"
"Overseas Trips to and from Ireland","All Trips","2014Q3","Thousand","4552"
"Overseas Trips to and from Ireland","All Trips","2014Q4","Thousand","3153.4"
"Overseas Trips to and from Ireland","All Trips","2015Q1","Thousand","2837.4"
"Overseas Trips to and from Ireland","All Trips","2015Q2","Thousand","4272.5"
"Overseas Trips to and from Ireland","All Trips","2015Q3","Thousand","4957.4"
"Overseas Trips to and from Ireland","All Trips","2015Q4","Thousand","3540.8"
"Overseas Trips to and from Ireland","All Trips","2016Q1","Thousand","3262.4"
"Overseas Trips to and from Ireland","All Trips","2016Q2","Thousand","4574.2"
"Overseas Trips to and from Ireland","All Trips","2016Q3","Thousand","5314.4"
"Overseas Trips to and from Ireland","All Trips","2016Q4","Thousand","3837.9"
"Overseas Trips to and from Ireland","All Trips","2017Q1","Thousand","3364.8"
"Overseas Trips to and from Ireland","All Trips","2017Q2","Thousand","4888.4"
"Overseas Trips to and from Ireland","All Trips","2017Q3","Thousand","5590.6"
"Overseas Trips to and from Ireland","All Trips","2017Q4","Thousand","4027.2"
"Overseas Trips to and from Ireland","All Trips","2018Q1","Thousand","3519.8"
"Overseas Trips to and from Ireland","All Trips","2018Q2","Thousand","5200"
"Overseas Trips to and from Ireland","All Trips","2018Q3","Thousand","5901.8"
"Overseas Trips to and from Ireland","All Trips","2018Q4","Thousand","4270.8"
"Overseas Trips to and from Ireland","All Trips","2019Q1","Thousand","3753.9"
"Overseas Trips to and from Ireland","All Trips","2019Q2","Thousand","5425.4"
"Overseas Trips to and from Ireland","All Trips","2019Q3","Thousand","6108.4"
"Overseas Trips to and from Ireland","All Trips","2019Q4","Thousand","4334.4"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2008Q1","Thousand","1762.5"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2008Q2","Thousand","2050.8"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2008Q3","Thousand","2428.3"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2008Q4","Thousand","1635.8"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2009Q1","Thousand","1539.8"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2009Q2","Thousand","1899.6"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2009Q3","Thousand","2137.1"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2009Q4","Thousand","1472.9"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2010Q1","Thousand","1439.2"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2010Q2","Thousand","1673.1"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2010Q3","Thousand","2137.2"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2010Q4","Thousand","1322.5"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2011Q1","Thousand","1266.4"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2011Q2","Thousand","1753"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2011Q3","Thousand","1962.4"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2011Q4","Thousand","1311"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2012Q1","Thousand","1234.8"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2012Q2","Thousand","1727.5"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2012Q3","Thousand","2003.2"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2012Q4","Thousand","1360.4"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2013Q1","Thousand","1208.9"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2013Q2","Thousand","1752.4"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2013Q3","Thousand","2032.6"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2013Q4","Thousand","1329.3"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2014Q1","Thousand","1153.5"
"Overseas Trips to and from Ireland","Overseas Trips by Irish Residents","2014Q2","Thousand","1790.8"
