"Statistic Label","Detailed Area of Residence","Quarter","UNIT","VALUE"
"Overseas Trips to Ireland","All trips to Ireland","2010Q1","Thousand","1084.8"
"Overseas Trips to Ireland","All trips to Ireland","2010Q2","Thousand","1541.4"
"Overseas Trips to Ireland","All trips to Ireland","2010Q3","Thousand","1996.6"
"Overseas Trips to Ireland","All trips to Ireland","2010Q4","Thousand","1414.3"
"Overseas Trips to Ireland","All trips to Ireland","2011Q1","Thousand","1178.8"
"Overseas Trips to Ireland","All trips to Ireland","2011Q2","Thousand","1805"
"Overseas Trips to Ireland","All trips to Ireland","2011Q3","Thousand","2151.7"
"Overseas Trips to Ireland","All trips to Ireland","2011Q4","Thousand","1369.7"
"Overseas Trips to Ireland","All trips to Ireland","2012Q1","Thousand","1165.1"
"Overseas Trips to Ireland","All trips to Ireland","2012Q2","Thousand","1817.3"
"Overseas Trips to Ireland","All trips to Ireland","2012Q3","Thousand","2096.7"
"Overseas Trips to Ireland","All trips to Ireland","2012Q4","Thousand","1438"
"Overseas Trips to Ireland","All trips to Ireland","2013Q1","Thousand","1251.7"
"Overseas Trips to Ireland","All trips to Ireland","2013Q2","Thousand","1893"
"Overseas Trips to Ireland","All trips to Ireland","2013Q3","Thousand","2261"
"Overseas Trips to Ireland","All trips to Ireland","2013Q4","Thousand","1580.1"
"Overseas Trips to Ireland","All trips to Ireland","2014Q1","Thousand","1342.5"
"Overseas Trips to Ireland","All trips to Ireland","2014Q2","Thousand","2126.6"
"Overseas Trips to Ireland","All trips to Ireland","2014Q3","Thousand","2440.4"
"Overseas Trips to Ireland","All trips to Ireland","2014Q4","Thousand","1694.9"
"Overseas Trips to Ireland","All trips to Ireland","2015Q1","Thousand","1531.3"
"Overseas Trips to Ireland","All trips to Ireland","2015Q2","Thousand","2344.9"
"Overseas Trips to Ireland","All trips to Ireland","2015Q3","Thousand","2770.9"
"Overseas Trips to Ireland","All trips to Ireland","2015Q4","Thousand","1995.9"
"Overseas Trips to Ireland","All trips to Ireland","2016Q1","Thousand","1784.7"
"Overseas Trips to Ireland","All trips to Ireland","2016Q2","Thousand","2598.9"
"Overseas Trips to Ireland","All trips to Ireland","2016Q3","Thousand","3061.5"
"Overseas Trips to Ireland","All trips to Ireland","2016Q4","Thousand","2139.2"
"Overseas Trips to Ireland","All trips to Ireland","2017Q1","Thousand","1796.1"
"Overseas Trips to Ireland","All trips to Ireland","2017Q2","Thousand","2769.4"
"Overseas Trips to Ireland","All trips to Ireland","2017Q3","Thousand","3095.6"
"Overseas Trips to Ireland","All trips to Ireland","2017Q4","Thousand","2270.9"
"Overseas Trips to Ireland","All trips to Ireland","2018Q1","Thousand","1920.7"
"Overseas Trips to Ireland","All trips to Ireland","2018Q2","Thousand","2951.9"
"Overseas Trips to Ireland","All trips to Ireland","2018Q3","Thousand","3330.9"
"Overseas Trips to Ireland","All trips to Ireland","2018Q4","Thousand","2412.8"
"Overseas Trips to Ireland","All trips to Ireland","2019Q1","Thousand","2026.7"
"Overseas Trips to Ireland","All trips to Ireland","2019Q2","Thousand","3021.8"
"Overseas Trips to Ireland","All trips to Ireland","2019Q3","Thousand","3334.4"
"Overseas Trips to Ireland","All trips to Ireland","2019Q4","Thousand","2424.6"
"Overseas Trips to Ireland","Germany","2010Q1","Thousand","58.4"
"Overseas Trips to Ireland","Germany","2010Q2","Thousand","104.9"
"Overseas Trips to Ireland","Germany","2010Q3","Thousand","135.5"
"Overseas Trips to Ireland","Germany","2010Q4","Thousand","78.5"
"Overseas Trips to Ireland","Germany","2011Q1","Thousand","66.3"
"Overseas Trips to Ireland","Germany","2011Q2","Thousand","123.1"
"Overseas Trips to Ireland","Germany","2011Q3","Thousand","143"
"Overseas Trips to Ireland","Germany","2011Q4","Thousand","90.6"
"Overseas Trips to Ireland","Germany","2012Q1","Thousand","65.9"
"Overseas Trips to Ireland","Germany","2012Q2","Thousand","134.1"
"Overseas Trips to Ireland","Germany","2012Q3","Thousand","155.1"
"Overseas Trips to Ireland","Germany","2012Q4","Thousand","93.1"
"Overseas Trips to Ireland","Germany","2013Q1","Thousand","72.8"
"Overseas Trips to Ireland","Germany","2013Q2","Thousand","141"
"Overseas Trips to Ireland","Germany","2013Q3","Thousand","165.7"
"Overseas Trips to Ireland","Germany","2013Q4","Thousand","103.4"
"Overseas Trips to Ireland","Germany","2014Q1","Thousand","82.6"
"Overseas Trips to Ireland","Germany","2014Q2","Thousand","170.6"
"Overseas Trips to Ireland","Germany","2014Q3","Thousand","188.8"
"Overseas Trips to Ireland","Germany","2014Q4","Thousand","115.2"
"Overseas Trips to Ireland","Germany","2015Q1","Thousand","86.3"
"Overseas Trips to Ireland","Germany","2015Q2","Thousand","196.1"
"Overseas Trips to Ireland","Germany","2015Q3","Thousand","213.8"
"Overseas Trips to Ireland","Germany","2015Q4","Thousand","133.1"
"Overseas Trips to Ireland","Germany","2016Q1","Thousand","104.2"
"Overseas Trips to Ireland","Germany","2016Q2","Thousand","192.3"
"Overseas Trips to Ireland","Germany","2016Q3","Thousand","223"
