"STATISTIC Label","Month","Direction","Type of Passenger Movement","UNIT","VALUE"
"Passenger Movement","1961M01","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","20102"
"Passenger Movement","1961M01","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","19963"
"Passenger Movement","1961M01","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","139"
"Passenger Movement","1961M01","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","10344"
"Passenger Movement","1961M01","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","40063"
"Passenger Movement","1961M01","Arriving in Eire","Passenger Movement by Air from All Airports","Number","18098"
"Passenger Movement","1961M01","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","16762"
"Passenger Movement","1961M01","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","1336"
"Passenger Movement","1961M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","747"
"Passenger Movement","1961M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","589"
"Passenger Movement","1961M01","Departing Eire","Passenger Movement by Sea to All Countries","Number","44076"
"Passenger Movement","1961M01","Departing Eire","Passenger Movement by Sea to Great Britain","Number","43860"
"Passenger Movement","1961M01","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","216"
"Passenger Movement","1961M01","Departing Eire","Passenger Movement Cross-Border Rail","Number","9967"
"Passenger Movement","1961M01","Departing Eire","Passenger Movement Cross-Border Bus","Number","40137"
"Passenger Movement","1961M01","Departing Eire","Passenger Movement by Air from All Airports","Number","27496"
"Passenger Movement","1961M01","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","24166"
"Passenger Movement","1961M01","Departing Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M01","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","3330"
"Passenger Movement","1961M01","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","779"
"Passenger Movement","1961M01","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2551"
"Passenger Movement","1961M02","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","19157"
"Passenger Movement","1961M02","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","19079"
