"Statistic Label","Visitor Detail","Year","UNIT","VALUE"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1985","Thousand","1912"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1986","Thousand","1813"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1987","Thousand","2039"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1988","Thousand","2345"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1989","Thousand","2732"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1990","Thousand","3069"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1991","Thousand","2997"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1992","Thousand","3128"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1993","Thousand","3333"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1994","Thousand","3681"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1995","Thousand","4256"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1996","Thousand","4739"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1997","Thousand","5164"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1998","Thousand","5716"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","1999","Thousand","6068"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2000","Thousand","6310"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2001","Thousand","5990"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2002","Thousand","6065"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2003","Thousand","6369"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2004","Thousand","6574"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2005","Thousand","6977"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2006","Thousand","7709"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2007","Thousand","8012"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2008","Thousand","7839"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2009","Thousand","6928"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2010","Thousand","6037"
"Overseas Visits to and from Ireland","Number of Overseas Visitors to Ireland","2011","Thousand","6505"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1985","Thousand","1258"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1986","Thousand","1375"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1987","Thousand","1567"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1988","Thousand","1747"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1989","Thousand","1813"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1990","Thousand","1798"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1991","Thousand","1762"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1992","Thousand","1966"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1993","Thousand","2056"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1994","Thousand","2368"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1995","Thousand","2547"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1996","Thousand","2733"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1997","Thousand","3053"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1998","Thousand","3330"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","1999","Thousand","3576"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2000","Thousand","3783"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2001","Thousand","4216"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2002","Thousand","4634"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2003","Thousand","4929"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2004","Thousand","5409"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2005","Thousand","6113"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2006","Thousand","6848"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2007","Thousand","7713"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2008","Thousand","7877"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2009","Thousand","7049"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2010","Thousand","6572"
"Overseas Visits to and from Ireland","Number of Visits Abroad by Irish Residents","2011","Thousand","6293"
