"Statistic Label","Type of Expenditure","Year","UNIT","VALUE"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2009","Euro Million","3410"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2010","Euro Million","2976"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2011","Euro Million","2899"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2012","Euro Million","2916"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2013","Euro Million","3262"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2014","Euro Million","3548"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2015","Euro Million","4208"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2016","Euro Million","4577"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2017","Euro Million","4874"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2018","Euro Million","5149"
"Estimated Expenditure by Overseas Travellers to Ireland","Expenditure by overseas travellers in Ireland (excluding fares)","2019","Euro Million","5101"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2009","Euro Million","524"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2010","Euro Million","580"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2011","Euro Million","776"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2012","Euro Million","856"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2013","Euro Million","976"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2014","Euro Million","1166"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2015","Euro Million","1322"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2016","Euro Million","1487"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2017","Euro Million","1611"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2018","Euro Million","1725"
"Estimated Expenditure by Overseas Travellers to Ireland","Fare receipts of Irish carriers from overseas travellers to Ireland","2019","Euro Million","1766"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2009","Euro Million","3934"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2010","Euro Million","3556"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2011","Euro Million","3675"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2012","Euro Million","3771"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2013","Euro Million","4238"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2014","Euro Million","4714"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2015","Euro Million","5530"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2016","Euro Million","6064"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2017","Euro Million","6485"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2018","Euro Million","6874"
"Estimated Expenditure by Overseas Travellers to Ireland","Overseas tourism and travel earnings from trips to Ireland","2019","Euro Million","6867"
