"STATISTIC","Statistic Label","C02149V02592","Type of Expenditure","TLIST(A1)","Year","UNIT","VALUE"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","2009","2009","Euro Million","3410"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","2010","2010","Euro Million","2976"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","2011","2011","Euro Million","2899"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","2012","2012","Euro Million","2916"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","2013","2013","Euro Million","3262"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","2014","2014","Euro Million","3548"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","2015","2015","Euro Million","4208"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","2016","2016","Euro Million","4577"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","2017","2017","Euro Million","4874"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","2018","2018","Euro Million","5149"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","2019","2019","Euro Million","5101"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","2009","2009","Euro Million","524"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","2010","2010","Euro Million","580"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","2011","2011","Euro Million","776"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","2012","2012","Euro Million","856"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","2013","2013","Euro Million","976"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","2014","2014","Euro Million","1166"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","2015","2015","Euro Million","1322"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","2016","2016","Euro Million","1487"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","2017","2017","Euro Million","1611"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","2018","2018","Euro Million","1725"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","2019","2019","Euro Million","1766"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","2009","2009","Euro Million","3934"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","2010","2010","Euro Million","3556"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","2011","2011","Euro Million","3675"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","2012","2012","Euro Million","3771"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","2013","2013","Euro Million","4238"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","2014","2014","Euro Million","4714"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","2015","2015","Euro Million","5530"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","2016","2016","Euro Million","6064"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","2017","2017","Euro Million","6485"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","2018","2018","Euro Million","6874"
"TMA10","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","2019","2019","Euro Million","6867"
