"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","C02118V02559","Reason for Journey","TLIST(A1)","Year","UNIT","VALUE"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","2009","2009","Thousand","52823"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","2010","2010","Thousand","47971"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","2011","2011","Thousand","50323"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","2012","2012","Thousand","47942"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","2013","2013","Thousand","50985"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","2014","2014","Thousand","54877"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","2015","2015","Thousand","61228"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","2016","2016","Thousand","66399"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","2017","2017","Thousand","68652"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","2018","2018","Thousand","70886"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","2019","2019","Thousand","70418"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","2009","2009","Thousand","19892"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","2010","2010","Thousand","18304"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","2011","2011","Thousand","18899"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","2012","2012","Thousand","18682"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","2013","2013","Thousand","20304"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","2014","2014","Thousand","21779"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","2015","2015","Thousand","25970"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","2016","2016","Thousand","28230"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","2017","2017","Thousand","30118"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","2018","2018","Thousand","32839"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","2019","2019","Thousand","31892"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","2009","2009","Thousand","19452"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","2010","2010","Thousand","15816"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","2011","2011","Thousand","14851"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","2012","2012","Thousand","13308"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","2013","2013","Thousand","14624"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","2014","2014","Thousand","16437"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","2015","2015","Thousand","16837"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","2016","2016","Thousand","18343"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","2017","2017","Thousand","18355"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","2018","2018","Thousand","18747"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","2","Visit to friends/relatives","2019","2019","Thousand","19020"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2009","2009","Thousand","5561"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2010","2010","Thousand","5646"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2011","2011","Thousand","5548"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2012","2012","Thousand","5853"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2013","2013","Thousand","6708"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2014","2014","Thousand","7143"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2015","2015","Thousand","7644"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2016","2016","Thousand","8764"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2017","2017","Thousand","9078"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2018","2018","Thousand","8840"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","2019","2019","Thousand","8793"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2009","2009","Thousand","7918"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2010","2010","Thousand","8204"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2011","2011","Thousand","11024"
"TMA17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","4","Other reason for journey","2012","2012","Thousand","10100"
