"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","AREARES","Area of Residence","TLIST(A1)","Year","UNIT","VALUE"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","2009","2009","Thousand","52823"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","2010","2010","Thousand","47971"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","2011","2011","Thousand","50323"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","2012","2012","Thousand","47942"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","2013","2013","Thousand","50985"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","2014","2014","Thousand","54877"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","2015","2015","Thousand","61228"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","2016","2016","Thousand","66399"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","2017","2017","Thousand","68652"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","2018","2018","Thousand","70886"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All areas of residence","2019","2019","Thousand","70418"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","2009","2009","Thousand","15595"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","2010","2010","Thousand","13901"
"TMA18","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","01","Great Britain","2011","2011","Thousand","13846"
