"C02118V02559","Reason for Journey","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All reasons for journey","2009","2009","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","6470"
"-","All reasons for journey","2009","2009","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","437"
"-","All reasons for journey","2010","2010","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","5700"
"-","All reasons for journey","2010","2010","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","439"
"-","All reasons for journey","2011","2011","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","6023"
"-","All reasons for journey","2011","2011","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","482"
"-","All reasons for journey","2012","2012","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","6039"
"-","All reasons for journey","2012","2012","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","478"
"-","All reasons for journey","2013","2013","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","6396"
"-","All reasons for journey","2013","2013","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","590"
"-","All reasons for journey","2014","2014","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","6828"
"-","All reasons for journey","2014","2014","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","776"
"-","All reasons for journey","2015","2015","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","7749"
"-","All reasons for journey","2015","2015","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","894"
"-","All reasons for journey","2016","2016","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","8428"
"-","All reasons for journey","2016","2016","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","1157"
"-","All reasons for journey","2017","2017","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","8726"
"-","All reasons for journey","2017","2017","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","1206"
"-","All reasons for journey","2018","2018","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","9276"
"-","All reasons for journey","2018","2018","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","1341"
"-","All reasons for journey","2019","2019","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","9357"
"-","All reasons for journey","2019","2019","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","1450"
"1","Holiday/leisure/recreation","2009","2009","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2720"
"1","Holiday/leisure/recreation","2009","2009","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","96"
"1","Holiday/leisure/recreation","2010","2010","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2460"
"1","Holiday/leisure/recreation","2010","2010","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","59"
"1","Holiday/leisure/recreation","2011","2011","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2673"
"1","Holiday/leisure/recreation","2011","2011","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","55"
"1","Holiday/leisure/recreation","2012","2012","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2775"
"1","Holiday/leisure/recreation","2012","2012","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","57"
"1","Holiday/leisure/recreation","2013","2013","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","3011"
"1","Holiday/leisure/recreation","2013","2013","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"1","Holiday/leisure/recreation","2014","2014","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","3261"
"1","Holiday/leisure/recreation","2014","2014","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","64"
"1","Holiday/leisure/recreation","2015","2015","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","3908"
"1","Holiday/leisure/recreation","2015","2015","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","93"
"1","Holiday/leisure/recreation","2016","2016","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","4251"
"1","Holiday/leisure/recreation","2016","2016","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","137"
"1","Holiday/leisure/recreation","2017","2017","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","4573"
"1","Holiday/leisure/recreation","2017","2017","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","137"
"1","Holiday/leisure/recreation","2018","2018","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","5087"
"1","Holiday/leisure/recreation","2018","2018","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","149"
"1","Holiday/leisure/recreation","2019","2019","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","5068"
"1","Holiday/leisure/recreation","2019","2019","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","148"
"2","Visit to friends/relatives","2009","2009","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2437"
"2","Visit to friends/relatives","2009","2009","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","76"
"2","Visit to friends/relatives","2010","2010","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1938"
"2","Visit to friends/relatives","2010","2010","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","54"
"2","Visit to friends/relatives","2011","2011","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1907"
"2","Visit to friends/relatives","2011","2011","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","66"
"2","Visit to friends/relatives","2012","2012","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1759"
"2","Visit to friends/relatives","2012","2012","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","60"
"2","Visit to friends/relatives","2013","2013","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","1967"
"2","Visit to friends/relatives","2013","2013","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","48"
"2","Visit to friends/relatives","2014","2014","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2162"
"2","Visit to friends/relatives","2014","2014","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","47"
"2","Visit to friends/relatives","2015","2015","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2238"
"2","Visit to friends/relatives","2015","2015","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","59"
"2","Visit to friends/relatives","2016","2016","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2476"
"2","Visit to friends/relatives","2016","2016","TMA19C2","Same-Day Trips, No Overnight in Ireland","Thousand","78"
"2","Visit to friends/relatives","2017","2017","TMA19C1","Trips with at Least One Overnight in Ireland","Thousand","2487"
