"STATISTIC","Statistic Label","C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(A1)","Year","UNIT","VALUE"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","-","All reasons for journey","2009","2009","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","-","All reasons for journey","2010","2010","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","-","All reasons for journey","2011","2011","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","-","All reasons for journey","2012","2012","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","-","All reasons for journey","2013","2013","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","-","All reasons for journey","2014","2014","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","-","All reasons for journey","2015","2015","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","-","All reasons for journey","2016","2016","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","-","All reasons for journey","2017","2017","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","-","All reasons for journey","2018","2018","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","-","All reasons for journey","2019","2019","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","2009","2009","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","2010","2010","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","2011","2011","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","2012","2012","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","2013","2013","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","2014","2014","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","2015","2015","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","2016","2016","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","2017","2017","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","2018","2018","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","1","Holiday/leisure/recreation","2019","2019","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","2009","2009","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","2010","2010","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","2011","2011","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","2012","2012","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","2013","2013","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","2014","2014","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","2015","2015","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","2016","2016","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","2017","2017","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","2018","2018","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","2","Visit to friends/relatives","2019","2019","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","2009","2009","%","100"
"TMA21","Overseas Same-Day Trips to Ireland by Non-Residents","-","All Countries","3","Business","2010","2010","%","100"
