"C02173V04143","Area of Residence","TLIST(M1)","Month","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All trips to Ireland","201601","2016M01","TMM02C01","Overseas Trips to Ireland","Thousand","521"
"-","All trips to Ireland","201601","2016M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","759.5"
"-","All trips to Ireland","201602","2016M02","TMM02C01","Overseas Trips to Ireland","Thousand","561"
"-","All trips to Ireland","201602","2016M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","785.4"
"-","All trips to Ireland","201603","2016M03","TMM02C01","Overseas Trips to Ireland","Thousand","702.7"
"-","All trips to Ireland","201603","2016M03","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","777.6"
"-","All trips to Ireland","201604","2016M04","TMM02C01","Overseas Trips to Ireland","Thousand","798.8"
"-","All trips to Ireland","201604","2016M04","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","798.6"
"-","All trips to Ireland","201605","2016M05","TMM02C01","Overseas Trips to Ireland","Thousand","881.3"
"-","All trips to Ireland","201605","2016M05","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","768.4"
"-","All trips to Ireland","201606","2016M06","TMM02C01","Overseas Trips to Ireland","Thousand","918.8"
"-","All trips to Ireland","201606","2016M06","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","800.7"
"-","All trips to Ireland","201607","2016M07","TMM02C01","Overseas Trips to Ireland","Thousand","1043.3"
"-","All trips to Ireland","201607","2016M07","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","817.1"
"-","All trips to Ireland","201608","2016M08","TMM02C01","Overseas Trips to Ireland","Thousand","1125.9"
"-","All trips to Ireland","201608","2016M08","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","825.3"
"-","All trips to Ireland","201609","2016M09","TMM02C01","Overseas Trips to Ireland","Thousand","892.4"
"-","All trips to Ireland","201609","2016M09","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","805.7"
"-","All trips to Ireland","201610","2016M10","TMM02C01","Overseas Trips to Ireland","Thousand","832.3"
"-","All trips to Ireland","201610","2016M10","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","805.2"
"-","All trips to Ireland","201611","2016M11","TMM02C01","Overseas Trips to Ireland","Thousand","642.2"
"-","All trips to Ireland","201611","2016M11","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","795.6"
"-","All trips to Ireland","201612","2016M12","TMM02C01","Overseas Trips to Ireland","Thousand","664.8"
"-","All trips to Ireland","201612","2016M12","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","807.8"
"-","All trips to Ireland","201701","2017M01","TMM02C01","Overseas Trips to Ireland","Thousand","564.1"
"-","All trips to Ireland","201701","2017M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","810.5"
"-","All trips to Ireland","201702","2017M02","TMM02C01","Overseas Trips to Ireland","Thousand","512"
"-","All trips to Ireland","201702","2017M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","792.4"
"-","All trips to Ireland","201703","2017M03","TMM02C01","Overseas Trips to Ireland","Thousand","720"
"-","All trips to Ireland","201703","2017M03","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","815.3"
"-","All trips to Ireland","201704","2017M04","TMM02C01","Overseas Trips to Ireland","Thousand","833.3"
"-","All trips to Ireland","201704","2017M04","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","813.1"
"-","All trips to Ireland","201705","2017M05","TMM02C01","Overseas Trips to Ireland","Thousand","943.4"
"-","All trips to Ireland","201705","2017M05","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","825"
"-","All trips to Ireland","201706","2017M06","TMM02C01","Overseas Trips to Ireland","Thousand","992.7"
"-","All trips to Ireland","201706","2017M06","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","854.8"
"-","All trips to Ireland","201707","2017M07","TMM02C01","Overseas Trips to Ireland","Thousand","1031.5"
"-","All trips to Ireland","201707","2017M07","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","802.8"
"-","All trips to Ireland","201708","2017M08","TMM02C01","Overseas Trips to Ireland","Thousand","1117.6"
"-","All trips to Ireland","201708","2017M08","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","819"
"-","All trips to Ireland","201709","2017M09","TMM02C01","Overseas Trips to Ireland","Thousand","946.6"
"-","All trips to Ireland","201709","2017M09","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","864.9"
"-","All trips to Ireland","201710","2017M10","TMM02C01","Overseas Trips to Ireland","Thousand","870.3"
"-","All trips to Ireland","201710","2017M10","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","831.6"
"-","All trips to Ireland","201711","2017M11","TMM02C01","Overseas Trips to Ireland","Thousand","718.2"
"-","All trips to Ireland","201711","2017M11","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","876.5"
"-","All trips to Ireland","201712","2017M12","TMM02C01","Overseas Trips to Ireland","Thousand","682.4"
"-","All trips to Ireland","201712","2017M12","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","829.3"
"-","All trips to Ireland","201801","2018M01","TMM02C01","Overseas Trips to Ireland","Thousand","585.5"
"-","All trips to Ireland","201801","2018M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","840.3"
"-","All trips to Ireland","201802","2018M02","TMM02C01","Overseas Trips to Ireland","Thousand","575.3"
"-","All trips to Ireland","201802","2018M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","869.2"
"-","All trips to Ireland","201803","2018M03","TMM02C01","Overseas Trips to Ireland","Thousand","759.8"
"-","All trips to Ireland","201803","2018M03","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","843.8"
"-","All trips to Ireland","201804","2018M04","TMM02C01","Overseas Trips to Ireland","Thousand","899.9"
"-","All trips to Ireland","201804","2018M04","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","887.8"
"-","All trips to Ireland","201805","2018M05","TMM02C01","Overseas Trips to Ireland","Thousand","1025.6"
"-","All trips to Ireland","201805","2018M05","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","904"
"-","All trips to Ireland","201806","2018M06","TMM02C01","Overseas Trips to Ireland","Thousand","1026.4"
"-","All trips to Ireland","201806","2018M06","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","887.6"
"-","All trips to Ireland","201807","2018M07","TMM02C01","Overseas Trips to Ireland","Thousand","1160.5"
"-","All trips to Ireland","201807","2018M07","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","912.4"
"-","All trips to Ireland","201808","2018M08","TMM02C01","Overseas Trips to Ireland","Thousand","1202.1"
"-","All trips to Ireland","201808","2018M08","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","901.6"
"-","All trips to Ireland","201809","2018M09","TMM02C01","Overseas Trips to Ireland","Thousand","968.2"
"-","All trips to Ireland","201809","2018M09","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","895.2"
"-","All trips to Ireland","201810","2018M10","TMM02C01","Overseas Trips to Ireland","Thousand","933.5"
"-","All trips to Ireland","201810","2018M10","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","895.1"
"-","All trips to Ireland","201811","2018M11","TMM02C01","Overseas Trips to Ireland","Thousand","741"
"-","All trips to Ireland","201811","2018M11","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","888.6"
"-","All trips to Ireland","201812","2018M12","TMM02C01","Overseas Trips to Ireland","Thousand","738.3"
"-","All trips to Ireland","201812","2018M12","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","892.4"
"-","All trips to Ireland","201901","2019M01","TMM02C01","Overseas Trips to Ireland","Thousand","651.3"
"-","All trips to Ireland","201901","2019M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","907.7"
"-","All trips to Ireland","201902","2019M02","TMM02C01","Overseas Trips to Ireland","Thousand","590.7"
"-","All trips to Ireland","201902","2019M02","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","896.5"
"-","All trips to Ireland","201903","2019M03","TMM02C01","Overseas Trips to Ireland","Thousand","784.7"
"-","All trips to Ireland","201903","2019M03","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","891.7"
"-","All trips to Ireland","201904","2019M04","TMM02C01","Overseas Trips to Ireland","Thousand","938.3"
"-","All trips to Ireland","201904","2019M04","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","901.6"
"-","All trips to Ireland","201905","2019M05","TMM02C01","Overseas Trips to Ireland","Thousand","1021.7"
"-","All trips to Ireland","201905","2019M05","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","891.9"
"-","All trips to Ireland","201906","2019M06","TMM02C01","Overseas Trips to Ireland","Thousand","1061.8"
"-","All trips to Ireland","201906","2019M06","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","926.1"
"-","All trips to Ireland","201907","2019M07","TMM02C01","Overseas Trips to Ireland","Thousand","1155.1"
"-","All trips to Ireland","201907","2019M07","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","905.2"
"-","All trips to Ireland","201908","2019M08","TMM02C01","Overseas Trips to Ireland","Thousand","1190.6"
"-","All trips to Ireland","201908","2019M08","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","900.6"
"-","All trips to Ireland","201909","2019M09","TMM02C01","Overseas Trips to Ireland","Thousand","988.7"
"-","All trips to Ireland","201909","2019M09","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","907.4"
"-","All trips to Ireland","201910","2019M10","TMM02C01","Overseas Trips to Ireland","Thousand","956.8"
"-","All trips to Ireland","201910","2019M10","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","917.5"
"-","All trips to Ireland","201911","2019M11","TMM02C01","Overseas Trips to Ireland","Thousand","688.6"
"-","All trips to Ireland","201911","2019M11","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","843.8"
"-","All trips to Ireland","201912","2019M12","TMM02C01","Overseas Trips to Ireland","Thousand","779.2"
"-","All trips to Ireland","201912","2019M12","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","919.6"
"-","All trips to Ireland","202001","2020M01","TMM02C01","Overseas Trips to Ireland","Thousand","654.5"
"-","All trips to Ireland","202001","2020M01","TMM02S1","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","904.9"
"-","All trips to Ireland","202002","2020M02","TMM02C01","Overseas Trips to Ireland","Thousand","615.2"
