"STATISTIC","Statistic Label","C02149V02592","Type of Expenditure","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20121","2012Q1","Euro Million","483"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20122","2012Q2","Euro Million","816"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20123","2012Q3","Euro Million","994"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20124","2012Q4","Euro Million","622"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20131","2013Q1","Euro Million","541"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20132","2013Q2","Euro Million","870"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20133","2013Q3","Euro Million","1186"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20134","2013Q4","Euro Million","665"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20141","2014Q1","Euro Million","534"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20142","2014Q2","Euro Million","1001"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20143","2014Q3","Euro Million","1303"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","08","Expenditure by overseas travellers in Ireland (excluding fares)","20144","2014Q4","Euro Million","711"
