"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20121","2012Q1","Thousand","7892"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20122","2012Q2","Thousand","12734"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20123","2012Q3","Thousand","16982"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20124","2012Q4","Thousand","10333"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20131","2013Q1","Thousand","8441"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20132","2013Q2","Thousand","13341"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20133","2013Q3","Thousand","18466"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20134","2013Q4","Thousand","10738"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20141","2014Q1","Thousand","8891"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20142","2014Q2","Thousand","15134"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20143","2014Q3","Thousand","19701"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20144","2014Q4","Thousand","11151"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20151","2015Q1","Thousand","10008"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20152","2015Q2","Thousand","16443"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20153","2015Q3","Thousand","21968"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20154","2015Q4","Thousand","12809"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20161","2016Q1","Thousand","11630"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20162","2016Q2","Thousand","17319"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20163","2016Q3","Thousand","23678"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20164","2016Q4","Thousand","13772"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20171","2017Q1","Thousand","11148"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20172","2017Q2","Thousand","18316"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20173","2017Q3","Thousand","23567"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20174","2017Q4","Thousand","15621"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20181","2018Q1","Thousand","12484"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20182","2018Q2","Thousand","18684"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20183","2018Q3","Thousand","24584"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20184","2018Q4","Thousand","15134"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20191","2019Q1","Thousand","12081"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20192","2019Q2","Thousand","19770"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20193","2019Q3","Thousand","23481"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","-","All reasons for journey","20194","2019Q4","Thousand","15079"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20121","2012Q1","Thousand","1914"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20122","2012Q2","Thousand","5551"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20123","2012Q3","Thousand","8190"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","1","Holiday/leisure/recreation","20124","2012Q4","Thousand","3027"
