"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All Countries","-","All reasons for journey","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"-","All Countries","-","All reasons for journey","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","483"
"-","All Countries","-","All reasons for journey","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"-","All Countries","-","All reasons for journey","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","816"
"-","All Countries","-","All reasons for journey","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"-","All Countries","-","All reasons for journey","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","994"
"-","All Countries","-","All reasons for journey","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"-","All Countries","-","All reasons for journey","20124","2012Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","622"
"-","All Countries","-","All reasons for journey","20124","2012Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20131","2013Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"-","All Countries","-","All reasons for journey","20131","2013Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","541"
"-","All Countries","-","All reasons for journey","20131","2013Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20132","2013Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"-","All Countries","-","All reasons for journey","20132","2013Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","870"
"-","All Countries","-","All reasons for journey","20132","2013Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20133","2013Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"-","All Countries","-","All reasons for journey","20133","2013Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1186"
"-","All Countries","-","All reasons for journey","20133","2013Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20134","2013Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"-","All Countries","-","All reasons for journey","20134","2013Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","665"
"-","All Countries","-","All reasons for journey","20134","2013Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20141","2014Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"-","All Countries","-","All reasons for journey","20141","2014Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","534"
"-","All Countries","-","All reasons for journey","20141","2014Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20142","2014Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.1"
"-","All Countries","-","All reasons for journey","20142","2014Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1001"
"-","All Countries","-","All reasons for journey","20142","2014Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20143","2014Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"-","All Countries","-","All reasons for journey","20143","2014Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1303"
"-","All Countries","-","All reasons for journey","20143","2014Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20144","2014Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"-","All Countries","-","All reasons for journey","20144","2014Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","711"
"-","All Countries","-","All reasons for journey","20144","2014Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20151","2015Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"-","All Countries","-","All reasons for journey","20151","2015Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","590"
"-","All Countries","-","All reasons for journey","20151","2015Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20152","2015Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"-","All Countries","-","All reasons for journey","20152","2015Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1194"
"-","All Countries","-","All reasons for journey","20152","2015Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20153","2015Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"-","All Countries","-","All reasons for journey","20153","2015Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1551"
"-","All Countries","-","All reasons for journey","20153","2015Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20154","2015Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"-","All Countries","-","All reasons for journey","20154","2015Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","873"
"-","All Countries","-","All reasons for journey","20154","2015Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20161","2016Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"-","All Countries","-","All reasons for journey","20161","2016Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","693"
"-","All Countries","-","All reasons for journey","20161","2016Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20162","2016Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"-","All Countries","-","All reasons for journey","20162","2016Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1261"
"-","All Countries","-","All reasons for journey","20162","2016Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20163","2016Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"-","All Countries","-","All reasons for journey","20163","2016Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1693"
"-","All Countries","-","All reasons for journey","20163","2016Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20164","2016Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"-","All Countries","-","All reasons for journey","20164","2016Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","930"
"-","All Countries","-","All reasons for journey","20164","2016Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20171","2017Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"-","All Countries","-","All reasons for journey","20171","2017Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","684"
"-","All Countries","-","All reasons for journey","20171","2017Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20172","2017Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"-","All Countries","-","All reasons for journey","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1408"
"-","All Countries","-","All reasons for journey","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"-","All Countries","-","All reasons for journey","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1736"
"-","All Countries","-","All reasons for journey","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
